"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",-0.00137555485052574,-0.0119934357751964,0.00650974829891382,-0.211306918080881,0.832783993351971,0.0569317755814375,0.044994203120443,316,-0.0141834814963044,0.0114323717952529,-975.204166400761,"CRYBB2__seq.10000.28__ANML",0.956165669706719,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",0.0164294798326151,0.0560766246121447,0.0112486568342419,1.46057258877366,0.145084178737865,0.54761850956521,0.54213509755994,330,-0.00569863801132424,0.0385575976765545,-635.158280512975,"RAF1__seq.10001.7__ANML",0.546549208231616,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.00943830376753679,0.0708308122720053,0.00749650433753712,1.25902732027734,0.208907643427146,0.0314206244955276,0.0197157377824827,331,-0.0053084957133617,0.0241851032484353,-911.270509813802,"ZNF41__seq.10003.15__ANML",0.632567914274265,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.00521768143747197,-0.0324419891994334,0.00773063413483649,-0.674935761603253,0.500183517927683,0.283447533911714,0.274866067251974,334,-0.0204245497123766,0.00998918683743263,-894.07940040852,"ELK1__seq.10006.25__ANML",0.828432649399506,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.00414340445674159,0.0427025559350273,0.00552075241935688,0.750514448395471,0.453476495444149,0.00478098576969885,-0.00720960476319621,332,-0.00671666116684187,0.0150034700803251,-1119.21127093141,"GUCA1A__seq.10008.43__ANML",0.803444987755912,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",-0.00968438521733878,-0.1043520137284,0.00517554384839749,-1.87118214066284,0.0621991919486116,0.042000512383063,0.0304583498816542,332,-0.0198653789591081,0.000496608524430567,-1163.72523437039,"BECN1__seq.10010.10__ANML",0.376057166908354,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.0127112500223329,-0.079492292818472,0.0088467660578311,-1.43682447792106,0.151709565251608,0.0580538162848978,0.0467050670835111,332,-0.0301140336732847,0.0046915336286189,-799.410975495028,"OCRL__seq.10011.65__ANML",0.558353678091432,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",0.00604261636123198,0.0546730253491612,0.0062991021419133,0.959282168330833,0.338118912277367,0.0132415950091455,0.0012808870698624,330,-0.00634884304243312,0.0184340757648971,-1030.39258764715,"SPDEF__seq.10012.5__ANML",0.739278733558353,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.00657959102828333,0.0747406542360782,0.00497432075807375,1.32271145112709,0.186847237911245,0.0187364319972258,0.00684232814264674,330,-0.00320578668838235,0.016364968744949,-1181.37723721117,"SNAI2__seq.10014.31__ANML",0.610041887035637,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",0.00194530707815481,0.0231025237145091,0.00474670420276589,0.409822688555417,0.682205188412042,0.0385725395290604,0.0267758835723618,326,-0.00739272993772048,0.0112833440940301,-1202.85771323922,"KCNAB2__seq.10015.119__ANML",0.913856183262887,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",0.00603653917497401,0.0454939440803006,0.0075212117358729,0.802601945931444,0.422780736651283,0.00682087189377643,-0.00518129279632884,331,-0.00875886363256142,0.0208319419825094,-905.686341875947,"POLH__seq.10022.207__ANML",0.787413657168297,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",0.0147046766685712,0.0726287007223696,0.0115727342885014,1.27063114921611,0.20476313853534,0.00965254998039369,-0.0024617919158707,327,-0.0080617282219277,0.0374710815590702,-613.057795517737,"VDR__seq.10023.32__ANML",0.63094042087055,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.00321467648622615,-0.0228862837260712,0.00778381867671853,-0.412994780549203,0.679877034996866,0.0511663434597312,0.0397346126580413,332,-0.0185264990803437,0.0120971461078914,-884.332091387696,"HOGA1__seq.10024.44__ANML",0.913332683707097,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1",0.0287276617048603,0.0246524043934502,0.0556437992083223,0.516277862288089,0.60600929301252,0.305046828747535,0.296545872524263,327,-0.0807373299592948,0.138192653369015,424.810436596376,"DLD__seq.10025.1__ANML",0.884626993407142,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8",0.00119011846635563,0.00801836809846672,0.00836285723880441,0.142310030217109,0.886922498362139,0.0322575705667604,0.0204558336224525,328,-0.0152614851898059,0.0176417221225171,-828.347953783603,"MUTYH__seq.10030.8__ANML",0.968848675529069,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6",0.000871381909767817,0.008602055807107,0.00584268780105463,0.149140590673102,0.881535198303583,0.00782775586809326,-0.00438359482891482,325,-0.0106228798248978,0.0123656436444334,-1067.90320189385,"DUSP4__seq.10035.6__ANML",0.967107626565971,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10037.98",0.00227046976530663,0.00971911701459743,0.0132773403284811,0.17100335678195,0.864326246647205,0.00526519394166875,-0.00682884625356905,329,-0.0238487232020431,0.0283896627326563,-520.808099627007,"SIGLEC12__seq.10037.98__ANML",0.963884590088438,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32",-0.0240960779047764,-0.0164369405970993,0.0892465726771201,-0.269994434317967,0.787364849540459,0.0304095161857504,0.0164585739725958,278,-0.199780988339935,0.151588832530382,601.091401983995,"PNP__seq.10039.32__ANML",0.944217422342027,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63",-0.00871936168386831,-0.0859902580075017,0.00568281647218575,-1.53433807453483,0.125907560736774,0.0397481665919845,0.0280733722648354,329,-0.0198986021313437,0.00245987876360711,-1091.72361583743,"TP63__seq.10040.63__ANML",0.512189908610202,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3",0.0162664103570747,0.02043482052713,0.0374591623404818,0.434243836240186,0.664390931133002,0.310651687759855,0.302420663136092,335,-0.0574184069454582,0.0899512276596077,177.058673642594,"HNF4A__seq.10041.3__ANML",0.909655011326006,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8",-0.00209462575782872,-0.0180709075415489,0.0063988101363429,-0.327346133608811,0.743617500474296,0.0847847774083324,0.0734858240430031,324,-0.0146830866627345,0.0104938351470771,-1000.39389630167,"SGK3__seq.10042.8__ANML",0.927207261856012,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31",-0.00635068606844473,-0.0796704130824318,0.00425976276460484,-1.49085440184927,0.136940697351989,0.110236551193398,0.0996125100136179,335,-0.014729940206833,0.00202856806994354,-1300.98449175916,"BRD4__seq.10043.31__ANML",0.535160166242592,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10045.47",-0.0110740587700253,-0.0579861295553827,0.00997975153547137,-1.10965275344425,0.267971597277103,0.175876932377065,0.165702573517523,324,-0.0307073514241431,0.00855923388409242,-704.751811504278,"CUL3__seq.10045.47__ANML",0.690310831250018,"Q13618","CUL3","CUL3","CUL3__seq.10045.47","CUL3"
"seq.10046.55",-0.00612104369028534,-0.0461627989830875,0.00678286670823939,-0.902427241102923,0.367581463328978,0.29880653445235,0.289101434583179,289,-0.0194711255966116,0.0072290382160409,-888.244184669738,"BIRC2__seq.10046.55__ANML",0.756504984356226,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10047.12",-0.0291731191100196,-0.0968683921533047,0.0167532962418115,-1.74133607434289,0.0825887096463334,0.0703206369358894,0.0586632154554616,319,-0.0621340297103445,0.00378779149030523,-370.294205527634,"NCF2__seq.10047.12__ANML",0.429371724350139,"P19878","NCF2","NCF2","NCF2__seq.10047.12","NCF2"
"seq.10048.7",-0.00238281205934478,-0.0148500045932814,0.00690767311871385,-0.344951479086266,0.730351938759026,0.432803011460481,0.425885975014877,328,-0.0159717442974907,0.0112061201788011,-960.888884309556,"CBFB__seq.10048.7__ANML",0.925864963215101,"Q13951","CBFB","CBFB","CBFB__seq.10048.7","CBFB"
"seq.10049.112",-0.00502253730220456,-0.0592790383895167,0.00473684252181882,-1.06031333722195,0.289787000116254,0.0553996817648846,0.0438094938110795,326,-0.0143411737534378,0.00429609914902867,-1204.59685916043,"TERF1__seq.10049.112__ANML",0.707028319831944,"P54274","TERF1","TERF1","TERF1__seq.10049.112","TERF1"
"seq.10053.5",-0.0030196364359428,-0.0138621812819385,0.0112386612257582,-0.26868293075887,0.788343119050372,0.193451115599082,0.183585074199682,327,-0.0251288377287598,0.0190895648568742,-632.631852841227,"ILK__seq.10053.5__ANML",0.944389517734578,"Q13418","ILK","ILK","ILK__seq.10053.5","ILK"
"seq.10054.3",0.0020749923686798,0.0107408260973334,0.0106573773775555,0.194700093200204,0.845747186246838,0.0604073738404202,0.049052780170818,331,-0.0188897400055975,0.0230397247429571,-671.883086050136,"GAN__seq.10054.3__ANML",0.96027830861403,"Q9H2C0","GAN","GAN","GAN__seq.10054.3","GAN"
"seq.10056.5",-0.0162321486128728,-0.0815566276580277,0.00745167915865337,-2.17832092167078,0.0300769230057509,0.561976101308009,0.556761531085485,336,-0.0308899695113613,-0.00157432771438427,-922.985212509576,"FOXM1__seq.10056.5__ANML",0.270306210479155,"Q08050","FOXM1","FOXM1","FOXM1__seq.10056.5","FOXM1"
"seq.10058.1",0.015075848614037,0.0193777387515399,0.0272345506576567,0.553555988624272,0.580262200870816,0.628974394130659,0.62442193270895,326,-0.0385017983781095,0.0686534956061835,-44.4694800194355,"RAD23A__seq.10058.1__ANML",0.872273383516201,"P54725","RAD23A","RAD23A","RAD23A__seq.10058.1","RAD23A"
"seq.10063.10",0.00198781951091512,0.0239032876022727,0.00444303472187308,0.447401300090921,0.654877094382879,0.114581889380853,0.103914201301104,332,-0.00675222984870141,0.0107278688705316,-1262.56306632591,"FANCL__seq.10063.10__ANML",0.906444155352814,"Q9NW38","FANCL","FANCL","FANCL__seq.10063.10","FANCL"
