"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",-0.00153974940575581,-0.0134250448833582,0.00652448531645809,-0.235995535444271,0.813589503441352,0.0577754325957793,0.0428194870814267,315,-0.0143768277980568,0.0112973289865452,-973.49145750043,"CRYBB2__seq.10000.28__ANML",0.951403373875895,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",0.0160776626271443,0.0548758123183729,0.0112752338209693,1.42592720314533,0.154837484193562,0.548103957701023,0.54123623669344,329,-0.00610298505047477,0.0382583103047634,-633.51796022464,"RAF1__seq.10001.7__ANML",0.566066436991711,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.00955050135422958,0.0716728116816602,0.00751791357972722,1.27036594035657,0.204849227495289,0.0316455336365744,0.0169734962674316,330,-0.00523857791844857,0.0243395806269077,-909.348539811624,"ZNF41__seq.10003.15__ANML",0.628891470893632,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.00497096994760944,-0.0309080106333954,0.00775007429351993,-0.641409328393899,0.521697993243319,0.28416757569876,0.273419341099642,333,-0.0202162452892287,0.0102743053940098,-892.420222471091,"ELK1__seq.10006.25__ANML",0.838646964141292,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.0040010796819876,0.0412357351796979,0.00553521638991479,0.722840698563764,0.470288191270692,0.00546584152327113,-0.0095573330760752,331,-0.00688755887675079,0.014889718240726,-1117.44325588435,"GUCA1A__seq.10008.43__ANML",0.814261980782186,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",-0.00955604880059038,-0.102969152222808,0.00518853092265588,-1.84176387170858,0.0664041884881772,0.0426604589058401,0.0281991365328166,331,-0.0197627026850841,0.000650605083903385,-1161.95746687194,"BECN1__seq.10010.10__ANML",0.390668675298932,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.0123936134427091,-0.0775058902260482,0.00886505612428908,-1.3980298904992,0.163040190846689,0.0594564454300471,0.0452488388655462,331,-0.0298325688765364,0.00504534199111808,-797.913167990184,"OCRL__seq.10011.65__ANML",0.576196050538956,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",0.00653448817203706,0.0591234352995955,0.00628627053397611,1.03948567544451,0.299342232271388,0.0222210119220581,0.00736114888135997,329,-0.00583186751816682,0.0189008438622409,-1031.45501407378,"SPDEF__seq.10012.5__ANML",0.715632392885023,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.00671380100304395,0.0762652081597942,0.0049878258146214,1.34603758282075,0.179217142163424,0.0194338983551947,0.00453167796545606,329,-0.00309825334794426,0.0165258553540322,-1179.61543448526,"SNAI2__seq.10014.31__ANML",0.601928983585802,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",0.00181703238342303,0.0215791296908656,0.00475803746580565,0.381886943194837,0.70279479855551,0.0394099287243862,0.0246316199355306,325,-0.00754340750957337,0.0111774722764194,-1201.14613500085,"KCNAB2__seq.10015.119__ANML",0.92015910897977,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",0.00638763974859189,0.0481399883450266,0.00752899703894203,0.848405134914154,0.396827353644207,0.00988399213631141,-0.005117765558593,330,-0.00842324266869614,0.0211985221658799,-904.724219901431,"POLH__seq.10022.207__ANML",0.772669963831034,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",0.0150032688792913,0.0741034944087056,0.0115963394012211,1.29379352916417,0.196652627919762,0.0106497042243942,-0.00452438006664257,326,-0.00780983300183223,0.0378163707604149,-611.392245802087,"VDR__seq.10023.32__ANML",0.62053683687801,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.0035669673922962,-0.0253943524741955,0.00779625329331034,-0.457523281773935,0.647595135718902,0.053438403361551,0.0391398898171637,331,-0.0189034200697202,0.0117694852851278,-883.140033216587,"HOGA1__seq.10024.44__ANML",0.903690162481171,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1",0.0272221041729962,0.0233604226966998,0.0557391762207268,0.488383683052594,0.625606440416263,0.305967625051735,0.295322956724308,326,-0.0824317669235538,0.136875975269546,426.3702528686,"DLD__seq.10025.1__ANML",0.892550216519761,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8",0.00110600827201555,0.007451679556008,0.00838993915497484,0.131825541471268,0.8952033558793,0.0323426748663514,0.0175466913016168,327,-0.015399058469091,0.0176110750131221,-826.37723944587,"MUTYH__seq.10030.8__ANML",0.971535272224473,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
