"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10085.25",-0.3511938506402,-0.242216622713604,-0.00277055625890127,4.06239920660116e-05,0.934,-0.242216622713604,0,-0.242175998721538,0,-0.00016774573979448,0.934,-0.0182300735193381,0.014332555493144,0.994,0,0.994,"STAR__seq.10085.25__ANML","P49675","STAR","STAR","STAR__seq.10085.25","STAR"
"seq.11160.56",-0.3511938506402,-0.0826885654801817,-0.0037415697506912,7.68064171696015e-05,0.912,-0.0826885654801819,0,-0.0826117590630123,0,-0.000929727414604708,0.912,-0.0563110583403104,0.0486580595365411,0.994,0,0.994,"RNF122__seq.11160.56__ANML","Q9H9V4","RNF122","RNF122","RNF122__seq.11160.56","RNF122"
"seq.11180.17",-0.45425754748902,0.0666515617029213,0.0115051255381834,-0.000806761851762836,0.326,0.0666515617029217,0,0.0658447998511589,0,-0.0122524763320188,0.326,-0.0639418394126339,0.0139197397557906,0.994,0,0.994,"SMARCC1__seq.11180.17__ANML","Q92922","SMARCC1","SMARCC1","SMARCC1__seq.11180.17","SMARCC1"
"seq.11402.17",-0.24744616555928,0.137781890845945,-0.00587442979531378,0.000461435573045773,0.774,0.137781890845945,0,0.138243326418991,0,0.00333785062178875,0.774,-0.0129963379301036,0.0210698374177185,0.994,0,0.994,"KMT2C__seq.11402.17__ANML","Q8NEZ4","KMT2C","KMT2C","KMT2C__seq.11402.17","KMT2C"
"seq.11536.9",-0.475453963730074,0.0553784262925513,-0.0100202686034633,0.000974615791218302,0.264,0.0553784262925517,0,0.05635304208377,0,0.0172948212763654,0.264,-0.0100961385308241,0.0588767056544447,0.994,0,0.994,"MYSM1__seq.11536.9__ANML","Q5VVJ2","MYSM1","MYSM1","MYSM1__seq.11536.9","MYSM1"
"seq.11666.72",-0.335133414893675,0.0382905095749908,0.0117400454719068,-0.000775618619765607,0.478,0.038290509574991,0,0.0375148909552254,0.002,-0.0206749533322999,0.48,-0.142407332156858,0.0358771141920778,0.994,0,0.994,"RGS8__seq.11666.72__ANML","P57771","RGS8","RGS8","RGS8__seq.11666.72","RGS8"
"seq.11708.2",-0.424500743564425,0.180817522628397,0.00242422779648068,-0.000193938223718391,0.844,0.180817522628397,0,0.180623584404678,0,-0.00107371484381509,0.844,-0.0156838095789368,0.010270753927277,0.994,0,0.994,"LCN1__seq.11708.2__ANML","P31025","LCN1","LCN1","LCN1__seq.11708.2","LCN1"
"seq.12392.30",-0.520434828165447,0.123617963931611,-0.00552901151335382,0.000699658864344169,0.698,0.123617963931611,0,0.124317622795955,0,0.00562799423451437,0.698,-0.0183190420975969,0.035843903290301,0.994,0,0.994,"ARL1__seq.12392.30__ANML","P40616","ARL1","ARL1","ARL1__seq.12392.30","ARL1"
"seq.12501.10",13.899093553326,1.15557495429518,-0.0199923050033927,-0.0139135636172253,0.664,1.15557495429518,0,1.14166139067795,0.358,-0.0121871193427703,NA,-0.0461877135963168,1,0.994,0,NA,"TBCA__seq.12501.10__ANML","O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA"
"seq.12521.3",-0.453103857000751,0.0758132178103948,0.0277467178642389,-0.00190499853993281,0.232,0.0758132178103947,0,0.0739082192704619,0,-0.0257751919710256,0.232,-0.122131093818649,0.0236930091232514,0.994,0,0.994,"CDKN2C__seq.12521.3__ANML","P42773","CDKN2C","CDKN2C","CDKN2C__seq.12521.3","CDKN2C"
"seq.12564.9",-0.325472445163115,0.0540929691711509,-0.00801335922381966,0.000477284718660103,0.538,0.0540929691711511,0,0.0545702538898112,0,0.00874624332193581,0.538,-0.0220187664395942,0.062743253649167,0.994,0,0.994,"NIP7__seq.12564.9__ANML","Q9Y221","NIP7","NIP7","NIP7__seq.12564.9","NIP7"
