"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","log","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",-0.00452895692108648,-0.0285261905310319,0.00868843775122331,-0.521262515858943,0.602549016034299,0.0576088416306903,0.0456798396260154,316,-0.0216234540159511,0.0125655401737782,-975.434707788325,"CRYBB2__seq.10000.28__ANML",NA,0.999197636603081,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.00989432270960774,-0.0248683604080592,0.0147849593509671,-0.669215415121215,0.503825986436205,0.545311173695638,0.539799793982858,330,-0.0389789794519256,0.0191903340327102,-633.453982248118,"RAF1__seq.10001.7__ANML",NA,0.999197636603081,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.00204870613157474,0.0113163547175055,0.00982695669909331,0.208478188548827,0.834983839259439,0.0269098999310652,0.0151505029513803,331,-0.0172824585585282,0.0213798708216777,-909.709372659162,"ZNF41__seq.10003.15__ANML",NA,0.999197636603081,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",0.00626071596500191,0.0285423334589872,0.0101716104240365,0.615508823480617,0.538637916696604,0.283283198215953,0.274699763464049,334,-0.0137477771500641,0.0262692090800679,-894.001662327678,"ELK1__seq.10006.25__ANML",NA,0.999197636603081,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",-0.0037420032206212,-0.0283724271613841,0.00723125675780603,-0.517476193412959,0.605168389207441,0.00389592375727849,-0.00810533017335668,332,-0.017966861893038,0.0104828554517956,-1118.91170536191,"GUCA1A__seq.10008.43__ANML",NA,0.999197636603081,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.00388680693744235,0.030888111109541,0.00679796755944072,0.571760147934881,0.567871373803692,0.0328496254748709,0.0211972113239657,332,-0.00948571336317237,0.0172593272380571,-1160.52146080997,"BECN1__seq.10010.10__ANML",NA,0.999197636603081,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",0.00909752434283709,0.0413691882304321,0.0117573428050225,0.773773844456661,0.439615159940008,0.0539027273306552,0.0425039650093378,332,-0.0140307568627861,0.0322258055484603,-797.929103637743,"OCRL__seq.10011.65__ANML",NA,0.999197636603081,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",0.0139228841670831,0.0923659446306797,0.00822415885102864,1.69292500537507,0.0914135007044811,0.0190097049645801,0.00711891350960525,330,-0.0022555057424446,0.0301012740766108,-1032.35658068107,"SPDEF__seq.10012.5__ANML",NA,0.999197636603081,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.00267476746826596,0.0223741764477565,0.00653959648035175,0.409011087503995,0.682796840836301,0.0140338785875313,0.0020827740855619,330,-0.0101897872693742,0.0155393222059061,-1179.77563633927,"SNAI2__seq.10014.31__ANML",NA,0.999197636603081,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.00345246890701088,-0.030045152254611,0.00624257914564368,-0.553051683681119,0.580607065801821,0.0389788819967307,0.0271872118371814,326,-0.0157332921153718,0.00882835430135008,-1202.99763829138,"KCNAB2__seq.10015.119__ANML",NA,0.999197636603081,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
