"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","log","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",-0.00381697668576496,-0.0257680418038644,0.00999117203029256,-0.382034927853523,0.702816337528384,0.0427471969404141,0.0247706184792011,213,-0.0235112141653482,0.0158772607938183,-670.134586320684,"CRYBB2__seq.10000.28__ANML",NA,0.999033312328986,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0156548106470229,-0.0423220888023288,0.0169152257760799,-0.925486354971426,0.355717924082905,0.538867525154906,0.530558831914454,222,-0.0489897711774578,0.0176801498834119,-438.845593668168,"RAF1__seq.10001.7__ANML",NA,0.999033312328986,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.000467972431987985,0.00262591777479524,0.0118355301009005,0.0395396258552357,0.968495536759328,0.0252448168808075,0.00776041897732416,223,-0.0228558210175935,0.0237917658815695,-603.991510211198,"ZNF41__seq.10003.15__ANML",NA,0.999033312328986,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",0.00124796194199151,0.00612463175151407,0.0113990133637818,0.109479820942808,0.912919505638718,0.302284000960854,0.289880160977936,225,-0.0212145164781342,0.0237104403621172,-626.333540841921,"ELK1__seq.10006.25__ANML",NA,0.999033312328986,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",-0.00359366193184066,-0.0280252013161957,0.00853550240693208,-0.421025237942887,0.674140334866381,0.0167638754759601,-0.000793912461969137,224,-0.0204138165334566,0.0132264926697753,-756.289894037993,"GUCA1A__seq.10008.43__ANML",NA,0.999033312328986,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.00060863057395874,0.00503755628671001,0.00789519219715143,0.0770887596857152,0.938621440728829,0.0474411326087458,0.0305067527440124,225,-0.0149493461290724,0.0161666072769899,-795.148097058467,"BECN1__seq.10010.10__ANML",NA,0.999033312328986,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",0.00533207244482483,0.0247445791016753,0.0142343950841467,0.374590729939998,0.708320839344693,0.038111716938274,0.0208581154483775,223,-0.0227190657798261,0.0333832106694757,-526.056501410692,"OCRL__seq.10011.65__ANML",NA,0.999033312328986,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",0.0198904258990402,0.130240759554868,0.0100968985185259,1.9699540272238,0.0500757702597713,0.0290698136871006,0.0117317746457989,224,-6.63299470519962e-06,0.0397874847927855,-684.786976744048,"SPDEF__seq.10012.5__ANML",NA,0.999033312328986,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.00333487212544643,0.029077425986145,0.00771150407602544,0.432454173993673,0.665831136676316,0.00383680979773487,-0.014112076512216,222,-0.0118622459862203,0.0185319902371131,-795.636953317706,"SNAI2__seq.10014.31__ANML",NA,0.999033312328986,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.000786229385150074,-0.00671570154258476,0.00781416176948214,-0.100615959631225,0.919947377929854,0.0311854324398049,0.0134901891966963,219,-0.0161868120483863,0.0146143532780861,-785.042641003938,"KCNAB2__seq.10015.119__ANML",NA,0.999033312328986,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",0.00295359688424418,0.0164025713050649,0.0120800196093504,0.24450265643261,0.807066366396707,0.00460341875814785,-0.0132512284390154,223,-0.0208520020059944,0.0267591957744828,-605.972676210988,"POLH__seq.10022.207__ANML",NA,0.999033312328986,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",0.0136568408829851,0.049811233040325,0.01851455981757,0.737627090114503,0.461530686404547,0.0123041473979179,-0.00573595949892369,219,-0.0228326787040678,0.050146360470038,-405.214371066252,"VDR__seq.10023.32__ANML",NA,0.999033312328986,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44",-0.00537532257261445,-0.0286931593790729,0.0120606641746008,-0.445690427558261,0.656253268967162,0.0837250191148272,0.0672895934487254,223,-0.0291427785019231,0.0183921333566942,-600.961162724107,"HOGA1__seq.10024.44__ANML",NA,0.999033312328986,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1",-0.0791817529112393,-0.0519702657451673,0.0864754580287102,-0.915655779295794,0.360836552100492,0.286725621529853,0.273931462274783,223,-0.249595389167898,0.0912318833454198,297.673077221317,"DLD__seq.10025.1__ANML",NA,0.999033312328986,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8",-0.000248977353705524,-0.00130596210140521,0.0127238100917635,-0.019567830068974,0.984405942889725,0.0313115878687235,0.0136186488343624,219,-0.0253257667637754,0.0248278120563643,-561.106107815477,"MUTYH__seq.10030.8__ANML",NA,0.999033312328986,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6",-0.000880096557828015,-0.0063798689508053,0.0092618433337146,-0.0950239089689978,0.92438272449579,0.0189021202461095,0.000982524268869467,219,-0.0191338502018696,0.0173736570862136,-708.710931400769,"DUSP4__seq.10035.6__ANML",NA,0.999033312328986,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10037.98",0.012411349225721,0.0380888669411579,0.0218838249618427,0.567147162224239,0.571189814938047,0.0112783025481106,-0.00661711279038513,221,-0.0307163360401245,0.0555390344915665,-326.538735054445,"SIGLEC12__seq.10037.98__ANML",NA,0.999033312328986,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32",0.170035264799651,0.085055741706191,0.145567077852201,1.16808874168852,0.244307273127228,0.0472991338516583,0.0262449710638497,181,-0.117191439970948,0.457261969570251,394.52719443041,"PNP__seq.10039.32__ANML",NA,0.999033312328986,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63",0.000623028683328838,0.00482130490967499,0.00852772132242974,0.0730592217747711,0.941824773376526,0.0405774840247561,0.023290591845022,222,-0.0161826147920148,0.0174286721586725,-749.996019082441,"TP63__seq.10040.63__ANML",NA,0.999033312328986,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3",-0.00388652559300014,-0.00393151353156952,0.0531243780707761,-0.0731589852745615,0.941744311136198,0.352636056540307,0.341178287629516,226,-0.108568975463905,0.100795924277905,82.3952879515789,"HNF4A__seq.10041.3__ANML",NA,0.999033312328986,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8",0.0171872808532199,0.105532385562257,0.0104086186292583,1.65125474046162,0.100132973182291,0.120032450516569,0.103811850526091,217,-0.00332765161390348,0.0377022133203433,-656.727153695275,"SGK3__seq.10042.8__ANML",NA,0.999033312328986,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31",0.00156881487284008,0.0152381494543177,0.00658508753538025,0.238237512320251,0.811912748067304,0.08304521755988,0.0668159293750992,226,-0.0114072070751171,0.0145448368207973,-882.213589280404,"BRD4__seq.10043.31__ANML",NA,0.999033312328986,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10045.47",0.00976474988048763,0.0394551383847102,0.0158243221500599,0.617072237779909,0.537836986202598,0.128380325353608,0.112239220267564,216,-0.0214251073166862,0.0409546070776615,-470.031542290672,"CUL3__seq.10045.47__ANML",NA,0.999033312328986,"Q13618","CUL3","CUL3","CUL3__seq.10045.47","CUL3"
"seq.10046.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIRC2__seq.10046.55__ANML","Unable to calculate beta",NA,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10047.12",0.00939370905390102,0.0244994920118612,0.0255226936542804,0.368053199287827,0.71318905588483,0.0373734389621306,0.0197912186692014,219,-0.0409078287190044,0.0596952468268064,-249.485169112425,"NCF2__seq.10047.12__ANML",NA,0.999033312328986,"P19878","NCF2","NCF2","NCF2__seq.10047.12","NCF2"
"seq.10048.7",0.00984451402963831,0.0475112540490649,0.0106744386182522,0.922251219169991,0.357394266648387,0.412020521828875,0.401473804731635,223,-0.0111911640853122,0.0308801921445888,-656.148260655829,"CBFB__seq.10048.7__ANML",NA,0.999033312328986,"Q13951","CBFB","CBFB","CBFB__seq.10048.7","CBFB"
"seq.10049.112",-0.00428495516704554,-0.0381332464655054,0.00746022275529218,-0.574373622289743,0.566304496806416,0.0406354861311816,0.0231128466084635,219,-0.0189879752245184,0.0104180648904273,-805.61592019772,"TERF1__seq.10049.112__ANML",NA,0.999033312328986,"P54274","TERF1","TERF1","TERF1__seq.10049.112","TERF1"
"seq.10053.5",0.00436220532034145,0.0149914651763891,0.0182811909195296,0.238617130554736,0.811625613237701,0.142459073233086,0.126796225255609,219,-0.0316673779214804,0.0403917885621633,-398.978050928925,"ILK__seq.10053.5__ANML",NA,0.999033312328986,"Q13418","ILK","ILK","ILK__seq.10053.5","ILK"
"seq.10054.3",-0.00718470538171188,-0.0277603853392215,0.0166187599510447,-0.432324999150145,0.665922983217047,0.0873329137895615,0.0709622037230064,223,-0.0399346135972176,0.0255652028337938,-448.854260241363,"GAN__seq.10054.3__ANML",NA,0.999033312328986,"Q9H2C0","GAN","GAN","GAN__seq.10054.3","GAN"
"seq.10056.5",-0.0027231568309339,-0.0108963944331286,0.0118057422827755,-0.230663753765569,0.817783785588255,0.497569145568619,0.488715738442075,227,-0.0259860120733635,0.0205396984114957,-614.991056306431,"FOXM1__seq.10056.5__ANML",NA,0.999033312328986,"Q08050","FOXM1","FOXM1","FOXM1__seq.10056.5","FOXM1"
"seq.10058.1",-0.0159176551790778,-0.0161578994172493,0.0431210358914655,-0.369138979386816,0.712382417329165,0.586435041065469,0.57884669319511,218,-0.100905146341917,0.069069835983761,-20.5214005496202,"RAD23A__seq.10058.1__ANML",NA,0.999033312328986,"P54725","RAD23A","RAD23A","RAD23A__seq.10058.1","RAD23A"
"seq.10063.10",0.00152988479530426,0.0138953151503428,0.00705109090003888,0.21697136187761,0.828428150075774,0.0891001958365713,0.0728341279050816,224,-0.0123650722200415,0.01542484181065,-843.60075685824,"FANCL__seq.10063.10__ANML",NA,0.999033312328986,"Q9NW38","FANCL","FANCL","FANCL__seq.10063.10","FANCL"
"seq.10064.12",-0.0155442528621812,-0.0905873016301339,0.0119059396472843,-1.30558807810913,0.193163138301584,0.0215072823716707,0.00232115065346816,204,-0.0390187284174048,0.00793022269304243,-568.603828254519,"RBBP9__seq.10064.12__ANML",NA,0.999033312328986,"O75884","RBBP9","RBBP9","RBBP9__seq.10064.12","RBBP9"
"seq.10069.2",0.00424846698197056,0.0328092083964671,0.00864259520155158,0.491573061435048,0.623509053829193,0.0226770127786089,0.00498790893749779,221,-0.0127839817047894,0.0212809156687306,-746.283177034584,"PIN1__seq.10069.2__ANML",NA,0.999033312328986,"Q13526","PIN1","PIN1","PIN1__seq.10069.2","PIN1_1"
"seq.10070.22",-0.00285894600178106,-0.0234006266289022,0.00793596977776447,-0.360251624167149,0.718995423744064,0.0542285112316385,0.0374891928463578,226,-0.0184969033503086,0.0127790113467465,-795.98439541399,"PLCG2__seq.10070.22__ANML",NA,0.999033312328986,"P16885","PLCG2","PLCG2","PLCG2__seq.10070.22","PLCG2"
"seq.10073.22",0.00547633329954081,0.0179242865501661,0.0123792950479277,0.4423784454881,0.658640318619495,0.633794797125197,0.627284482407423,225,-0.0189178523195373,0.0298705189186189,-588.256169364946,"TDP1__seq.10073.22__ANML",NA,0.999033312328986,"Q9NUW8","TDP1","TDP1","TDP1__seq.10073.22","TDP1"
