"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRYBB2__seq.10000.28__ANML",0.000933788930284454,0.00857917706546657,0.00441835588113794,0.211343077697933,0.832693173670275,0.0795580291894102,0.0732644088761754,585,-0.00774398312435737,0.00961156098492628,0.944537412324302,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","RAF1__seq.10001.7__ANML",0.0236453042862475,0.0829554947351532,0.00769595660219889,3.07243212357662,0.00221914298182333,0.583423453018725,0.580655502540444,602,0.00853111942045466,0.0387594891520403,0.0216080945976983,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0175345122808548,0.135636450913058,0.00528494895260963,3.31782055760378,0.000961556962294058,0.0381444718559905,0.0317955904821026,606,0.00715547332659303,0.0279135512351165,0.0107365225535515,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",-0.00169201393514468,-0.0109600675868282,0.00574019539910773,-0.294765912569403,0.76827299594338,0.195258189184602,0.189981193703845,610,-0.0129649572308364,0.00958092936054702,0.918961087408099,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUCA1A__seq.10008.43__ANML",-0.000847619041868556,-0.0092028479403061,0.00381365832937276,-0.222258778491036,0.824186954405476,0.00617042970385706,-0.000357186521404929,609,-0.00833713663615011,0.006641898552413,0.942957644961388,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",-0.00241349208236305,-0.0272356775293549,0.00364904814418128,-0.661403189818575,0.508604342556337,0.0186632795293073,0.0122071168946317,608,-0.00957976064294785,0.00475277647822175,0.797146795840303,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",-0.00631389228347102,-0.0423460426091224,0.00607891685789571,-1.03865416011902,0.299378482546819,0.0369827198366268,0.030647079835552,608,-0.0182521153597031,0.00562433079276109,0.633658234791681,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.00258782627411006,-0.0256143606031009,0.00421123515343416,-0.614505288786771,0.539115206111203,0.0132731297899714,0.00667295005612512,598,-0.0108584348007981,0.00568278225257802,0.80744685486369,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SNAI2__seq.10014.31__ANML",0.00724531916411273,0.0882545222082445,0.00341470164072552,2.1218015295103,0.0342636039662331,0.0114661981128852,0.00487597276697116,600,0.00053909912026053,0.0139515392079649,0.178716508940319,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCNAB2__seq.10015.119__ANML",-0.00129164644865564,-0.0173126188778356,0.00308847796075301,-0.418214559102997,0.675939642354675,0.0195540751754192,0.0130286447273354,601,-0.00735716705009516,0.00477387415278387,0.880051814009973,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",0.000989192689239566,0.00783241871362231,0.00525421352331295,0.18826655689772,0.850730726123393,0.00291883365275467,-0.00366256018452082,606,-0.0093294853758619,0.011307870754341,0.951280276887059,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",0.0113910966948211,0.0578914107445162,0.00821991944965913,1.38579176652315,0.166323637585914,0.00411731727318594,-0.00249984340938436,602,-0.00475210532227143,0.0275342987119137,0.472961733037767,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",-0.00525806754403409,-0.042505179327757,0.00510594149198968,-1.0297939277767,0.303519625941036,0.0226272656333834,0.0161438644103876,603,-0.0152856560297677,0.00476952094169952,0.637880609002458,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLD__seq.10025.1__ANML",0.0314120791536049,0.0281051988198999,0.0388844966315998,0.807830417639447,0.419509431598064,0.307291199196564,0.30265769551226,598,-0.0449546963125021,0.107778854619712,0.736271128257218,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MUTYH__seq.10030.8__ANML",0.00380082458424353,0.0279713014461821,0.00554909889352821,0.68494446705146,0.493643473528827,0.0446537041868322,0.0382847288814112,600,-0.00709719291200548,0.0146988420804925,0.788500560843103,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
