"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRYBB2__seq.10000.28__ANML",1.54256241590303e-05,0.00014172277772167,0.00500283255152273,0.00308337806635866,0.997540877082217,0.0798006125363461,0.07192219312313,584,-0.00981030951151791,0.00984116075983596,0.998539273727853,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","RAF1__seq.10001.7__ANML",0.00801228163592743,0.0281097159511845,0.00852104334651735,0.940293495772692,0.347444799167655,0.594517979446273,0.591144584932515,601,-0.00872235743899694,0.0247469207108518,0.700279537421044,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0140084452117083,0.10836091480005,0.00593318867037412,2.36103147733292,0.0185402905497987,0.0408430366067608,0.0329161195539242,605,0.0023562986013405,0.0256605918220762,0.144222860154601,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",-0.00448208318666547,-0.0290328191956879,0.00645493323125785,-0.694365538122238,0.487717795375624,0.196437383906993,0.189839989686197,609,-0.0171587132961514,0.00819454692282041,0.795367408671033,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUCA1A__seq.10008.43__ANML",0.00129034793199174,0.0140096850373141,0.00428813382227996,0.30091130208844,0.763585004735929,0.00810802005157345,-4.89863624761888e-05,608,-0.00713100398773742,0.00971169985172091,0.923451134592544,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",-0.00730643328521686,-0.0824513418958783,0.00408785509555858,-1.78735134059797,0.0743795389179029,0.0295347129224452,0.0215407649234537,607,-0.0153344895219876,0.000721622951553828,0.333588181911748,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",-0.0128145126992464,-0.0859444343385461,0.00682937207422334,-1.87638227350554,0.0610823732715007,0.0437175598521809,0.0358404392578825,607,-0.0262265788787117,0.000597553480218916,0.300307370276528,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.00361689000240389,-0.0358000557109204,0.00476207295838814,-0.759520073297687,0.447841308553904,0.0136287829057271,0.00536771743592568,597,-0.0129693420905957,0.00573556208578788,0.771658503407814,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SNAI2__seq.10014.31__ANML",0.00777492816187544,0.0947056374726001,0.00383766429300944,2.02595317574755,0.0432123193415787,0.0116179508054426,0.00336768328295045,599,0.000238015496208423,0.0153118408275425,0.241041757456395,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCNAB2__seq.10015.119__ANML",-0.000481533643024939,-0.00645424949468433,0.00348816536887991,-0.13804782517509,0.89024893588196,0.0199637399543666,0.011796771120653,600,-0.00733203098489033,0.00636896369884045,0.966836426561739,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",0.00170015830751998,0.0134618380107285,0.00591461563015988,0.287450345691192,0.773865946871772,0.00303241716001003,-0.00520698435106426,605,-0.00991551284258528,0.0133158294576252,0.929143456362421,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",0.0161427314375649,0.0820399932708288,0.00920605508841554,1.75349064094545,0.0800275750409875,0.00628531193105754,-0.00198186517434129,601,-0.0019372152243038,0.0342226780994336,0.346165043236974,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",-0.00142656661148751,-0.011532082677992,0.0057368246617842,-0.248668330581998,0.803702156482362,0.0260746572165114,0.0179855762963826,602,-0.0126931878988362,0.00984005467586116,0.937974788450527,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLD__seq.10025.1__ANML",-0.0250082485281944,-0.022375526102089,0.0435212642987429,-0.574621370292241,0.565763857181401,0.316414680512126,0.310689510332161,597,-0.110481642726106,0.060465145669717,0.843106165203701,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MUTYH__seq.10030.8__ANML",0.00388625481711089,0.0286000057557829,0.00624992683806832,0.621808049566229,0.53430467886645,0.0446551206486503,0.0366806224904588,599,-0.00838817805372008,0.0161606876879419,0.823572667711145,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","DUSP4__seq.10035.6__ANML",-0.00143410577982015,-0.0150163646159505,0.00448475977226238,-0.319773154560006,0.749251799411371,0.0105488465739028,0.00228965497602218,599,-0.0102418701253387,0.00737365856569842,0.918814476734806,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
