"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRYBB2__seq.10000.28__ANML",0.00192675715284267,0.017816700983682,0.00432040814467345,0.44596646620485,0.655786477904902,0.0798005975559727,0.0735086358298597,585,-0.00655864286270301,0.0104121571683884,0.892353961479538,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","RAF1__seq.10001.7__ANML",0.0372706835385559,0.131411465050327,0.0074176014773224,5.02462738831445,6.65904155412036e-07,0.593921460840722,0.591223264567239,602,0.0227031637636917,0.05183820331342,1.56969528351504e-05,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0137887156420932,0.107209668589087,0.0051767034177152,2.66360935318543,0.00793629897642705,0.0320053649216182,0.0256159613897476,606,0.00362225861310043,0.0239551726710859,0.0726301034430926,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.00396533819472329,0.0258297239055001,0.00561438549641712,0.706281782263403,0.480282585829915,0.195801205758192,0.190527771041853,610,-0.00706053199622912,0.0149912083856757,0.808283265239239,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUCA1A__seq.10008.43__ANML",-0.00399218306022367,-0.0435694662553402,0.00372553961527133,-1.07157176476109,0.284336887596819,0.0079603005616507,0.00144444046681746,609,-0.0113086472232198,0.00332428110277248,0.651660454857442,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.00714031940069271,0.080958712413863,0.00355585944240757,2.00804320765227,0.045080547857519,0.0244271799933857,0.0180089377565001,608,0.000157061652061049,0.0141235771493244,0.245419063414067,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.00802456982188562,0.0541659048583206,0.00593007204198159,1.35319938190905,0.176494853615419,0.0381707901728603,0.0318429664239975,608,-0.00362134088066836,0.0196704805244396,0.525365513644301,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",0.000511741364316561,0.00508939422763169,0.00410774626953304,0.124579594438956,0.900898248913137,0.0126756695126981,0.00607149338903712,598,-0.00755562131776177,0.00857910404639489,0.981205451250914,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SNAI2__seq.10014.31__ANML",0.00231778437588181,0.0283898169911583,0.00334464725648806,0.692983205145384,0.488588232502591,0.00484532885093245,-0.0017890356233945,600,-0.00425085406783,0.00888642281959362,0.813268239598345,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCNAB2__seq.10015.119__ANML",-0.00192260852444068,-0.0259339015066544,0.00301329113323715,-0.638042737800526,0.523688885162826,0.0199326120393501,0.0134097009713923,601,-0.0078404682854761,0.00399525123659474,0.830382621602626,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
