"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRYBB2__seq.10000.28__ANML",0.00191969939632268,0.017751437991225,0.00489257264522052,0.392370136434868,0.694927906168798,0.0798006125363462,0.07192219312313,584,-0.00768948149248459,0.0115288802851299,0.883546788525457,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","RAF1__seq.10001.7__ANML",0.0337319827334706,0.118934477428408,0.00831832816844028,4.05513969278703,5.67014962134438e-05,0.594517979446273,0.591144584932515,601,0.0173954598518544,0.0500685056150869,0.00164036022723273,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0075581996665708,0.0587663204040224,0.00579320762585832,1.30466576630783,0.192502736050962,0.0408430366067609,0.0329161195539243,605,-0.00381903917598663,0.0189354385091282,0.522571405619537,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.00597042749930107,0.0388906283226905,0.00631558931384106,0.945347647323498,0.344856332477712,0.196437383906993,0.189839989686196,609,-0.00643254969452867,0.0183734046931308,0.663838571549256,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUCA1A__seq.10008.43__ANML",-0.00456938495261039,-0.0498688713661501,0.00419282914699912,-1.08980948004542,0.276228816537419,0.00810802005157344,-4.89863624761888e-05,608,-0.0128035705563152,0.00366480065109445,0.606192638580924,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.0104180733639179,0.11812269984647,0.003995210477575,2.607640679357,0.00934108313375431,0.0295347129224452,0.0215407649234538,607,0.00257196002527349,0.0182641867025623,0.0993874210021488,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.0137831186945062,0.0930361517724492,0.0066662653899034,2.06759225568515,0.0391015791085228,0.043717559852181,0.0358404392578825,607,0.000691374445174003,0.0268748629438385,0.240257478375065,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",0.00215446279450324,0.0214266644726597,0.00464364188266485,0.463959721473367,0.642845726687259,0.013628782905727,0.00536771743592568,597,-0.0069653971072324,0.0112743226962389,0.854483184457471,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SNAI2__seq.10014.31__ANML",-0.00113614614227625,-0.0139162992856753,0.00374640745383433,-0.303262834135525,0.761794863954602,0.0116179508054426,0.00336768328295045,599,-0.00849383655855046,0.00622154427399795,0.911835500520802,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCNAB2__seq.10015.119__ANML",-0.00170469376775783,-0.0229944680417457,0.00340390559634746,-0.500805242538759,0.616691855262798,0.0199637399543666,0.011796771120653,600,-0.00838971118343923,0.00498032364792358,0.839482729670396,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
