"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.00477248700511843,0.0411154945699053,0.0073436091434712,0.649883035967593,0.516357406831968,0.0473235248306046,0.0322614461717999,253,-0.00968990525016922,0.0192348792604061,-795.480275580138,"CRYBB2__seq.10000.28__ANML",0.865964887015391,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",0.0493209328438024,0.15905186414062,0.0129133310650669,3.81938111826354,0.000166687106910735,0.569877919453271,0.563385510690302,265,0.0238951485303524,0.0747467171572524,-511.238652695796,"RAF1__seq.10001.7__ANML",0.00786312151178915,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.0052934963282403,0.0377343319704495,0.00869219555337755,0.60899415984531,0.543048058118179,0.0415395902169157,0.0271266517239368,266,-0.0118207615426078,0.0224077541990884,-726.558138083584,"ZNF41__seq.10003.15__ANML",0.878235032313553,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",0.00503522100709387,0.0322807726637433,0.00859757242117645,0.58565613180434,0.558601306989654,0.236425265357779,0.22498594349048,267,-0.0118924415136443,0.021962883527832,-736.177360755864,"ELK1__seq.10006.25__ANML",0.883605345283792,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",-0.00218291285623277,-0.0208869111181079,0.0065108054905248,-0.33527539094964,0.737680626490241,0.0267416502875033,0.0121610008536082,267,-0.0150019637095074,0.0106361379970419,-885.859184740763,"GUCA1A__seq.10008.43__ANML",0.940882139926795,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.00702887699189906,0.0722043847712903,0.00597086618797949,1.17719553086779,0.240161879036414,0.0529793580759393,0.0388447216293115,268,-0.0047268937918655,0.0187846477756636,-936.000276607965,"BECN1__seq.10010.10__ANML",0.682696482461672,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",0.00889555908728432,0.0526976398153749,0.010453014953393,0.851004148271771,0.395538259515891,0.0419887140349807,0.0274733915203591,264,-0.0116863280202108,0.0294774461947794,-626.986299655301,"OCRL__seq.10011.65__ANML",0.799642897739173,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",0.0169175748919014,0.145930017570512,0.0071510950609137,2.36573206589982,0.018714637769123,0.0477028258972817,0.0333285289296935,265,0.00283738135333138,0.0309977684304714,-834.507659186516,"SPDEF__seq.10012.5__ANML",0.231895892073681,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",-0.00187987176748604,-0.0216519691708267,0.00550025969468647,-0.34177872897567,0.732790351946862,0.00539329486048068,-0.00973380331654616,263,-0.0127100204692773,0.00895027693430521,-968.10605943166,"SNAI2__seq.10014.31__ANML",0.939421908105297,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",0.00274977147007073,0.0324128178885586,0.00535238663689941,0.513746793087365,0.607865352155835,0.029501452647117,0.014570705764765,260,-0.00778977364623194,0.0132893165863734,-976.254361481565,"KCNAB2__seq.10015.119__ANML",0.901516085822101,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207",-0.000796285767160038,-0.00539509676352708,0.00931640101843525,-0.0854713923954488,0.931950693678609,0.00166668701606368,-0.0132896172983026,267,-0.0191392417345322,0.0175466702002121,-693.329325438604,"POLH__seq.10022.207__ANML",0.987637467318144,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32",-0.00323009530008125,-0.0152957075504621,0.0132907029909812,-0.243034194825746,0.80816763072053,0.018550058090206,0.00367960442490611,264,-0.0293993631868386,0.0229391725866761,-493.475306226724,"VDR__seq.10023.32__ANML",0.95690537876894,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
