"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10001.7",0.0372706835385559,2.05741630591887,0.822458240019825,0.00567424743600828,0.372,0.4340475592357,0,0.439721806671709,0,0.0129041756626926,0.372,-0.0192082607047641,0.0497011643759973,0.560458149779736,0,0.560458149779736,"RAF1__seq.10001.7__ANML","P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10025.1",0.109404314094657,2.13305542459693,-0.132323816081934,-0.00266129747747524,0.542,0.453585095558481,0,0.450923798081006,0,-0.00590187851872291,0.542,-0.0255768300560237,0.0129349271303807,0.725495107632094,0,0.725495107632094,"DLD__seq.10025.1__ANML","P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10048.7",0.0181910806481709,2.15138579201461,1.88697608964231,0.00628066317153124,0.238,0.455877016603803,0,0.462157679775334,0,0.0135898708306317,0.238,-0.00938780252617062,0.0438568639177102,0.415285714285714,0,0.415285714285714,"CBFB__seq.10048.7__ANML","Q13951","CBFB","CBFB","CBFB__seq.10048.7","CBFB"
"seq.10058.1",0.0934510574457644,2.04831417518194,0.43447724615214,0.00754575526701038,0.288,0.43395350997125,0,0.441499265238261,0,0.0170912068515861,0.288,-0.0140138059442341,0.0578042481944884,0.471272727272727,0,0.471272727272727,"RAD23A__seq.10058.1__ANML","P54725","RAD23A","RAD23A","RAD23A__seq.10058.1","RAD23A"
"seq.10064.12",0.0265733253162322,2.15724783082444,-0.505697047626473,-0.00243406810459712,0.786,0.450297135281143,0,0.447863067176546,0,-0.0054348489147412,0.786,-0.0417358827093882,0.0273064823706426,0.882147299509002,0,0.882147299509002,"RBBP9__seq.10064.12__ANML","O75884","RBBP9","RBBP9","RBBP9__seq.10064.12","RBBP9"
"seq.10073.22",0.0177754689352729,2.12296676695939,-0.707820324455344,-0.00230998871323945,0.59,0.448950591830448,0,0.446640603117208,0,-0.0051719183099734,0.59,-0.0267872006219048,0.0144843003518873,0.765768500948767,0,0.765768500948767,"TDP1__seq.10073.22__ANML","Q9NUW8","TDP1","TDP1","TDP1__seq.10073.22","TDP1"
"seq.10085.25",0.297778133499913,2.05487544465525,0.11149350872258,0.00616385600155691,0.862,0.435278303998673,0,0.44144216000023,0,0.0139629980098722,0.862,-0.096323771008061,0.138942900983122,0.916964230171073,0,0.916964230171073,"STAR__seq.10085.25__ANML","P49675","STAR","STAR","STAR__seq.10085.25","STAR"
"seq.10339.48",0.111103952862826,2.05222914674753,0.941929367169063,0.0194139108468472,0.014,0.433501412690094,0,0.452915323536941,0,0.0428643276964856,0.014,0.0101669890253034,0.0880357911055795,0.0439266055045872,0,0.0439266055045872,"ENO2__seq.10339.48__ANML","P09104","ENO2","ENO2","ENO2__seq.10339.48","ENO2_1"
"seq.10479.18",0.0924966267882177,2.02102111327796,2.17844847299089,0.0368801203049023,0,0.415083738737738,0,0.45196385904264,0,0.0815997110543806,0,0.0388120715459328,0.141060929711022,0,0,0,"MMP10__seq.10479.18__ANML","P09238","MMP10","MMP10","MMP10__seq.10479.18","MMP10_1"
"seq.10553.8",0.0713470704533843,2.05588107301993,0.519627602593124,0.0068701457112366,0.138,0.434202034595517,0,0.441072180306754,0,0.0155760123126754,0.138,-0.00437229643814257,0.0460340803469609,0.271241379310345,0,0.271241379310345,"TOR1AIP2__seq.10553.8__ANML","Q8NFQ8","TOR1AIP2","TOR1AIP2","TOR1AIP2__seq.10553.8","TOR1AIP2"
"seq.10582.36",0.0461665228770834,2.18936245848873,-0.584718780668962,-0.00486966800158863,0.208,0.457315931471401,0,0.452446263469812,0,-0.0107629753956705,0.208,-0.0330266752694925,0.00726517021310684,0.377379310344828,0,0.377379310344828,"POMK__seq.10582.36__ANML","Q9H5K3","POMK","POMK","POMK__seq.10582.36","POMK"
"seq.10624.45",0.0747129352622114,2.09952949835096,0.259719801731299,0.00357694829459847,0.854,0.444456717946419,0,0.448033666241018,0,0.00798365963122572,0.854,-0.065771930534547,0.0857257670426377,0.916964230171073,0,0.916964230171073,"SPINK13__seq.10624.45__ANML","Q1W4C9","SPINK13","SPINK13","SPINK13__seq.10624.45","SPINK13"
"seq.10737.96",0.0550840381535065,2.11630654204588,-0.229496995749447,-0.00232041750166554,0.594,0.446533303589278,0,0.444212886087613,0,-0.00522366093902075,0.594,-0.0303791118905484,0.016408613484606,0.7695,0,0.7695,"SERPINB1__seq.10737.96__ANML","P30740","SERPINB1","SERPINB1","SERPINB1__seq.10737.96","SERPINB1"
"seq.10748.216",-0.0180621913684232,2.14414366102798,0.430867853764042,-0.00142657988723359,0.748,0.454911337447933,0,0.4534847575607,0,-0.00314581661996135,0.748,-0.0283146013758885,0.0214814817627479,0.862682196339434,0,0.862682196339434,"PCDHB2__seq.10748.216__ANML","Q9Y5E7","PCDHB2","PCDHB2","PCDHB2__seq.10748.216","PCDHB2"
"seq.10870.32",0.0348255056015779,2.16291991128708,-0.834311619931496,-0.00529620300078632,0.334,0.456736036202542,0,0.451439833201756,0,-0.0117318025820273,0.334,-0.0391759630998785,0.0119180546546321,0.521142857142857,0,0.521142857142857,"SPAST__seq.10870.32__ANML","Q9UBP0","SPAST","SPAST","SPAST__seq.10870.32","SPAST_1"
"seq.10900.272",0.156030787129096,1.88614423766567,1.65589093349,0.048424958210782,0,0.391278535348277,0,0.439703493559059,0,0.110130938052867,0,0.0548430919604129,0.176778837835351,0,0,0,"STMN2__seq.10900.272__ANML","Q93045","STMN2","STMN2","STMN2__seq.10900.272","STMN2"
"seq.10948.14",0.105762022712179,2.07860224925646,0.381873779287034,0.00745442360251431,0.128,0.438381911431497,0,0.445836335034011,0,0.0167200899001326,0.128,-0.00485772414907301,0.0452319072100935,0.25979821958457,0,0.25979821958457,"PLD3__seq.10948.14__ANML","Q8IV08","PLD3","PLD3","PLD3__seq.10948.14","PLD3"
"seq.10978.39",0.0105329259687264,2.19233997235869,0.463718679282021,0.000883705249231211,0.86,0.460813804378413,0,0.461697509627644,0,0.00191403512213855,0.86,-0.0189245287886571,0.0250501804066255,0.916964230171073,0,0.916964230171073,"GH2__seq.10978.39__ANML","P01242","GH2","GH2","GH2__seq.10978.39","GH2"
