"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"A1BG_P04217_MS",-0.0263614569236125,-0.0488743924840162,0.0227050222726995,-1.16104078679145,0.246635809278264,0.52272924299731,0.515761786690702,274,-0.0710599176357389,0.0183370037885139,-173.04914925937,0.491577573797927,"A1BG","P04217","A1BG"
"A2M_P01023_MS",0.00376685726503607,0.00936046455474208,0.0175810360904143,0.214256841614122,0.830506133152768,0.48592978330757,0.47842510861133,274,-0.0308442187131082,0.0383779332431803,-315.766197397068,0.930755489203324,"A2M","P01023","A2M"
"A4GALT_Q9NPC4_MS",0.0159031216230756,0.0421464092437563,0.0212568835377487,0.748139848197138,0.455017461484316,0.14522340973387,0.132744919365021,274,-0.0259444468251072,0.0577506900712584,-209.824346503545,0.686493743648288,"A4GALT","Q9NPC4","A4GALT"
"ABAT_P80404_MS",-0.238853242743507,-0.111767287805064,0.133735473791409,-1.78601261110461,0.0753238650166397,0.0447541012135091,0.0292845320023919,247,-0.502260605214492,0.0245541197274785,711.257825359175,0.242377748293095,"ABAT","P80404","ABAT"
"ABCA2_Q9BZC7_MS",0.0401857081778648,0.0687867272047588,0.0223901899547656,1.79479085523843,0.0737891382928808,0.604379642012575,0.598604162333926,274,-0.00389295486020265,0.0842643712159322,-180.840632170736,0.240885832104501,"ABCA2","Q9BZC7","ABCA2"
"ABHD14A_Q9BUJ0_MS",0.0344556424404627,0.0539457984602016,0.0372302484875759,0.925474415030051,0.355548690109761,0.10126562265648,0.0879015426959812,269,-0.0388440888832463,0.107755373764172,98.9213531825297,0.602201296052014,"ABHD14A","Q9BUJ0","ABHD14A"
"ABHD14B_Q96IU4_MS",-0.0253834971008149,-0.0259845674755751,0.0579550167346567,-0.437986192239951,0.661742632985325,0.0542694029861119,0.040412544421806,273,-0.13947905287143,0.0887120586697998,348.494972649869,0.830357773814196,"ABHD14B","Q96IU4","ABHD14B"
"ABI3BP_Q7Z7G0_MS",0.0390931060105145,0.10577244074992,0.0218846044116936,1.78632911407007,0.0751556531605889,0.0591465534919816,0.0453611550083477,273,-0.00399093129732184,0.0821771433183508,-193.341198036429,0.242377748293095,"ABI3BP","Q7Z7G0","ABI3BP"
"ACACA_Q13085_MS",-0.000567737887086716,-0.000437874995565925,0.0819424791441743,-0.00692849292596829,0.994477544892408,0.0301268398375877,0.0142921759982014,245,-0.161969340891633,0.16083386511746,465.625306861994,0.998648331098992,"ACACA","Q13085","ACACA"
"ACAN_P16112_MS",0.000949261525088845,0.00121988776397487,0.0406665460489304,0.0233425657528595,0.981394008541973,0.264403586707368,0.253664952936672,274,-0.0791093259113846,0.0810078489615623,152.164212394667,0.996159214287338,"ACAN","P16112","ACAN"
"ACE_P12821_MS",-0.0399211210135096,-0.0775717009477524,0.0231525910659338,-1.72426148329673,0.0857884843861167,0.454873356112459,0.44691530291702,274,-0.0855006923398462,0.00565845031282702,-162.156680208908,0.262589130048649,"ACE","P12821","ACE"
"ACHE_P22303_MS",0.118671534761829,0.14292632991574,0.0455298228814585,2.60645720214643,0.00964910865550779,0.190120657133371,0.178297601033129,274,0.0290388105630088,0.208304258960649,215.196879573682,0.0581227511174012,"ACHE","P22303","ACHE"
"ACP1_P24666_MS",0.0369631851610457,0.0324765472897422,0.0721438027865183,0.512354266525483,0.608868458189007,0.0438993980656449,0.0281611165523222,243,-0.105143830356555,0.179070200678646,391.669766589584,0.792047920016648,"ACP1","P24666","ACP1"
"ACP2_P11117_MS",0.0562825188889709,0.0716290387675688,0.0383167412334512,1.46887540738552,0.143013720779409,0.359520312055074,0.350170243617922,274,-0.0191501026724479,0.13171514045039,118.952676548317,0.35403159614901,"ACP2","P11117","ACP2"
"ACTA1_P68133_MS",0.00729719596224255,0.0120643627086262,0.0308268220460334,0.236715803897843,0.81305479346424,0.302793544374173,0.292578065170864,273,-0.0533913102647042,0.0679857021891893,-4.460216957412,0.918829090994764,"ACTA1","P68133","ACTA1"
"ACTB_P60709_MS",0.0556006256047101,0.0919125011683141,0.0306117842256104,1.81631443613122,0.0704188516775964,0.312611614526483,0.3025399898309,273,-0.00466453746723085,0.115865788676651,-6.66013326189684,0.232888489861855,"ACTB","P60709","ACTB"
"ACTN1_P12814_MS",-0.00351533812440656,-0.00257575817738354,0.0840625465479079,-0.0418181255358846,0.966676409782721,0.0421596431448089,0.0271346963706098,255,-0.169060599569699,0.162029923320886,509.801962845178,0.991756177089898,"ACTN1","P12814","ACTN1"
"ACVR1_Q04771_MS",-0.0316103331478634,-0.0361314223645787,0.051568630301564,-0.612976008147044,0.540413969582518,0.0911459400094946,0.077530148848588,267,-0.133143222623907,0.0699225563281798,271.927841524074,0.742564748428388,"ACVR1","Q04771","ACVR1"
"ACVR1B_P36896_MS",-0.0780508288091305,-0.101675942957143,0.0319919450702136,-2.43970251379934,0.0153338077987622,0.532200552462942,0.525371363447803,274,-0.141032079505584,-0.015069578112677,18.2879397896477,0.0812450968185724,"ACVR1B","P36896","ACVR1B"
