"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"A1BG_P04217_MS",-0.0253065739776352,-0.0469186294442198,0.02280805612391,-1.10954540975134,0.268171372436337,0.523297823965305,0.51456701488042,273,-0.0702086029325976,0.0195954549773271,-171.381724961176,0.515459504094156,"A1BG","P04217","A1BG"
"A2M_P01023_MS",0.0048121004099757,0.0119578450023925,0.0176541019892598,0.272576900988972,0.785384526670614,0.486932621772439,0.477535783343363,273,-0.0299433822312916,0.039567583051243,-314.310996890312,0.90421972808949,"A2M","P01023","A2M"
"A4GALT_Q9NPC4_MS",0.0153490095214545,0.0406779028740412,0.0213620697459608,0.718516965068739,0.473053082897248,0.145543971349851,0.129894593535746,273,-0.0267063181689011,0.0574043372118101,-207.928997784966,0.697480313639946,"A4GALT","Q9NPC4","A4GALT"
"ABAT_P80404_MS",-0.246096611239417,-0.115156698147841,0.134228676935197,-1.83341307430325,0.0679494204743251,0.0468216501797474,0.0274481064842138,246,-0.510480685327799,0.0182874628489643,712.711801545323,0.227955427100828,"ABAT","P80404","ABAT"
"ABCA2_Q9BZC7_MS",0.0398419786562489,0.0681983581076918,0.0225037408479712,1.77046025038281,0.0777664646194223,0.604431100801135,0.597186249167456,273,-0.00446094736519694,0.0841449046776948,-178.876924377431,0.245936444358923,"ABCA2","Q9BZC7","ABCA2"
"ABHD14A_Q9BUJ0_MS",0.0332503574362581,0.0520587327339921,0.0374117782916629,0.888767093000437,0.374925278500106,0.101794995984562,0.0850374399394982,268,-0.0404080157986369,0.106908730671153,100.759913906842,0.618963102515672,"ABHD14A","Q9BUJ0","ABHD14A"
"ABHD14B_Q96IU4_MS",-0.0209105284764273,-0.0214056808637378,0.0581605742461025,-0.359530983788878,0.719476869385812,0.0573506499643172,0.0400225369121908,272,-0.135412637971206,0.0935915810183516,349.587753293431,0.86515926923705,"ABHD14B","Q96IU4","ABHD14B"
"ABI3BP_Q7Z7G0_MS",0.0388806951715132,0.105197730393653,0.0219986129315862,1.76741575900393,0.0782798595848906,0.0591943260498281,0.0419001041022147,272,-0.00442849871586571,0.0821898890588921,-191.355314058762,0.246788840809686,"ABI3BP","Q7Z7G0","ABI3BP"
"ACACA_Q13085_MS",0.0121711706117435,0.00938716861930209,0.0822245817138296,0.148023502924021,0.882446469945774,0.0384612642115596,0.018757601592944,244,-0.149789382990364,0.174131724213851,465.467694567174,0.958553967727684,"ACACA","Q13085","ACACA"
"ACAN_P16112_MS",-0.000331053847386978,-0.000425434431893131,0.0408642612866308,-0.00810130507596589,0.993542081261808,0.26480599021945,0.251340898465228,273,-0.0807801825915023,0.0801180748967283,154.011545392066,0.998299107008573,"ACAN","P16112","ACAN"
