"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"A1BG_P04217_MS",0.0201176725108297,0.027749541896912,0.0303680943529598,0.662460814202158,0.508232768361662,0.521148139839418,0.514157601734884,274,-0.0396667688358791,0.0799021138575386,-172.126405303237,0.999885049473507,"A1BG","P04217","A1BG"
"A2M_P01023_MS",0.0166991774757891,0.0308730431480793,0.0234561627147209,0.71193134524552,0.477113010055816,0.486792988198353,0.479300915033365,274,-0.0294780230998675,0.0628763780514457,-316.235076127232,0.999885049473507,"A2M","P01023","A2M"
"A4GALT_Q9NPC4_MS",-0.0107899772472086,-0.0212747687915002,0.0284057218438949,-0.379852246195519,0.70434935228315,0.143928121043558,0.131430721350763,274,-0.0667111750592715,0.0451312205648544,-209.401882889558,0.999885049473507,"A4GALT","Q9NPC4","A4GALT"
"ABAT_P80404_MS",-0.103149364011118,-0.0372316439586378,0.173699382631376,-0.593838403156684,0.553163651614611,0.0337971906586576,0.0181501816004983,247,-0.4452702310081,0.238971502985864,714.131876982101,0.999885049473507,"ABAT","P80404","ABAT"
"ABCA2_Q9BZC7_MS",-0.00997482898291736,-0.0127029503205718,0.030066716154404,-0.331756515466898,0.740326739708796,0.599889260569986,0.594048227877577,274,-0.0691659592372237,0.049216301271389,-177.691755055789,0.999885049473507,"ABCA2","Q9BZC7","ABCA2"
"ABHD14A_Q9BUJ0_MS",-0.0236428161888306,-0.0273189127862985,0.0501746878749093,-0.471210030200378,0.637872672752619,0.0991476140023054,0.0857520394893285,269,-0.122427844220785,0.0751422118431238,99.5663175165911,0.999885049473507,"ABHD14A","Q9BUJ0","ABHD14A"
"ABHD14B_Q96IU4_MS",0.0755095415440907,0.0575401804220399,0.0772832498479055,0.977049253139517,0.329409759586573,0.0569026748235454,0.0430843989967842,273,-0.0766373447820268,0.227656427870208,347.71983581874,0.999885049473507,"ABHD14B","Q96IU4","ABHD14B"
"ABI3BP_Q7Z7G0_MS",-0.00771342872776014,-0.0155354976062858,0.0293727440016534,-0.262604975800897,0.793053124738334,0.048389731608332,0.0344467240128496,273,-0.0655393036942077,0.0501124462386875,-190.180842923128,0.999885049473507,"ABI3BP","Q7Z7G0","ABI3BP"
"ACACA_Q13085_MS",0.178375583571543,0.090951616505145,0.123047797068655,1.44964467321603,0.14843647924114,0.038374918989037,0.0226749176664091,245,-0.0639909142508621,0.420742081393947,463.490143310704,0.999885049473507,"ACACA","Q13085","ACACA"
"ACAN_P16112_MS",-0.0210568771575326,-0.0201323318571261,0.0542870133967283,-0.38788056000888,0.698405587447378,0.264805813473575,0.254073051626474,274,-0.12792952878272,0.0858157744676549,152.011612465645,0.999885049473507,"ACAN","P16112","ACAN"
"ACE_P12821_MS",-0.0372180041370523,-0.0538046470475246,0.0310014001836828,-1.20052655417292,0.230971772168628,0.451841739044853,0.443839428665946,274,-0.0982492091051899,0.0238132008310852,-160.609373873614,0.999885049473507,"ACE","P12821","ACE"
"ACHE_P22303_MS",-0.0676378762216055,-0.060606857488316,0.0614090554363114,-1.10143163318566,0.271675445122114,0.173698820720084,0.161636029781691,274,-0.188531404482496,0.0532556520392853,220.797540567259,0.999885049473507,"ACHE","P22303","ACHE"
"ACP1_P24666_MS",0.176626337095854,0.11275413866973,0.0977747417780976,1.80646181093183,0.0720833393425678,0.0555497906797068,0.0400032851764921,243,-0.0159678457781041,0.369220519969813,388.629244292181,0.999885049473507,"ACP1","P24666","ACP1"
"ACP2_P11117_MS",0.0512863119792982,0.0485605042544087,0.0512716974606512,1.00028504066319,0.318055134425335,0.356825587159367,0.347436179672642,274,-0.0496502088954054,0.152222832854002,120.124065865509,0.999885049473507,"ACP2","P11117","ACP2"
"ACTA1_P68133_MS",-0.0104135592679005,-0.0128546627445589,0.0410212067262826,-0.253857945656885,0.799796390605716,0.302815016034778,0.292599851434555,273,-0.0911716651838234,0.0703445466480224,-4.46877857286557,0.999885049473507,"ACTA1","P68133","ACTA1"
"ACTB_P60709_MS",0.00569566666525471,0.0070088185941733,0.0411029606664209,0.138570715415831,0.889891544807337,0.304353976017239,0.294161360281228,273,-0.0752233875475037,0.0866147208780131,-3.34040271976211,0.999885049473507,"ACTB","P60709","ACTB"
"ACTN1_P12814_MS",0.183177548798563,0.0982432696716346,0.114056724360367,1.6060214759439,0.109506792993913,0.0517446032994854,0.0368700088414381,255,-0.0414355640467606,0.407790661643887,507.187077793979,0.999885049473507,"ACTN1","P12814","ACTN1"
"ACVR1_Q04771_MS",-0.112911114774866,-0.0934866688353223,0.0703072342747745,-1.60596723707815,0.109463120329098,0.0985744119909865,0.0850699087998402,267,-0.251338228414346,0.025515998864615,269.695528165856,0.999885049473507,"ACVR1","Q04771","ACVR1"
"ACVR1B_P36896_MS",0.0189585656777346,0.0183743628187774,0.0431650125137125,0.439211402329881,0.660854531781028,0.522374732684069,0.51540210104442,274,-0.0660186518210803,0.103935783176549,24.0874548346569,0.999885049473507,"ACVR1B","P36896","ACVR1B"
"ACVR2A_P27037_MS",-0.0139628670442926,-0.0104158979208727,0.0658525525336209,-0.212032282836172,0.832247335063632,0.374785889882071,0.36520406443965,261,-0.143632780802958,0.115707046714373,239.241528158045,0.999885049473507,"ACVR2A","P27037","ACVR2A"
"ACYP1_P07311_MS",0.0569718509655115,0.0722598278046779,0.0421883666182113,1.35041613440703,0.178000926585941,0.222180572820152,0.210783951176491,273,-0.0260840328486127,0.140027734779636,4.82119556391459,0.999885049473507,"ACYP1","P07311","ACYP1"
"ACYP2_P14621_MS",0.0157734800447539,0.0162381625229754,0.040362618074997,0.390794274430998,0.696252985647207,0.5288194940274,0.521940946494954,274,-0.0636867766594696,0.0952337367489775,-13.3689704277378,0.999885049473507,"ACYP2","P14621","ACYP2"
"ADA2_Q9NZK5_MS",0.0557326816820632,0.0757226874913434,0.0379819595899751,1.46734613705326,0.143428798807409,0.273230282336767,0.262620505436573,274,-0.0190408687734864,0.130506232137613,-47.2913316673266,0.999885049473507,"ADA2","Q9NZK5","ADA2"
"ADAM10_O14672_MS",0.0204936276809926,0.0333437755900164,0.0257431238998599,0.796081616229339,0.426676285358028,0.523132574463823,0.516145505957799,273,-0.0301866446080135,0.0711738999699986,-263.601129510333,0.999885049473507,"ADAM10","O14672","ADAM10"
"ADAM11_O75078_MS",0.00544450244543169,0.00727843575769143,0.0213596846384555,0.254896199901263,0.798994482756845,0.77748498831161,0.774236593980393,274,-0.0366054463794763,0.0474944512703397,-368.479507288362,0.999885049473507,"ADAM11","O75078","ADAM11"
"ADAM15_Q13444_MS",-0.0182387767238838,-0.035256878483135,0.0288712613288699,-0.631727741858158,0.528093424440099,0.152943189181441,0.140532100378239,273,-0.0750773869549499,0.0385998335071824,-199.710603055508,0.999885049473507,"ADAM15","Q13444","ADAM15"
"ADAM17_P78536_MS",-0.041347048104714,-0.0749532263837178,0.0257169235951275,-1.6077758271424,0.10903593721962,0.406884047163881,0.398225420115178,274,-0.0919749173552862,0.0092808211458582,-264.890138011177,0.999885049473507,"ADAM17","P78536","ADAM17"
"ADAM22_Q9P0K1_MS",0.0245986576176936,0.0277594913697666,0.0228461764063608,1.07670785606141,0.28255788313596,0.818600044553359,0.815951870021291,274,-0.0203776875387656,0.0695750027741528,-330.93809370939,0.999885049473507,"ADAM22","Q9P0K1","ADAM22"
"ADAM23_O75077_MS",-0.0137424132953324,-0.017565658709802,0.0217683775062864,-0.631301680217727,0.528369571875187,0.788716821648568,0.785632395687233,274,-0.0565969392695891,0.0291121126789243,-357.903680990663,0.999885049473507,"ADAM23","O75077","ADAM23"
"ADAM28_Q9UKQ2_MS",-0.0616627871284948,-0.0589438872218366,0.0560120790492681,-1.10088374106336,0.271913435507596,0.217643739691213,0.206222480416632,274,-0.171931505860324,0.0486059316033346,169.467152836125,0.999885049473507,"ADAM28","Q9UKQ2","ADAM28"
"ADAM9_Q13443_MS",0.0380802142992278,0.0271168678079394,0.0792311106316979,0.480621992997699,0.631168701636158,0.131276241834917,0.118594143175573,274,-0.11789887452146,0.194059303119915,362.982483531263,0.999885049473507,"ADAM9","Q13443","ADAM9"
"ADAMDEC1_O15204_MS",-0.0514782542256099,-0.0530964471954519,0.0582998769689899,-0.88299078663565,0.378015284112986,0.0132014295019926,-0.00120438904542342,274,-0.166250868360129,0.0632943599089087,191.805353825825,0.999885049473507,"ADAMDEC1","O15204","ADAMDEC1"
"ADAMTS1_Q9UHI8_MS",0.0133899422930404,0.0167980641874867,0.0217482827332533,0.615678141454687,0.538618035054277,0.796848078812225,0.793882357335031,274,-0.0294250239128024,0.0562049084988832,-358.419018522898,0.999885049473507,"ADAMTS1","Q9UHI8","ADAMTS1"
"ADAMTS16_Q8TE57_MS",-0.00328062207852954,-0.00300668593827668,0.0610529145405524,-0.0537340781061401,0.957186188214255,0.145550383097211,0.133076666062134,274,-0.123473030135887,0.116911785978828,217.552007605208,0.999885049473507,"ADAMTS16","Q8TE57","ADAMTS16"
"ADAMTS2_O95450_MS",-0.0212613872869723,-0.0227490983871255,0.0490327152561904,-0.433616355445215,0.664908247902918,0.248849433352626,0.237883731649745,274,-0.117790114286857,0.0752673397129121,95.2087186440468,0.999885049473507,"ADAMTS2","O95450","ADAMTS2"
"ADAMTS3_O15072_MS",-0.0391245592967637,-0.033311023579819,0.0648763650094187,-0.603063369704571,0.546965373648286,0.167354792701547,0.155199388215438,274,-0.166844039933692,0.0885949213401645,251.446290371299,0.999885049473507,"ADAMTS3","O15072","ADAMTS3"
"ADAMTS4_O75173_MS",-0.0117646680256504,-0.0139745729758041,0.0331227249826102,-0.355184183421715,0.72272486750236,0.577545649831481,0.571378433040699,274,-0.0769720394843413,0.0534427034330404,-123.676898698371,0.999885049473507,"ADAMTS4","O75173","ADAMTS4"
"ADAMTS8_Q9UP79_MS",-0.0158412944815399,-0.0218038520541109,0.0288620737942714,-0.548861963088879,0.583547155110033,0.56932455131498,0.563037318487462,274,-0.0726608939546898,0.04097830499161,-200.50858515687,0.999885049473507,"ADAMTS8","Q9UP79","ADAMTS8"
"ADAMTSL1_Q8N6G6_MS",-0.137783229939403,-0.068714178301975,0.126501159206126,-1.08918551263941,0.27712933605417,0.0191815070289691,0.00336185391653321,248,-0.386936833267267,0.11137037338846,539.005462563818,0.999885049473507,"ADAMTSL1","Q8N6G6","ADAMTSL1"
"ADAMTSL2_Q86TH1_MS",-0.00744813009187839,-0.0111402955007925,0.020743748841466,-0.359054197425967,0.719831072106667,0.737285927702588,0.73345068577124,274,-0.0482855109795141,0.0333892507957573,-384.806759838364,0.999885049473507,"ADAMTSL2","Q86TH1","ADAMTSL2"
"ADAMTSL3_P82987_MS",0.0369129549067979,0.0528318242615684,0.0400141194635345,0.922498243162325,0.357080333102607,0.104903107514196,0.0918359995946952,274,-0.041861226650456,0.115687136464052,-18.20776955666,0.999885049473507,"ADAMTSL3","P82987","ADAMTSL3"
"ADAMTSL4_Q6UY14_MS",-0.136282706634543,-0.109026205398031,0.0790971437102541,-1.72297886171173,0.086138849413607,0.0130874716728566,-0.00283047233241995,248,-0.292070515157624,0.0195051018885381,318.745998518213,0.999885049473507,"ADAMTSL4","Q6UY14","ADAMTSL4"
"ADARB1_P78563_MS",-0.102684083920234,-0.0642044874722092,0.0936089622324567,-1.09694714556541,0.273638263656215,0.0752845975171344,0.0616356616871291,271,-0.286977319345825,0.0816091515053569,450.728469578579,0.999885049473507,"ADARB1","P78563","ADARB1"
"ADCYAP1_P18509_MS",0.054621793482308,0.0261506820995004,0.122395137002795,0.446274213337908,0.655780893912083,0.13464187956129,0.120960328250007,253,-0.186421329441496,0.295664916406112,540.037693037005,0.999885049473507,"ADCYAP1","P18509","ADCYAP1"
"ADCYAP1R1_P41586_MS",-0.0764902236414464,-0.0706921383780067,0.0571662865914077,-1.33803030076372,0.182008205682101,0.247114916356134,0.236002221394601,271,-0.189036711306109,0.0360562640232167,178.293196825385,0.999885049473507,"ADCYAP1R1","P41586","ADCYAP1R1"
"ADGRB1_O14514_MS",0.0360534362066412,0.0378391705567799,0.0336763513714842,1.07058617511545,0.285297681015369,0.659082036713821,0.654105132140301,274,-0.0302438371730902,0.102350709586373,-114.42735168516,0.999885049473507,"ADGRB1","O14514","ADGRB1"
"ADGRB2_O60241_MS",0.0563765955234082,0.0485533395906447,0.0385870100490113,1.46102523755537,0.145154294981089,0.6986073140847,0.694207420859659,274,-0.0195880933440424,0.132341284390859,-38.4724802398036,0.999885049473507,"ADGRB2","O60241","ADGRB2"
"ADGRB3_O60242_MS",-0.0121768833538587,-0.01219682912716,0.0398760113861926,-0.3053686397049,0.760317255590254,0.564633567518409,0.558277853175612,274,-0.0906791771148819,0.0663254104071645,-20.1370287306253,0.999885049473507,"ADGRB3","O60242","ADGRB3"
"ADGRF5_Q8IZF2_MS",-0.0152091510743863,-0.0116970920698065,0.0749503344589308,-0.202923058104833,0.839353274021071,0.13488482683878,0.121626356752018,261,-0.162793459222666,0.132375157073893,297.339292159328,0.999885049473507,"ADGRF5","Q8IZF2","ADGRF5"
"ADGRG1_Q9Y653_MS",-0.0183295077373494,-0.0194849072958826,0.0432332017917953,-0.423968315500239,0.671921572453455,0.423578972135674,0.415164066619407,274,-0.103440966715021,0.0667819512403226,24.9682513968653,0.999885049473507,"ADGRG1","Q9Y653","ADGRG1"
"ADGRG6_Q86SQ4_MS",-0.043768489851229,-0.0338041511652599,0.0822119389470404,-0.532386055015975,0.594941126416667,0.0146177685776116,-0.00147010458846819,245,-0.205700846191312,0.118163866488854,323.59639992422,0.999885049473507,"ADGRG6","Q86SQ4","ADGRG6"
"ADGRL1_O94910_MS",0.00913856078820132,0.0105337279677969,0.0221567383329812,0.412450634694648,0.680331679908669,0.821995830326352,0.819397229309218,274,-0.0344805154668546,0.0527576370432572,-348.036388253818,0.999885049473507,"ADGRL1","O94910","ADGRL1"
"ADGRL2_O95490_MS",0.0807116897982342,0.0761178839027873,0.0520753634424606,1.54990161302311,0.122319364383559,0.341773924143123,0.332164784349592,274,-0.0218069758496448,0.183230355446113,128.802680501255,0.999885049473507,"ADGRL2","O95490","ADGRL2"
"ADGRL3_Q9HAR2_MS",0.0188597620851157,0.0215879621701494,0.0227901881747535,0.827538673243963,0.408651958828741,0.81428087443187,0.811569646321386,274,-0.0260063613001078,0.0637258854703392,-332.307240844476,0.999885049473507,"ADGRL3","Q9HAR2","ADGRL3"
