"Protein_id","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","symbol","UniProt","label"
"ACHE_P22303_MS",1.89239147900127,0.0635183606468713,0.147189339471542,0.0681157909023233,0.002,0.0635183606468713,0.11,0.131634151549195,0,0.517462908376531,0.002,0.227476447928083,1.27182916383965,0.00755555555555556,0.116875,0.00816,"ACHE","P22303","ACHE"
"ALDOA_P04075_MS",1.89239147900127,0.108181876105308,0.0340128661223372,0.0136188337190042,0.036,0.108181876105308,0,0.121800709824313,0,0.111812433101977,0.036,0.00518450294442968,0.262752722584456,0.0834545454545454,0,0.0834545454545454,"ALDOA","P04075","ALDOA"
"ALDOC_P09972_MS",1.89239147900127,0.0537742604683398,-0.0112708699089976,-0.00523857333798481,0.486,0.0537742604683398,0,0.048535687130355,0,-0.10793240289182,0.486,-0.458224046721046,0.248117509980323,0.638153846153846,0,0.638153846153846,"ALDOC","P09972","ALDOC"
"ANGPTL4_Q9BY76_MS",1.89239147900127,0.0790154725535713,0.0424136796604762,0.016641182160549,0.11,0.0790154725535713,0.008,0.0956566547141203,0,0.17396784583658,0.11,-0.0467471559026971,0.591342929497916,0.211698113207547,0.01088,0.211698113207547,"ANGPTL4","Q9BY76","ANGPTL4"
"AP2B1_P63010_MS",1.89239147900127,0.0467807607191422,-0.0020382748787881,-0.000775118615877167,0.906,0.0467807607191423,0.004,0.0460056421032651,0,-0.0168483381698558,0.906,-0.39606179784355,0.329495385092797,0.92412,0.00566666666666667,0.92412,"AP2B1","P63010","AP2B1"
"AQP4_P55087_MS",1.89239147900127,0.0685454659016646,0.0333059143239892,0.0125316015665714,0.09,0.0685454659016645,0,0.0810770674682359,0,0.154564070431888,0.09,-0.0242255089240644,0.426346304985569,0.176538461538462,0,0.176538461538462,"AQP4","P55087","AQP4"
"BASP1_P80723_MS",1.88468689297475,0.0705654278712233,0.0131766864399456,0.00584449801771783,0.458,0.0705654278712232,0.002,0.076409925888941,0,0.076488727736925,0.458,-0.162216473593789,0.346693015323881,0.62288,0.00309090909090909,0.62288,"BASP1","P80723","BASP1"
"CALB2_P22676_MS",1.89239147900127,0.0229990965301939,0.0758431340583852,0.0329620059489159,0.002,0.0229990965301939,0.268,0.0559611024791098,0.002,0.589016379032571,0.004,0.240770722545173,1.68091185264063,0.00755555555555556,0.276121212121212,0.0151111111111111,"CALB2","P22676","CALB2"
"CALM1_P0DP23_MS",1.89239147900127,0.0634523268694735,0.0421163357103662,0.0189820104610101,0.006,0.0634523268694735,0,0.0824343373304836,0,0.230268248350323,0.006,0.0632954042192989,0.449424033311625,0.0204,0,0.0211034482758621,"CALM1","P0DP23","CALM1"
"CAMK2A_Q9UQM7_MS",1.88468689297475,0.0691369244008808,0.0373533854866704,0.0164927246402839,0.14,0.0691369244008808,0.008,0.0856296490411648,0,0.19260530464577,0.14,-0.0666299267517733,0.609992064487242,0.250526315789474,0.01088,0.250526315789474,"CAMK2A","Q9UQM7","CAMK2A"
"CBR1_P16152_MS",1.89239147900127,0.0402879513499074,0.0394565986634684,0.0192122673572623,0.014,0.0402879513499074,0.018,0.0595002187071697,0,0.322894062823793,0.014,0.0599755166779771,0.770996436513322,0.0385945945945946,0.0218571428571429,0.0385945945945946,"CBR1","P16152","CBR1"
"CDH3_P22223_MS",1.89580865821964,0.15964532524519,-0.0206211890870852,-0.0095815626061204,0.646,0.15964532524519,0,0.15006376263907,0,-0.0638499424352419,0.646,-0.407858722283287,0.280772989389637,0.768558139534884,0,0.768558139534884,"CDH3","P22223","CDH3"
"CHIT1_Q13231_MS",1.89239147900127,0.122075674758328,0.222123983426718,0.0943021338089287,0,0.122075674758328,0.08,0.216377808567257,0,0.435821651182019,0,0.160512470543123,1.06181162497933,0,0.0868085106382979,0,"CHIT1","Q13231","CHIT1"
"CRP_P02741_MS",1.89239147900127,-0.357323526563736,-0.0349528700731367,-0.016105044762069,0.724,-0.357323526563736,0,-0.373428571325805,0,0.0431275108513801,0.724,-0.175833369439915,0.261344173469551,0.820533333333333,0,0.820533333333333,"CRP","P02741","CRP"
"CRYM_Q14894_MS",1.89239147900127,0.100836945730459,-6.06529670715866e-05,-2.56280142555989e-05,0.988,0.100836945730459,0,0.100811317716203,0,-0.000254217629887003,0.988,-0.263388022298181,0.235248759727238,0.997782178217822,0,0.996,"CRYM","Q14894","CRYM"
"CSTB_P04080_MS",1.89239147900127,0.0476744937940248,0.0153828714433526,0.00696407660916365,0.454,0.0476744937940248,0.014,0.0546385704031884,0,0.127457152662934,0.454,-0.185849700486344,0.583936811956901,0.62288,0.0174146341463415,0.62288,"CSTB","P04080","CSTB"
"DDAH1_O94760_MS",1.89239147900127,0.0417897600716955,0.0252805066281828,0.00930851652506531,0.054,0.0417897600716955,0.002,0.0510982765967608,0,0.18216889384593,0.054,-0.00248998226323783,0.544784760420704,0.11475,0.00309090909090909,0.117191489361702,"DDAH1","O94760","DDAH1"
"DTD1_Q8TEA8_MS",1.89239147900127,0.045587852530241,0.0157980416495105,0.00737453855671313,0.382,0.045587852530241,0.01,0.0529623910869542,0,0.13924104265998,0.382,-0.196513015987198,0.604544862962991,0.573,0.0132467532467532,0.573,"DTD1","Q8TEA8","DTD1"
"DYNLL2_Q96FJ2_MS",1.89239147900127,0.0413037377578217,0.00764347129014042,0.00344494480682385,0.636,0.0413037377578217,0.01,0.0447486825646456,0,0.076984273265412,0.636,-0.232944086200011,0.46890070469325,0.768558139534884,0.0132467532467532,0.768558139534884,"DYNLL2","Q96FJ2","DYNLL2"
"ENO1_P06733_MS",1.89239147900127,0.0630498252490483,0.0890837232582126,0.0399711675786346,0,0.0630498252490483,0,0.103020992827683,0,0.387990510298149,0,0.230880147662077,0.586190818777625,0,0,0,"ENO1","P06733","ENO1"
"ENO2_P09104_MS",1.89239147900127,0.055475042103049,0.0420365306412658,0.0196226863355607,0.004,0.055475042103049,0,0.0750977284386097,0,0.261295338002157,0.004,0.0789322923896129,0.498279588062984,0.0145714285714286,0,0.0151111111111111,"ENO2","P09104","ENO2"
"ENOPH1_Q9UHY7_MS",1.89239147900127,0.0536806854519953,0.0864854550788114,0.0361951200329834,0,0.0536806854519953,0.014,0.0898758054849787,0,0.402723734576519,0,0.196888587741406,0.804441393039156,0,0.0174146341463415,0,"ENOPH1","Q9UHY7","ENOPH1"
"FABP3_P05413_MS",1.89239147900127,0.100695444219009,0.117852598868303,0.0471884651404272,0,0.100695444219009,0,0.147883909359436,0,0.319091274668256,0,0.196384102364423,0.509838395877099,0,0,0,"FABP3","P05413","FABP3"
"FDPS_P14324_MS",1.89239147900127,0.0372576564604901,0.0554588113649106,0.0232101262855159,0.01,0.0372576564604901,0.084,0.060467782746006,0.004,0.383842853689703,0.014,0.0882300467751541,1.14415021485053,0.03,0.0901894736842105,0.0385945945945946,"FDPS","P14324","FDPS"
"FKBP1A_P62942_MS",1.89239147900127,0.101744741196948,0.0414398601333777,0.0140912200453538,0.032,0.101744741196948,0,0.115835961242302,0,0.121648060707834,0.032,0.0146080789832106,0.334768584984796,0.0777142857142857,0,0.0777142857142857,"FKBP1A","P62942","FKBP1A"
