"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"A1BG_P04217_MS",-0.00407194628313281,-0.00810847762683656,0.0188079265168886,-0.216501605292662,0.828686694894239,0.453629218257918,0.448065361010036,491,-0.0410258961620255,0.0328820035957599,-250.216888906941,0.922863462173881,"A1BG","P04217","A1BG"
"A2M_P01023_MS",0.0376785918847596,0.103394255133663,0.0135447529564133,2.78178509464208,0.00561409298301786,0.461882979385435,0.456403172658199,491,0.0110657634358699,0.0642914203336492,-576.526381476499,0.0749607304773176,"A2M","P01023","A2M"
"A4GALT_Q9NPC4_MS",-0.0211136402860322,-0.059652171951149,0.0169058222342144,-1.24889756875013,0.212297642255992,0.111351638176932,0.102302265856941,491,-0.0543303219305317,0.0121030413584673,-356.19749764016,0.517065120223,"A4GALT","Q9NPC4","A4GALT"
"ABAT_P80404_MS",-0.0789385032354569,-0.0403327838273649,0.101396042941115,-0.778516606227917,0.43667920958928,0.0558469241145047,0.0452145696563346,444,-0.278214304593997,0.120337298123083,1244.62926711386,0.707712017542926,"ABAT","P80404","ABAT"
"ABCA2_Q9BZC7_MS",-0.000113288761161988,-0.000211316309190309,0.0172618509344886,-0.00656295559450353,0.994766222258496,0.596170385146846,0.592058067276651,491,-0.0340294981677231,0.0338029206453991,-335.48169791939,0.996949812404787,"ABCA2","Q9BZC7","ABCA2"
"ABHD14A_Q9BUJ0_MS",0.0308689847228955,0.053265199865294,0.0278754705659014,1.10738882954162,0.268674758686829,0.102713102221024,0.0934627218315498,485,-0.0239026155018617,0.0856405849476526,137.065230872874,0.568826058140316,"ABHD14A","Q9BUJ0","ABHD14A"
"ABHD14B_Q96IU4_MS",0.00935349340042401,0.00970445752814154,0.0480124815022454,0.194813788160201,0.845619474586576,0.0353618808300169,0.0255186347160375,490,-0.0849822527888184,0.103689239589666,678.933511155565,0.929110205119776,"ABHD14B","Q96IU4","ABHD14B"
"ABI3BP_Q7Z7G0_MS",-0.0200805343175864,-0.0585118267489559,0.0168120191508726,-1.1944153844569,0.232893372541917,0.0655316053888476,0.0559962136071013,490,-0.0531130775630596,0.0129520089278868,-361.208433832783,0.539949812170493,"ABI3BP","Q7Z7G0","ABI3BP"
"ACACA_Q13085_MS",-0.0431521943656665,-0.0328044130884541,0.0695719643587922,-0.620252637156034,0.535411122293717,0.0271778948994161,0.0161731199548394,442,-0.179885147778482,0.0935807590471493,897.612427327565,0.759938367126567,"ACACA","Q13085","ACACA"
"ACAN_P16112_MS",-0.00579586805405781,-0.00849448588327821,0.0300109553664252,-0.193125076602591,0.846940873738135,0.246422500641023,0.238748595352235,491,-0.0647616099412729,0.0531698738331573,214.263496219927,0.929110205119776,"ACAN","P16112","ACAN"
