"Protein_id","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","symbol","UniProt","label"
"ACHE_P22303_MS",0.127093921633237,1.82739642846178,1.0242209661168,0.0258383938878507,0,0.407351203412197,0,0.433189597300048,0,0.0596468475902798,0,0.0187499241010723,0.115533199231009,0,0,0,"ACHE","P22303","ACHE"
"ALDOA_P04075_MS",0.122873069450189,1.76692228985196,1.13699112418185,0.0283687204614006,0.054,0.402253864454821,0,0.430622584916221,0,0.0658783850524695,0.054,-0.000433167731907054,0.148276387404286,0.117191489361702,0,0.117191489361702,"ALDOA","P04075","ALDOA"
"ALDOC_P09972_MS",0.0489060282998857,1.92031127521903,-0.521639554692752,-0.00505117131997552,0.44,0.436992591504607,0,0.431941420184631,0,-0.0116941119418842,0.44,-0.0518469336093725,0.0157534534728292,0.609350649350649,0,0.609350649350649,"ALDOC","P09972","ALDOC"
"ANGPTL4_Q9BY76_MS",0.0973352332617312,1.84650317650571,0.572123914259016,0.0111673916294358,0.148,0.420497492224406,0,0.431664883853842,0,0.0258705121661389,0.148,-0.00739618445126762,0.0673167125764942,0.269571428571429,0,0.269571428571429,"ANGPTL4","Q9BY76","ANGPTL4"
"AP2B1_P63010_MS",0.0459003676870883,1.89678649186738,-0.0929648227121753,-0.000849538393943119,0.898,0.432783207603868,0,0.431933669209925,0,-0.00196682605340088,0.898,-0.0301136261040712,0.0295860348646733,0.948494845360825,0,0.948494845360825,"AP2B1","P63010","AP2B1"
"AQP4_P55087_MS",0.0829313052220511,1.83484661652661,0.810884319209296,0.0135061002643701,0.126,0.417543144491457,0,0.431049244755827,0,0.0313330795232476,0.126,-0.00752492063194521,0.0791882721672798,0.237381818181818,0,0.237381818181818,"AQP4","P55087","AQP4"
"BASP1_P80723_MS",0.0762354498909849,1.86288496006353,0.304346885590595,0.00464801590272312,0.5,0.425404523586204,0,0.430052539488927,0,0.0108080187324247,0.5,-0.0204375462259193,0.0513709980136573,0.645569620253165,0,0.645569620253165,"BASP1","P80723","BASP1"
"CALB2_P22676_MS",0.0557580572812759,1.84473041901536,1.9532882070732,0.0215766052240048,0,0.411696189211738,0,0.433272794435742,0,0.049799123095426,0,0.0151395800574405,0.0936994749200213,0,0,0,"CALB2","P22676","CALB2"
"CALM1_P0DP23_MS",0.0816436556646836,1.78721707941243,1.58434141817886,0.0261309545750201,0.006,0.405538278629429,0,0.431669233204449,0,0.0605346699857199,0.006,0.0137894408356015,0.134851247628436,0.0204,0,0.0204,"CALM1","P0DP23","CALM1"
"CAMK2A_Q9UQM7_MS",0.0852103522074353,1.84222540333201,0.601483468123145,0.0103060268674083,0.124,0.420962925058696,0,0.431268951926104,0,0.0238969831270724,0.124,-0.00595328029458551,0.0684245895755852,0.237381818181818,0,0.237381818181818,"CAMK2A","Q9UQM7","CAMK2A"
"CBR1_P16152_MS",0.0573304586649761,1.84231165619334,1.24734784830803,0.0143260448156259,0.014,0.418340397222335,0,0.43266644203796,0,0.0331110606779367,0.014,0.0040613621173847,0.081062564728925,0.0396666666666667,0,0.0396666666666667,"CBR1","P16152","CBR1"
"CDH3_P22223_MS",0.150708413385295,1.91008276540289,-0.088927132915569,-0.00266303391681273,0.618,0.436087542844397,0,0.433424508927584,0,-0.0061441701195021,0.618,-0.0405598468433369,0.0259022184792146,0.768731707317073,0,0.768731707317073,"CDH3","P22223","CDH3"
"CHIT1_Q13231_MS",0.218017791935979,1.83071348487649,0.515329945907452,0.0223121581571479,0.004,0.408826696904263,0,0.431138855061411,0,0.051751675580179,0.004,0.0157472404397265,0.109519298821324,0.0145714285714286,0,0.0145714285714286,"CHIT1","Q13231","CHIT1"
"CRP_P02741_MS",-0.372420736259502,1.87756270487966,-0.0416977417748563,0.00310338611918503,0.636,0.428787159968685,0,0.43189054608787,0,0.00718558474431999,0.636,-0.0269913593964346,0.0520368770946895,0.772285714285714,0,0.772285714285714,"CRP","P02741","CRP"
"CRYM_Q14894_MS",0.100810747865716,1.89297565652228,-0.00573488804045684,-0.000115200743451079,0.954,0.432078049334452,0,0.431962848591001,0,-0.000266691322707141,0.954,-0.0345553046782098,0.0398067847426434,0.954,0,0.954,"CRYM","Q14894","CRYM"
"CSTB_P04080_MS",0.0543188247292918,1.87305242037375,0.420270389950808,0.00456540285575776,0.38,0.427739921531496,0,0.432305324387254,0,0.0105605982582535,0.38,-0.0147674966640031,0.0443901815803663,0.57,0,0.57,"CSTB","P04080","CSTB"
"DDAH1_O94760_MS",0.0527091812517667,1.82963385383367,1.48370160980757,0.0157137410708339,0.036,0.416137500038301,0,0.431851241109135,0,0.0363869304403895,0.036,0.00197199808679733,0.0832567795898951,0.0874285714285714,0,0.0874285714285714,"DDAH1","O94760","DDAH1"
