"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.0530945729788893,-0.0421958249168779,0.0399486423060844,-1.32907077472324,0.18430958907714,0.460010047785384,0.456554112091211,625,-0.131544392625217,0.0253552466674383,0.458388228674366,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.0181220834738644,-0.0125416497046963,0.0334196464960442,-0.542258383134287,0.587834112906185,0.713989014253713,0.712155610498929,624,-0.0837506816142335,0.0475065146665047,0.801644363776964,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",-0.0126465677725261,-0.0103912398672865,0.0467281478795272,-0.270641323194128,0.786756547344899,0.213181709420368,0.208129906591606,623,-0.104410327313939,0.0791171917688867,0.908197806935066,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",0.176624294696847,0.168628477774778,0.0289706952649244,6.09665363850243,1.89984788989391e-09,0.592282722602427,0.589664955171302,623,0.119732249223698,0.233516340169995,9.11271867187045e-08,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",0.143706378648038,0.0925736791867273,0.0422222816776987,3.40356733312076,0.000707714916820056,0.604399245017178,0.601863342741647,624,0.0607914035562717,0.226621353739805,0.00827253318736721,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",-0.0351340006040866,-0.0316896043427008,0.0301032195701872,-1.16711770719972,0.243607928099433,0.605045333335371,0.602517623468717,625,-0.0942497054122899,0.0239817042041167,0.530480945589434,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.0528006001953065,0.0586248074891841,0.0310245444312407,1.70189768015217,0.0892742517153251,0.367424265377146,0.363356254222015,622,-0.00812494197343757,0.11372614236405,0.312797189259489,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0398229588218281,0.0382433710336165,0.0259443108609018,1.53493993482176,0.125306248788247,0.669157765697058,0.667033577996878,623,-0.0111259362519808,0.090771853895637,0.369472858532508,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",0.138390651952438,0.0717885850838552,0.0688323439294045,2.01054684545355,0.0448030879911793,0.318603810614074,0.314235886323138,624,0.00321955613198155,0.273561747772894,0.201672395427262,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.0362924640320636,0.0241243206492684,0.0413179470715126,0.878370456529437,0.38008079844531,0.59634646446196,0.593758941798255,624,-0.0448466032127772,0.117431531276904,0.65255191411448,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",-0.0338123017240013,-0.0291136821143766,0.0319669543051146,-1.05772671995191,0.290589343145567,0.594655743048309,0.592057382426824,624,-0.0965881422198077,0.0289635387718051,0.578430983125338,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.0999118935023722,-0.0867285839703657,0.0403854516398696,-2.47395756257277,0.0136274933503649,0.342810257168353,0.338597502406612,624,-0.179219751432708,-0.0206040355720366,0.0957365820725127,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",0.0841597804994806,0.0486375090783364,0.0607430695161345,1.38550424221032,0.166394145846358,0.341176523127242,0.336946516855186,623,-0.0351261890462545,0.203445750045216,0.436706145042046,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",0.0699909158017955,0.0488794105589289,0.0337758065087366,2.07222041563068,0.0386563479230028,0.703382625866494,0.701475118637339,622,0.00366248579722074,0.13631934580637,0.182894489662915,"ACYP1","P07311","ACYP1"
"ADA__Inflammation_o2csf__NPX",-0.0469453884471708,-0.0364621927528133,0.041132940740769,-1.14130882941323,0.254178528821378,0.453208010986848,0.449708542257163,625,-0.127720894105468,0.0338301172111263,0.540498590416316,"ADA","P00813","ADA"
"ADA2__Cardiometabolic_o2csf__NPX",0.0160819026690298,0.0147524055523862,0.0327104614930603,0.491644016469826,0.623143635871748,0.517644647619337,0.514557573364101,625,-0.048153817409194,0.0803176227472536,0.820049950328856,"ADA2","Q9NZK5","ADA2"
"ADAM12__Inflammation_II_o2csf__NPX",-0.0249429316644105,-0.0253342089698791,0.0344371657459566,-0.724302686475849,0.46915183347286,0.345802945831421,0.341602643717979,623,-0.0925699175433918,0.0426840542145709,0.724295449900941,"ADAM12","O43184","ADAM12"
"ADAM15__Cardiometabolic_o2csf__NPX",0.0302396505287652,0.0228379682830625,0.0389462323282591,0.776446108416592,0.437779363788933,0.536515486122526,0.53354918523371,625,-0.0462416696284045,0.106720970685935,0.704404633391859,"ADAM15","Q13444","ADAM15"
"ADAM22__Neurology_o2csf__NPX",-0.0472656551252986,-0.0759435535346387,0.0220265693735808,-2.14584733208568,0.0322702523241728,0.329867174040394,0.325571450797063,624,-0.0905208364750118,-0.00401047377558542,0.166692929048812,"ADAM22","Q9P0K1","ADAM22"
"ADAM23__Inflammation_o2csf__NPX",0.0193822526914497,0.0281800937198852,0.0167671827994932,1.15596358214902,0.248138447531095,0.682522976232888,0.680487867106176,624,-0.0135446875149436,0.052309192897843,0.536797170319989,"ADAM23","O75077","ADAM23"
"ADAM8__Neurology_o2csf__NPX",-0.130080904352829,-0.0756805923627426,0.051334913001782,-2.53396561416816,0.011522259731187,0.524874105224459,0.521818633232333,622,-0.230891648367155,-0.029270160338504,0.082615790134439,"ADAM8","P78325","ADAM8"
"ADAM9__Oncology_II_o2csf__NPX",-0.00795536079099764,-0.00635631826486614,0.0325840043155502,-0.244149267657722,0.807195341396927,0.636885702672577,0.634561771169682,625,-0.0719427484555027,0.0560320268735074,0.921454051659754,"ADAM9","Q13443","ADAM9"
"ADAMTS1__Inflammation_II_o2csf__NPX",-0.00294463069771762,-0.00265802811646112,0.0311416695429939,-0.094555967644968,0.924697880142983,0.577499540385105,0.574791204105522,624,-0.0640997992929102,0.058210537897475,0.972961233947723,"ADAMTS1","Q9UHI8","ADAMTS1"
"ADAMTS13__Cardiometabolic_o2csf__NPX",-0.0669520639599135,-0.0473902578477855,0.046130851038876,-1.45135115550959,0.147186258180536,0.43240430798771,0.428754174920107,622,-0.157543147947563,0.0236390200277359,0.407029990316354,"ADAMTS13","Q76LX8","ADAMTS13"
