"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.0549833243903137,-0.0436968714343751,0.0399762060696792,-1.37540126480429,0.169500621427899,0.461091875441636,0.45677370136665,624,-0.133487516935681,0.0235208681550536,0.435009897428426,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.0181845244490379,-0.0125848628837424,0.0334748039612554,-0.543230199946357,0.587165621986297,0.713989955978355,0.711694530263896,623,-0.083921644381891,0.0475525954838152,0.801083282325176,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",-0.0103856396681774,-0.00853351477716236,0.0467530451083709,-0.222138250976039,0.824279178132044,0.214932855938506,0.208622026806179,622,-0.102198579180641,0.0814272998442861,0.93141538325075,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",0.174037640206658,0.166158921647415,0.0289123348691829,6.01949448199568,2.99052341032757e-09,0.595280000850799,0.59202662465185,622,0.117260023981761,0.230815256431555,1.38660602125522e-07,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",0.143090288115306,0.0921768021109584,0.0422907424627273,3.38348961930422,0.000760596658781141,0.604473206542497,0.601298834203351,623,0.0600406125282754,0.226139963702336,0.0086720487898735,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",-0.032987071401664,-0.0297531514535684,0.0300854013549716,-1.09644777586498,0.273305829035255,0.606845794045957,0.603695519959787,624,-0.0920679690901197,0.0260938262867918,0.566569907880834,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.0523532875687579,0.0581281537291532,0.0310707471212208,1.6849703473336,0.0924967122658655,0.36755806946814,0.3624659444236,621,-0.00866317831691116,0.113369753454427,0.318113713796486,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0414547902761735,0.0398104754783683,0.0259296939045279,1.59873812736889,0.110386622398455,0.670555923090847,0.667907658807012,622,-0.00946555967140385,0.0923751402237509,0.345610892705937,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",0.136874808059079,0.0710022582129506,0.06893579307275,1.9855404856898,0.0475223326044236,0.318893693653448,0.313427350905884,623,0.00150013933406626,0.272249476784092,0.207356395073529,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.0393075178265655,0.0261284867055907,0.041278414446147,0.952253577419918,0.341337688799843,0.598428526185195,0.595205641162604,623,-0.0417541691731577,0.120369204826289,0.622031463853252,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",-0.0340781859472847,-0.0293426185771789,0.0320174047302381,-1.06436440537294,0.287576002102754,0.594683486009625,0.591430544484822,623,-0.0969532957500614,0.028796923855492,0.579736549166565,"ACVRL1","P37023","ACVRL1"
