"Protein_id","uniprot","symbol","label","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","acme.x","acme_p.x","p_adjusted.x","ade.x","ade_p.x","ade_p_adjusted.x","prop_m.x","prop_m_p.x","prop_m_p_adjusted.x","acme.y","acme_p.y","p_adjusted.y","ade.y","ade_p.y","ade_p_adjusted.y","prop_m.y","prop_m_p.y","prop_m_p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y"
"A1BG__Inflammation_II_o2csf__NPX","P04217","A1BG","A1BG",-0.0314694693296839,0.285431932469278,0.87598444113621,-0.0331925109162521,0.259975140744043,0.883573899007785,-0.0422958231582719,0.180795104423535,0.455229574219137,-0.0437993074159932,0.166090438711701,0.430226816104239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0567417069248289,0.106760654678148,0.777030067183758,NA,NA,NA,-0.0495624416732327,0.347745385208326,0.9291802215924,-0.0895274125202772,0.0798153224634949,0.838170008568503,0.0022185549077737,0.968250677445442,0.99787447856856,NA,NA,NA
"ABCA2__Cardiometabolic_II_o2csf__NPX","","ABCA2","ABCA2",-0.0004994560987963,0.981676304532485,0.995639517293974,-0.0009685909608968,0.964524444826334,0.998355625951347,-0.0121825762962721,0.601626421814144,0.810128124630663,-0.0122253848343434,0.60095081203238,0.806875076773205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0099827374513417,0.709632075421493,0.945671120862321,NA,NA,NA,0.0145197682086192,0.692023752071431,0.97825715358878,-0.0014835617181749,0.97304129049892,0.999716591591882,-0.0219071635304715,0.578508808905789,0.990134605660096,NA,NA,NA
"ABHD14B__Neurology_o2csf__NPX","Q96IU4","ABHD14B","ABHD14B",0.0425015887608386,0.23391299122827,0.860775055022551,0.042159473697571,0.238446983024758,0.879787144263761,-0.0107981645271009,0.778186812954975,0.909073827438712,-0.0089405940991777,0.81568011195753,0.929530553864964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0689267933279442,0.11992154964616,0.777030067183758,NA,NA,NA,0.117105447391019,0.0594395238577441,0.847836014941629,0.0037108540908688,0.954287705594002,0.999716591591882,-0.0265187988124902,0.664589053547468,0.990134605660096,NA,NA,NA
"ABL1__Oncology_o2csf__NPX","P00519","ABL1","ABL1",-0.0619226416980749,0.0184331531183726,0.626858691842039,-0.055485271875591,0.0299935536902896,0.698713024993524,0.168278938115062,1.56209151779615e-09,7.49265276294634e-08,0.165794189326545,2.47213669658638e-09,1.1857731534316e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0053004986542664,0.873955133694922,0.971545750583539,NA,NA,NA,0.0195678588143529,0.715112946224254,0.98398530371995,3.16147421471397e-05,0.99944618154258,0.999716591591882,-0.167731336596039,0.0002815092059664,0.391579305499387,NA,NA,NA
"ACAN__Cardiometabolic_o2csf__NPX","P16112","ACAN","ACAN",-0.0123810276646623,0.627741707359609,0.959276416392454,-0.0087201163694266,0.730786018976411,0.958421031577048,0.0924445782949057,0.0007018620474867,0.0082041185550767,0.092045106614793,0.0007546736597661,0.0086045168912683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0149808639188833,0.624819037154537,0.941119907305825,NA,NA,NA,-0.0088723816327965,0.859095248438081,0.989076571910692,0.0675157609774372,0.15573067526436,0.899749652203879,-0.0552310884937507,0.288950444374276,0.976940882279158,NA,NA,NA
"ACE__Inflammation_II_o2csf__NPX","P12821","ACE","ACE",0.0439831094818958,0.0839843113572671,0.808866041509082,0.0428174645135197,0.0927492326420934,0.83007352380028,-0.0315698730005755,0.248033818439609,0.53788896137116,-0.0296304179224694,0.277982347008347,0.57200213711333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0346025302787128,0.280751068128062,0.854446233318408,NA,NA,NA,-0.0135558935045389,0.783362396021434,0.989076571910692,0.0913819405381148,0.0405748068740762,0.838170008568503,0.0843239279574242,0.0506941072631077,0.86432071731812,NA,NA,NA
"ACHE__Inflammation_II_o2csf__NPX","P22303","ACHE","ACHE",-0.013841540041591,0.669440613407182,0.960691829630398,-0.0116569449844943,0.718993837182878,0.958421031577048,0.0595195029915073,0.0867755751755057,0.307858640847624,0.059022692359645,0.0899107335698771,0.311109030835072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0119390407737439,0.746394716857886,0.948582989873445,NA,NA,NA,0.0422492423938315,0.39754944013896,0.929397094509737,-0.0116686604907433,0.838988273289499,0.990548911657133,0.0252728201807114,0.662619274914342,0.990134605660096,NA,NA,NA
"ACP5__Cardiometabolic_o2csf__NPX","P13686","ACP5","ACP5",0.0363946785561153,0.118519910617958,0.808866041509082,0.037840054525502,0.104439033556353,0.83007352380028,0.0385033609333604,0.124077581239866,0.369575836198403,0.0400769925154724,0.109263811452157,0.345669483907056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0523417355575735,0.0702509838296199,0.704873444172894,NA,NA,NA,0.108940487792184,0.0090205513185115,0.660374887851349,-0.0072780162330805,0.870868015701125,0.991703753130301,0.0077895750688328,0.855665672543094,0.993997196680262,NA,NA,NA
"ACP6__Oncology_o2csf__NPX","Q9NPH0","ACP6","ACP6",-0.0199406630159175,0.550516052360633,0.940053795563083,-0.0171132216497435,0.60788371578988,0.958421031577048,0.0718682876096558,0.044730092613191,0.200062890112375,0.0710838037645908,0.0474383873932344,0.207505650515689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0111246939051431,0.791269070314338,0.957947716115506,NA,NA,NA,-0.0664681323235902,0.261137633393277,0.898152009022751,0.0515559795379403,0.409747291830814,0.927112348393997,-0.0208996896799041,0.720035854718579,0.990134605660096,NA,NA,NA
"ACTA2__Cardiometabolic_o2csf__NPX","","ACTA2","ACTA2",0.0451558055576158,0.0771712055472386,0.808866041509082,0.0461434335376324,0.0711892778576877,0.799298548152611,0.0240638300190584,0.380391876721584,0.653349563233855,0.0260749205050264,0.341417514953312,0.622907676884688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0599112470650839,0.051907058720137,0.681177276280196,NA,NA,NA,0.0489749206224939,0.319951286875171,0.910708290837471,0.101202796164714,0.0603683913616109,0.838170008568503,0.0358631260553806,0.497550216557048,0.976940882279158,NA,NA,NA
