"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.0905682788547214,-0.0559406728306039,0.0572834956155852,-1.58105363301328,0.114636875580081,0.494028580074484,0.489092273538625,410,-0.203174274995859,0.0220377172864168,0.777756706884269,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",0.0188092218555375,0.010370977878884,0.0480789813084694,0.391215066202416,0.695841496799004,0.715964847318376,0.713193772658067,410,-0.0757028452854622,0.113321288996537,0.94460057398926,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",0.112014834834149,0.0694994555181041,0.0714826471937456,1.56702135737286,0.117884923392308,0.209944565489545,0.202198923974737,408,-0.0285054219195092,0.252535091587806,0.777756706884269,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",0.00776299777504711,0.00642369860231241,0.0406246727947732,0.191090715099763,0.84854934326093,0.544566763365707,0.540112648581997,409,-0.0720962149355454,0.0876222104856396,0.96712084048426,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",0.0289519763646459,0.0155092141183301,0.0571525812638617,0.506573381716227,0.61272715769158,0.622012211531269,0.618315509443555,409,-0.0833974859231436,0.141301438652435,0.934970634854905,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.0481499275343115,0.0349462936162742,0.0437921705865902,1.099509955532,0.272190876030733,0.59171095166849,0.587727643879889,410,-0.0379352692417035,0.134235124310326,0.851676486731748,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.011692244363297,0.0115920748037492,0.0368013600722102,0.317712289446774,0.750865328856181,0.462379624357034,0.457121723372751,409,-0.0606511725767618,0.0840356613033558,0.94460057398926,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0689364866951923,0.0526302035006343,0.0376708325078822,1.82996982295966,0.0679821187870751,0.666783576312175,0.66352473598271,409,-0.00511612269884881,0.142989096089233,0.69531711200604,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.0267560655601152,-0.010827427800572,0.103686745077825,-0.258047116244538,0.796500338290917,0.289958286186046,0.283014112945812,409,-0.230581506130909,0.177069375010679,0.962224844324036,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.114359046872546,0.0600547437466775,0.0586156234258962,1.95099941259044,0.0517395601588386,0.61816927322021,0.614434987383732,409,-0.000866436000386828,0.229584529745479,0.673634679598011,"ACTA2",NA,"ACTA2"
