"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.0728337728127722,-0.047200467871331,0.0818302374104092,-0.890059409793518,0.37448758256851,0.436751939874465,0.425653455931105,203,-0.234179994289115,0.0885124486635706,0.961709548545517,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",0.0322838492382441,0.017924080016189,0.0650906239005036,0.495983097159933,0.620442897943257,0.738431714933019,0.733277660054852,203,-0.0960565607646244,0.160624259241113,0.983379318380406,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",0.179878319924508,0.118331761728611,0.0940536225379418,1.91250815301606,0.057225683269975,0.237373930180748,0.222272423847694,202,-0.00557448594209264,0.365331125791109,0.895919315278225,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",0.0234368773155377,0.0222565772615977,0.0566599780540414,0.413640776443364,0.679573860063743,0.420150677615451,0.408725075203933,203,-0.0882806693671412,0.135154423998217,0.983379318380406,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",-0.00910768771439728,-0.00603389330375647,0.0751842225707711,-0.121138284110395,0.903701327354905,0.503090263193039,0.493298938329847,203,-0.157349836464258,0.139134461035463,0.983379318380406,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",-0.0127107491828865,-0.0103801021705368,0.0598975302791911,-0.212208235024714,0.832157503858232,0.52079219888935,0.511349680640864,203,-0.130811838610778,0.105390340245005,0.983379318380406,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.0422029697270543,0.044394851627186,0.0468670769404894,0.900482225094656,0.368935975805112,0.51444202559338,0.504827016199189,202,-0.0502084726697909,0.1346144121239,0.961709548545517,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.140206848722211,0.111855210554381,0.051900743356957,2.70144201515406,0.00749061758276195,0.65829929184849,0.651532941192024,202,0.0378701367234025,0.24254356072102,0.74012758968476,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.146767991943926,-0.0642287871075393,0.134337904691846,-1.09252851814678,0.275895725815575,0.307788250034816,0.294148609641414,203,-0.411644570687927,0.118108586800074,0.924442268700933,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.0773268939578914,0.0503237200489478,0.0758499954514438,1.0194713064603,0.309198703454441,0.514911253363443,0.505305535608263,202,-0.0722324117005869,0.22688619961637,0.932154509837419,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",0.0160965205287197,0.0123511932899111,0.0633606116572544,0.254046166975042,0.799718299045111,0.529122303654636,0.519797992835916,202,-0.108836500615912,0.141029541673351,0.983379318380406,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.0534938875389475,-0.0366232100706991,0.081633098890414,-0.655296543510603,0.51301874670058,0.374421014809239,0.362094335298092,203,-0.214451407279658,0.107463632201763,0.979288750769583,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",-0.154820979495077,-0.0765485433930357,0.112906056485909,-1.3712371533798,0.171814947240237,0.375843054021181,0.363544394987115,203,-0.377439979174023,0.0677980201838697,0.919613148947145,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",-0.0853975353048887,-0.0509866329554312,0.0673788425719576,-1.26742360131354,0.206455819435414,0.67587377182446,0.669487048116567,203,-0.218249669191669,0.0474545985818918,0.919613148947145,"ACYP1","P07311","ACYP1"
