"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.115135745406747,-0.0697500580618255,0.0564056849690087,-2.04120817733189,0.0417799577509707,0.448495911292445,0.443871139060096,477,-0.225970080748453,-0.00430141006504035,0.55001969218926,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",0.0284340617852712,0.0148914423396405,0.0465983772246002,0.61019424878728,0.542023729609657,0.718698856851967,0.716339937412571,477,-0.0631294068709174,0.11999753044146,0.923331040236975,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",0.103447109846933,0.0677038143684855,0.0622424595762553,1.66200228190205,0.0971706804254064,0.217957177223936,0.211385388797246,476,-0.0188568477469618,0.225751067440827,0.679218173224826,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",-0.0646370953364899,-0.0470281211857637,0.0420904475434163,-1.53567137222327,0.125284799330653,0.559059185418504,0.555345999611502,475,-0.147343594595694,0.0180694039227147,0.691853999891263,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",-0.0105080863896422,-0.00515434933464052,0.0582140926017332,-0.180507604258859,0.856830909882751,0.615638268300431,0.612408337781947,476,-0.124896463092634,0.103880290313349,0.968985199712932,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.0759706153212131,0.0514422377890832,0.0427400166985825,1.7775055133222,0.076122174192316,0.604403918771399,0.601086551213927,477,-0.00801136886856384,0.15995259951099,0.63429570167713,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",-0.0170839531875295,-0.0143077282204869,0.0437995105287413,-0.390048952175366,0.696675190661159,0.367187546071087,0.361858599090633,475,-0.103148711262678,0.0689808048876193,0.94528232811331,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0748465004937381,0.0554120068242219,0.0350122992532777,2.13772023231897,0.0330492880379709,0.684257477477027,0.681598593076833,475,0.00604835575395375,0.143644645233523,0.55001969218926,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",0.00201699073806171,0.000795394730044531,0.0946691277039236,0.0213056863095836,0.983010735821733,0.343004805980137,0.337483837963163,476,-0.184004080070789,0.188038061546913,0.993726695877929,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.0932811490799618,0.046710510698542,0.0582240809054904,1.60210599513586,0.109794150507697,0.598504272035909,0.595137431549837,477,-0.021126242862666,0.20768854102259,0.681760572209762,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",0.0431471273900119,0.0278397877758678,0.0446131066955872,0.967140165432141,0.333964063024266,0.608630309080524,0.605348382951221,477,-0.0445153844800383,0.130809639260062,0.841565238526729,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.0608650756353738,-0.0440413985887521,0.051514287134292,-1.18151835192255,0.237986821136627,0.345025023898706,0.339521032502897,476,-0.162088601055884,0.0403584497851363,0.790070807162406,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",-0.0422274067908947,-0.0194290127951597,0.08197813326974,-0.515105737428176,0.606718756281023,0.330859438333229,0.325224570445508,475,-0.203312042718109,0.118857229136319,0.932514439489529,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",-0.0767375537799851,-0.0401914950914757,0.0470156851038949,-1.63216921353823,0.103306567211789,0.714826054113519,0.712424589306053,475,-0.169122000897239,0.0156468933372684,0.681760572209762,"ACYP1","P07311","ACYP1"
"ADA__Inflammation_o2csf__NPX",0.0229482726059893,0.0137589942148187,0.0557089709623852,0.411931367777085,0.680574773958842,0.473064040600791,0.46864529041715,477,-0.0865170547378566,0.132413599949835,0.942991194197976,"ADA","P00813","ADA"
"ADA2__Cardiometabolic_o2csf__NPX",-0.0713449230003179,-0.049029154138886,0.0458679404901174,-1.55544204160834,0.120504033536962,0.530716457798839,0.526781166040339,477,-0.161473120193709,0.0187832741930731,0.691853999891263,"ADA2","Q9NZK5","ADA2"
"ADAM12__Inflammation_II_o2csf__NPX",-0.023215589620908,-0.0181668920393288,0.0486411039912475,-0.477283361518387,0.63337988302063,0.318079559803027,0.312337071885579,475,-0.118793937346228,0.0723627581044122,0.939482567135729,"ADAM12","O43184","ADAM12"
"ADAM15__Cardiometabolic_o2csf__NPX",0.0282443492136213,0.0160979699204676,0.0542917280899851,0.520233011681043,0.603142541854431,0.547747894469962,0.543955423983337,477,-0.0784361671334867,0.134924865560729,0.931155688922879,"ADAM15","Q13444","ADAM15"
"ADAM22__Neurology_o2csf__NPX",2.85031265991776e-05,3.61296766869071e-05,0.0286692653815525,0.000994204986414415,0.999207155840835,0.378384732165626,0.373161074452732,476,-0.0563054631296303,0.0563624693828287,0.99991238907265,"ADAM22","Q9P0K1","ADAM22"
"ADAM23__Inflammation_o2csf__NPX",0.0506364067641934,0.0560095601070484,0.0218052993976488,2.32220644352416,0.020641911703685,0.725237878749526,0.722933793875308,477,0.00779008964220155,0.0934827238861852,0.495224014855591,"ADAM23","O75077","ADAM23"
"ADAM8__Neurology_o2csf__NPX",-0.121518253805764,-0.0544584388312236,0.0703793641354196,-1.72661767122457,0.084886523464981,0.532099890415982,0.528159678966854,475,-0.259811647377433,0.0167751397659048,0.64877557219664,"ADAM8","P78325","ADAM8"
"ADAM9__Oncology_II_o2csf__NPX",-0.0180714559896982,-0.0110413982413069,0.0462831642510838,-0.390454202561897,0.696375023788006,0.622304218693704,0.619136958473106,477,-0.10901554699929,0.0728726350198937,0.94528232811331,"ADAM9","Q13443","ADAM9"
"ADAMTS1__Inflammation_II_o2csf__NPX",-0.00715106724930749,-0.00483614407197984,0.0432771895679143,-0.165238716300776,0.868826097576753,0.595415701314401,0.592022960864208,477,-0.0921885691226069,0.0778864346239919,0.971540153328798,"ADAMTS1","Q9UHI8","ADAMTS1"
"ADAMTS13__Cardiometabolic_o2csf__NPX",0.0601426992625243,0.0330267188312086,0.0646535412410539,0.930230550532236,0.35272423778882,0.407652291359125,0.402664100128465,475,-0.0668996196684509,0.187185018193499,0.849365460774971,"ADAMTS13","Q76LX8","ADAMTS13"
"ADAMTS15__Oncology_o2csf__NPX",0.0897178586811652,0.0488382115394837,0.0565946073118651,1.58527221837187,0.113568583349376,0.552756046289095,0.548997693736903,476,-0.0214882938365289,0.200924011198859,0.682336193671556,"ADAMTS15","Q8TE58","ADAMTS15"
"ADAMTS16__Cardiometabolic_o2csf__NPX",0.085784062758502,0.0800619278925739,0.0449826864673662,1.90704623257075,0.0571201142744688,0.176137423407325,0.169170298023878,473,-0.00260655615373327,0.174174681670737,0.596692183433067,"ADAMTS16",NA,"ADAMTS16"
"ADAMTS4__Inflammation_II_o2csf__NPX",0.0356150976232149,0.0248192731311798,0.0447144114525495,0.796501540918396,0.426137652110869,0.542439916547471,0.538594873829382,476,-0.0522469425236501,0.12347713777008,0.885340149626136,"ADAMTS4","O75173","ADAMTS4"
"ADAMTS8__Oncology_o2csf__NPX",-0.0082944160496229,-0.00416616417435478,0.0413413680623553,-0.200632355395506,0.84107157173356,0.796340344330129,0.794632506546734,477,-0.0895281259819734,0.0729392938827276,0.968985199712932,"ADAMTS8",NA,"ADAMTS8"
"ADAMTSL2__Cardiometabolic_II_o2csf__NPX",-0.00318187623324948,-0.00187460944876964,0.0418246258348405,-0.0760766216012132,0.939390036343584,0.713217031732868,0.710812143110083,477,-0.0853651633942346,0.0790014109277356,0.986459445945864,"ADAMTSL2","Q86TH1","ADAMTSL2"
"ADAMTSL5__Cardiometabolic_II_o2csf__NPX",0.0522028572740407,0.0295004280130168,0.059484178668562,0.87759230172628,0.380608664548587,0.468481682624614,0.464005738899348,475,-0.0646818152852404,0.169087529833322,0.862170987514015,"ADAMTSL5",NA,"ADAMTSL5"
"ADCYAP1R1__Oncology_o2csf__NPX",0.0347873503909212,0.0265793503386596,0.0541490570358239,0.642436864004975,0.520900172570353,0.197134764989694,0.190359530938974,474,-0.0716145374935735,0.141189238275416,0.923331040236975,"ADCYAP1R1","P41586","ADCYAP1R1"
"ADGRB3__Neurology_o2csf__NPX",0.0379770891283142,0.0257090182819162,0.0369507336966312,1.02777632076563,0.304575942734741,0.704465654566869,0.701987379133468,477,-0.0346292450010325,0.110583423257661,0.839393938456286,"ADGRB3","O60242","ADGRB3"
"ADGRD1__Inflammation_II_o2csf__NPX",-0.0440347304991208,-0.0188569029067958,0.0732582601127765,-0.601088947940233,0.548066269143074,0.535166485801263,0.531268510839429,477,-0.187983528786928,0.0999140677886863,0.923331040236975,"ADGRD1","Q6QNK2","ADGRD1"
"ADGRE2__Inflammation_o2csf__NPX",0.108402452765057,0.0647320679614222,0.0369134149162684,2.9366682278231,0.00347798711176537,0.770510202725702,0.768585759981264,477,0.035869448163036,0.180935457367077,0.404429114431766,"ADGRE2","Q9UHX3","ADGRE2"
"ADGRE5__Cardiometabolic_o2csf__NPX",0.0852365736937977,0.0545276762932668,0.0369184598994997,2.3087792374284,0.0213842439570016,0.737882379895744,0.735675073621182,475,0.0126928789949147,0.157780268392681,0.495224014855591,"ADGRE5","P48960","ADGRE5"
"ADGRF5__Cardiometabolic_II_o2csf__NPX",-0.0192987213215538,-0.0146683523550389,0.0372251656558116,-0.518432113908964,0.604398223062738,0.623442784477272,0.620271776346554,475,-0.0924450838676018,0.0538476412244943,0.931241683578352,"ADGRF5","Q8IZF2","ADGRF5"
"ADGRG1__Oncology_o2csf__NPX",0.0937942326983181,0.0306416446115986,0.0624659924422601,1.50152473419863,0.133881551088094,0.803304986600469,0.80165555252584,477,-0.0289483021650013,0.216536767561637,0.703270358493198,"ADGRG1","Q9Y653","ADGRG1"
"ADGRG2__Cardiometabolic_o2csf__NPX",-0.00456270467242637,-0.0036246544548468,0.0455554971418525,-0.100157060260342,0.92026180476001,0.382618615152893,0.377430536288632,476,-0.0940774447475664,0.0849520354027136,0.980907410284424,"ADGRG2","Q8IZP9","ADGRG2"
"ADIPOQ__Inflammation_II_o2csf__NPX",-0.169742221169191,-0.0729988840428501,0.0940394402426213,-1.80501096913441,0.0717034333563602,0.227484966767695,0.22100685328147,477,-0.354524993702203,0.0150405513638205,0.63429570167713,"ADIPOQ","Q15848","ADIPOQ"
"ADM__Oncology_o2csf__NPX",-0.0235652209720432,-0.0146390106643303,0.0370664138744729,-0.635756700171963,0.52524119034693,0.750633640630702,0.748533713393908,475,-0.0963996409075465,0.0492691989634602,0.923331040236975,"ADM","P35318","ADM"
"AFM__Inflammation_II_o2csf__NPX",-0.0917295190861448,-0.0481580607085989,0.0679839026947272,-1.34928292507778,0.177886194436029,0.398319246731812,0.393273705823902,477,-0.225314470199589,0.0418554320272989,0.734242422731504,"AFM","P43652","AFM"
"AGER__Inflammation_o2csf__NPX",0.0314417755832346,0.0150846395239763,0.0627905198646812,0.50074080690834,0.616784517975394,0.57137441423879,0.567780069704105,477,-0.0919384393505237,0.154821990516993,0.935598778528678,"AGER","Q15109","AGER"
