"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.11490364166191,-0.0696094479531093,0.0564559146538725,-2.03528084464447,0.0423760566644181,0.448719713405705,0.44292895409274,476,-0.225837268622658,-0.00397001470116151,0.545762554376077,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",0.0286035371970653,0.0149801997370808,0.0466419449467381,0.613257813963988,0.539998794996648,0.718788031255594,0.715834124020884,476,-0.0630460296050604,0.120253103999191,0.920741523816829,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",0.103823942146181,0.0679504426607031,0.0622875237412543,1.66684973025211,0.0962034670987532,0.218549173588873,0.210323375416124,475,-0.0185692215484994,0.226217105840862,0.665631225003239,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",-0.0630855697023156,-0.0458992750461449,0.0410700858840282,-1.53604669540876,0.125194139791334,0.58108655553586,0.57666763734531,474,-0.143787523029922,0.0176163836252903,0.692577172822258,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",-0.0091828000012231,-0.00450427959205736,0.0579399521998428,-0.158488221901709,0.874139458510242,0.620085445749891,0.616086345178837,475,-0.123033112682068,0.104667512679622,0.97349234129931,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.0751718072927909,0.0509013382271647,0.0426072845427139,1.76429472329857,0.0783237136549095,0.607715720697632,0.603595087511683,476,-0.00854981227975911,0.158893426865341,0.628940812765426,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",-0.016262800210899,-0.0136200165715432,0.0435335017726871,-0.373569769227759,0.708891451750798,0.376199276071122,0.36961909965837,474,-0.101805319848359,0.069279719426561,0.951140963519974,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0752577479294298,0.0557164705675187,0.0348727354181542,2.15806838858565,0.0314240475668121,0.687438091200753,0.684141024652238,474,0.00673347276553755,0.143782023093322,0.527820319467956,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",0.00237821414755831,0.000937842184492643,0.0947578541760128,0.0250978050129836,0.979987491066171,0.343217580516065,0.336304081363602,475,-0.1838181998518,0.188574628146916,0.992112518248213,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.0937560683536879,0.0469483263990895,0.0582412685942913,1.60978753754134,0.108107186503537,0.599144466834858,0.594933799469678,476,-0.0206857080938515,0.208197844801227,0.680235312392991,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",0.0426543597901106,0.027521839716891,0.0445965575729595,0.956449603096124,0.339330636430353,0.609774618442491,0.605675612333694,476,-0.0449761021705808,0.130284821750802,0.843125682258721,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.0626782765523775,-0.0453534137875116,0.0508527411124434,-1.23254470027065,0.218355381553279,0.363140188573008,0.356436401084303,475,-0.16260242658206,0.037245873477305,0.763848303915779,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",-0.0406801854767093,-0.0187171295658838,0.0816582599436938,-0.49817600209409,0.618591057287475,0.33751880105894,0.330530602757874,474,-0.201137144378572,0.119776773425154,0.933428258192673,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",-0.0762873417778405,-0.039955695374349,0.0469789663449843,-1.62386164943762,0.105070121914196,0.715885507782534,0.712888519468004,474,-0.168600135085792,0.0160254515301105,0.679779253872773,"ACYP1","P07311","ACYP1"
"ADA__Inflammation_o2csf__NPX",0.0219114319400897,0.0131373402468387,0.0555379202896659,0.394531012789236,0.693365741740089,0.4774385415504,0.471949450600299,476,-0.0872183726049677,0.131041236485147,0.950218469714742,"ADA","P00813","ADA"
"ADA2__Cardiometabolic_o2csf__NPX",-0.0699986635388171,-0.0481039872191802,0.0454416192014943,-1.54040865551981,0.124125260690982,0.540405286697049,0.535577611137144,476,-0.159289637990245,0.019292310912611,0.692577172822258,"ADA2","Q9NZK5","ADA2"
"ADAM12__Inflammation_II_o2csf__NPX",-0.0232061156206251,-0.0181594783512369,0.0486929628732782,-0.476580480038117,0.633880504412227,0.318081600958666,0.310888368901268,474,-0.118886880162448,0.0724746489211979,0.936016753330581,"ADAM12","O43184","ADAM12"
"ADAM15__Cardiometabolic_o2csf__NPX",0.0283948784750177,0.0161837646224018,0.0543460974145497,0.522482382836485,0.601577587666684,0.547831215002017,0.543081542890693,476,-0.0783930415209714,0.135182798471007,0.926097316914038,"ADAM15","Q13444","ADAM15"
"ADAM22__Neurology_o2csf__NPX",-0.000122643656361082,-0.000155459283970408,0.0286783229560761,-0.00427652818293887,0.996589630014246,0.379322652319481,0.372789206554422,475,-0.0564747100931775,0.0562294227804554,0.998562884419587,"ADAM22","Q9P0K1","ADAM22"
"ADAM23__Inflammation_o2csf__NPX",0.0500556187340862,0.0553671432342788,0.0216427781891967,2.31280930278499,0.0211586727343216,0.729909471468808,0.727072386085077,476,0.00752842035718646,0.0925828171109859,0.494277994349902,"ADAM23","O75077","ADAM23"
"ADAM8__Neurology_o2csf__NPX",-0.122271115371969,-0.0547958339489732,0.0703793172254058,-1.73731602113115,0.0829809598814356,0.533136339676471,0.528211617521159,474,-0.26056516204116,0.0160229312972221,0.628940812765426,"ADAM8","P78325","ADAM8"
"ADAM9__Oncology_II_o2csf__NPX",-0.0188484889376371,-0.0115161541342301,0.0461770228184919,-0.408178955402234,0.683325840843712,0.624855579168758,0.620914986512968,476,-0.10958450224839,0.0718875243731161,0.947007490544852,"ADAM9","Q13443","ADAM9"
"ADAMTS1__Inflammation_II_o2csf__NPX",-0.00737144359077756,-0.00498518081016857,0.0433110555525805,-0.170197735814323,0.864926946166882,0.595667131704441,0.59141993770974,476,-0.0924759452077155,0.0777330580261604,0.97349234129931,"ADAMTS1","Q9UHI8","ADAMTS1"
"ADAMTS13__Cardiometabolic_o2csf__NPX",0.0600121812239255,0.0329550462488992,0.0647130082776167,0.927358854443533,0.354212199067801,0.407828548153569,0.401582013851392,474,-0.0671476739674212,0.187172036415272,0.843125682258721,"ADAMTS13","Q76LX8","ADAMTS13"
"ADAMTS15__Oncology_o2csf__NPX",0.0894058982996315,0.0486683948794649,0.0566168393913546,1.57913969166714,0.114969687116185,0.553365832086629,0.548664419792804,475,-0.0218445363827149,0.200656332981978,0.687444334403804,"ADAMTS15","Q8TE58","ADAMTS15"
"ADAMTS16__Cardiometabolic_o2csf__NPX",0.08718939376791,0.0813735177884403,0.0449306144885166,1.94053419390011,0.0529099025870831,0.1801305327238,0.171445474807738,472,-0.00109938395715885,0.175478171492979,0.579509248020729,"ADAMTS16",NA,"ADAMTS16"
"ADAMTS4__Inflammation_II_o2csf__NPX",0.0357893833493283,0.02494072850623,0.0447477398039866,0.799803152206132,0.424224646180768,0.542742342818512,0.537929104321865,475,-0.0521386175380936,0.12371738423675,0.878413257889504,"ADAMTS4","O75173","ADAMTS4"
"ADAMTS8__Oncology_o2csf__NPX",-0.00925388103103727,-0.00464808943686897,0.0411185881351359,-0.225053472182081,0.822034259026846,0.798969343689134,0.796857677131247,476,-0.0900502713703251,0.0715425093082506,0.970242550522168,"ADAMTS8",NA,"ADAMTS8"
"ADAMTSL2__Cardiometabolic_II_o2csf__NPX",-0.00423454747040245,-0.00249479304579148,0.0415513217335128,-0.101911258023523,0.918870029177428,0.717570863523572,0.714604170913526,476,-0.0858812421200543,0.0774121471792494,0.981680653291707,"ADAMTSL2","Q86TH1","ADAMTSL2"
"ADAMTSL5__Cardiometabolic_II_o2csf__NPX",0.051932668714957,0.0293477413871613,0.059527313240402,0.872417481790688,0.383422372410647,0.468863290768953,0.463260582865672,474,-0.0650373923754905,0.168902729805405,0.868555432283581,"ADAMTSL5",NA,"ADAMTSL5"
"ADCYAP1R1__Oncology_o2csf__NPX",0.0353507892611892,0.0270098470266505,0.0541075829499448,0.65334260622753,0.513852886750887,0.200104768551482,0.191649216422005,473,-0.0709701782128275,0.141671756735206,0.918726690836097,"ADCYAP1R1","P41586","ADCYAP1R1"
"ADGRB3__Neurology_o2csf__NPX",0.0376834827479088,0.025510258135344,0.0369631477698027,1.01948792301435,0.308489257502547,0.704912842124775,0.701813187105077,476,-0.0349476325414267,0.110314598037244,0.834841550945608,"ADGRB3","O60242","ADGRB3"
