"Protein_id","uniprot","symbol","label","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","acme.x","acme_p.x","p_adjusted.x","ade.x","ade_p.x","ade_p_adjusted.x","prop_m.x","prop_m_p.x","prop_m_p_adjusted.x","acme.y","acme_p.y","p_adjusted.y","ade.y","ade_p.y","ade_p_adjusted.y","prop_m.y","prop_m_p.y","prop_m_p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y","standardized_beta.x","p.x","p_adjusted.x","standardized_beta.y","p.y","p_adjusted.y"
"A1BG__Inflammation_II_o2csf__NPX","P04217","A1BG","A1BG",-0.0692632825369355,0.0422204193493663,0.551677097151383,-0.0691418506790902,0.0427756963340406,0.544827953467444,0.0141399752653234,0.687450180050622,0.8473989208067,0.0134810076984081,0.700378784459997,0.854584990512154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0722733755865004,0.0527839037730339,0.566480291459942,NA,NA,NA,-0.101879364089776,0.058120471756059,0.570901422621738,-0.0520952078104206,0.337689163059484,0.99945004011772,-0.103604114014918,0.283300262797165,0.97554186100797,NA,NA,NA
"ABCA2__Cardiometabolic_II_o2csf__NPX","","ABCA2","ABCA2",0.0154731377894966,0.529123458582915,0.926041350779506,0.0155421716005884,0.527699676230494,0.922103019392705,0.0075158034879387,0.766360713417427,0.889822831689183,0.0076639306627776,0.762049829907097,0.885556652799308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0107059637664231,0.694483614439905,0.927088970907781,NA,NA,NA,-0.0047298662182088,0.90377255454703,0.983683586365351,0.0280639891358324,0.519746654688932,0.99945004011772,0.0354351799253404,0.591228473772272,0.97554186100797,NA,NA,NA
"ABHD14B__Neurology_o2csf__NPX","Q96IU4","ABHD14B","ABHD14B",0.0678650229889308,0.095986502379489,0.682245647371996,0.0680953738013533,0.0951212284202336,0.666871106042593,0.0229363808544653,0.585024574839366,0.779939010862335,0.0236389086907404,0.572882242388443,0.771422264435938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0903918898168307,0.0458913659102604,0.564877774204278,NA,NA,NA,0.0966268113463178,0.137466103509085,0.672420150747067,0.0828363838554731,0.20265907639267,0.99945004011772,-0.0071179206377362,0.944049659314868,0.990294826794625,NA,NA,NA
"ABL1__Oncology_o2csf__NPX","P00519","ABL1","ABL1",-0.0468297513914454,0.124102875000021,0.685028171131067,-0.0457233774132194,0.124007668586881,0.689978668017404,0.151649296791492,9.86214423395285e-07,3.9194978941224e-05,0.15129523232492,1.00917244579788e-06,4.01073963458528e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0029902199979576,0.932439911434939,0.992367189599082,NA,NA,NA,0.0017172173949723,0.976052279844624,0.993147962495527,-0.0010007836843149,0.983600163985185,0.99945004011772,-0.172942018395338,0.0057830206642859,0.954118316412794,NA,NA,NA
"ACAN__Cardiometabolic_o2csf__NPX","P16112","ACAN","ACAN",-0.0047586987322914,0.867439703349029,0.96896066260034,-0.004131374143435,0.884274911361485,0.976211429923671,0.0671236995280549,0.0217412094120388,0.104974080253139,0.0670828109683811,0.0219633415374363,0.105676455865943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0004222898960636,0.989393806764167,0.996883260624073,NA,NA,NA,-0.0167794910566884,0.741039032441609,0.943130289549824,0.0296220525039124,0.558791814693331,0.99945004011772,0.0260832326497187,0.735623605405899,0.97554186100797,NA,NA,NA
"ACE__Inflammation_II_o2csf__NPX","P12821","ACE","ACE",0.0519830813148021,0.0744370919879684,0.641241271921116,0.051429591896209,0.0765800947443327,0.63047245258888,-0.0619369253359398,0.0386829930677731,0.154120333614656,-0.0614467673099912,0.0398065889698322,0.155974550019822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0496132987913662,0.130659964198602,0.673290966771929,NA,NA,NA,-0.0153817258182558,0.757680940123759,0.947588773876537,0.123816651005762,0.0069273808142599,0.99945004011772,0.104984165905965,0.108387406189484,0.97554186100797,NA,NA,NA
"ACHE__Inflammation_II_o2csf__NPX","P22303","ACHE","ACHE",-0.0140890199607705,0.702929758439009,0.949424268226795,-0.0134158605109396,0.714900428482265,0.953331699374925,0.0972479710384968,0.0102252560042821,0.064371730961428,0.0971496370517068,0.0103733929360395,0.0649972503334729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0258945886755416,0.481543771892732,0.878275721133915,NA,NA,NA,0.0737690436810581,0.138675804840275,0.6726610578285,-0.0232318680991913,0.68477009988717,0.99945004011772,-0.0393918094453887,0.70691117081566,0.97554186100797,NA,NA,NA
"ACP5__Cardiometabolic_o2csf__NPX","P13686","ACP5","ACP5",0.0561229339864322,0.0320832132786841,0.550959872477156,0.0564132531209783,0.0306005272331582,0.538801688371177,0.056425283103707,0.0362608887766529,0.14922750381161,0.056730953913003,0.0345672714938297,0.142679746729724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0636612945618148,0.0327102220719082,0.564877774204278,NA,NA,NA,0.13879390151332,0.0006204008984984,0.282943690865092,-0.0129621031506593,0.786020178002535,0.99945004011772,0.0511979904548487,0.412465585215601,0.97554186100797,NA,NA,NA
"ACP6__Oncology_o2csf__NPX","Q9NPH0","ACP6","ACP6",0.0012008251354015,0.974371352241725,0.991347040742499,0.001328594201893,0.971672911594044,0.992842622865437,0.0136390044092851,0.722809219626309,0.8643257372337,0.0136521645601741,0.722844657023917,0.864647007443642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0025415446841495,0.951132777578111,0.994911547717825,NA,NA,NA,-0.035945525847849,0.548465033731811,0.888143029011582,0.0374432639048776,0.530310530893801,0.99945004011772,0.0117212533131522,0.901446674433669,0.990098969664637,NA,NA,NA
"ACTA2__Cardiometabolic_o2csf__NPX","","ACTA2","ACTA2",0.0470470086422649,0.106788218764422,0.682245647371996,0.0472708919441668,0.105264801245815,0.678381619950742,0.0244043428189739,0.416511799060982,0.657465321228557,0.024854865683844,0.407186941962033,0.650174874079509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0642080631378507,0.0408969965505295,0.564877774204278,NA,NA,NA,0.0557783161185126,0.26769936064169,0.780649498223461,0.103534281898798,0.0598228459863486,0.99945004011772,-0.0012152712953385,0.989374588557894,0.998207260822281,NA,NA,NA
