"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.118208897509631,-0.07231244009314,0.0611973619484192,-1.93160119564082,0.0541183743207592,0.451164457595466,0.445648522495923,398,-0.238519381479723,0.00210158646046114,0.561837724315541,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",0.0193648781125404,0.0104468897179846,0.0499668025636082,0.387554878819566,0.698552638549282,0.715449908385809,0.712590108470088,398,-0.0788669738410228,0.117596730066104,0.929686353477329,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",0.139382621205816,0.0905721883474445,0.0695450876017145,2.00420512810425,0.0457268918007899,0.202552627083997,0.194517892848068,397,0.0026599396566214,0.27610530275501,0.561837724315541,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",-0.00333814830803631,-0.00268803041278441,0.044042582692217,-0.0757936547764311,0.939621443399073,0.508866786033397,0.503918340552625,397,-0.0899239908986433,0.0832476942825707,0.993085367364532,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",-0.000880382694099619,-0.000454660806030761,0.0616401909557466,-0.0142826081562868,0.988611689605241,0.604080254825527,0.600091139005129,397,-0.122062373964843,0.120301608576644,0.9976659050403,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.0699091304109436,0.0493971998419099,0.0461869867843553,1.51361098175436,0.130918211171636,0.582912428952517,0.578720594067617,398,-0.020891821725353,0.16071008254724,0.670881023564121,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.0251786510118298,0.0251805631883025,0.0364140632567648,0.691454036158744,0.489685417821077,0.482296311534491,0.47706698134797,396,-0.0464103999140472,0.0967677019377068,0.880766603554375,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0820448410920966,0.0631510452852193,0.0383087892414382,2.1416714732229,0.0328279805889217,0.660846920576286,0.657429761085871,397,0.00673139232647557,0.157358289857718,0.561837724315541,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.00685372806351577,-0.00270611704215762,0.104853497223346,-0.0653648017949923,0.947916450028815,0.330311850744153,0.32356436309422,397,-0.212991239778051,0.19928378365102,0.993085367364532,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.123208931603142,0.0641212578064152,0.0602036439153572,2.04653611625846,0.0413601035796652,0.615570801853528,0.611707191821905,398,0.00485203997234519,0.241565823233939,0.561837724315541,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",0.041439565877677,0.0276241579359099,0.0479128768015312,0.864894129595505,0.38761789279901,0.600512380738732,0.596497429791383,398,-0.0527543864899137,0.135633518245268,0.827470453411063,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.068683181841913,-0.0485913108661903,0.0575206711129194,-1.19406085695837,0.233167129213968,0.352989280014127,0.346470280316536,397,-0.181766372477994,0.0444000087941676,0.75379825778813,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",-0.0620592249642739,-0.028491326772643,0.0914679600821147,-0.678480474567932,0.49786238991757,0.311353967561214,0.304415468493821,397,-0.24188134050868,0.117762890580132,0.880766603554375,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",-0.113283916264739,-0.061563185070263,0.0490100228496882,-2.31144385735497,0.0213196894982486,0.722813394491665,0.720020582345485,397,-0.209635534730907,-0.0169322977985703,0.549179409112293,"ACYP1","P07311","ACYP1"
"ADA__Inflammation_o2csf__NPX",0.00127118695051284,0.000779288079550964,0.06089380566455,0.02087547225272,0.983355454095769,0.454274089004055,0.448789406481482,398,-0.118442522873412,0.120984896774437,0.9976659050403,"ADA","P00813","ADA"
"ADA2__Cardiometabolic_o2csf__NPX",-0.060389214862405,-0.0426158654301285,0.0499963652790784,-1.20787210280815,0.227813705359825,0.5125255594483,0.50762631883974,398,-0.158679185409523,0.0379007556847126,0.75379825778813,"ADA2","Q9NZK5","ADA2"
"ADAM12__Inflammation_II_o2csf__NPX",-0.0601489748451821,-0.0478792358069995,0.0521562373200912,-1.15324605331551,0.249503261548838,0.325613341161541,0.31881851336468,397,-0.162685917019416,0.0423879673290515,0.764040786852758,"ADAM12","O43184","ADAM12"
"ADAM15__Cardiometabolic_o2csf__NPX",0.0375606048615506,0.0216617727806607,0.0601177578292499,0.62478386117181,0.532470935573582,0.529261723366477,0.524530685410361,398,-0.0806274396775273,0.155748649400628,0.885440054400447,"ADAM15","Q13444","ADAM15"
"ADAM22__Neurology_o2csf__NPX",0.0149160232395294,0.0191333222801089,0.0313398778695701,0.475943885346546,0.634376153829154,0.370024623495127,0.363677264537899,397,-0.046696842449725,0.0765288889287839,0.923764760379397,"ADAM22","Q9P0K1","ADAM22"
"ADAM23__Inflammation_o2csf__NPX",0.0451349735861252,0.0515828381859054,0.0230856002935393,1.95511370777551,0.0512691744301795,0.727405208501789,0.724665562356078,398,-0.000249985105342694,0.0905199322775931,0.561837724315541,"ADAM23","O75077","ADAM23"
"ADAM8__Neurology_o2csf__NPX",-0.115079242649933,-0.0511796609479455,0.0777113045394241,-1.48085588489319,0.139440166724333,0.534676234374589,0.529975994317767,396,-0.267857538742876,0.0376990534430102,0.670881023564121,"ADAM8","P78325","ADAM8"
"ADAM9__Oncology_II_o2csf__NPX",0.00743928969338036,0.00460738786505372,0.0504389296134142,0.147491030249815,0.882819146319566,0.617853878466713,0.61401321392869,398,-0.0917207368096905,0.106599316196451,0.976153761947946,"ADAM9","Q13443","ADAM9"
"ADAMTS1__Inflammation_II_o2csf__NPX",-0.012681765344963,-0.00909943763529537,0.0448831566253105,-0.282550655936074,0.777668192573982,0.593848938687373,0.589767018473175,398,-0.100919462588317,0.0755559318983906,0.947469669668804,"ADAMTS1","Q9UHI8","ADAMTS1"
"ADAMTS13__Cardiometabolic_o2csf__NPX",0.0314120183333385,0.0178377019753548,0.0677218288380936,0.463838896147311,0.643018031209578,0.423918909238703,0.418099908321922,396,-0.101727242157817,0.164551278824494,0.923764760379397,"ADAMTS13","Q76LX8","ADAMTS13"
"ADAMTS15__Oncology_o2csf__NPX",0.119119834480852,0.066387863935287,0.0619674546231817,1.92229671535177,0.0552819338819819,0.532923874291028,0.528229641871842,398,-0.00270460727193936,0.240944276233644,0.561837724315541,"ADAMTS15","Q8TE58","ADAMTS15"
"ADAMTS16__Cardiometabolic_o2csf__NPX",0.0730103251291721,0.0684418047263754,0.049311475595942,1.48059501864066,0.139511695922375,0.170849309657391,0.162452846970377,395,-0.0239354375503237,0.169956087808668,0.670881023564121,"ADAMTS16",NA,"ADAMTS16"
"ADAMTS4__Inflammation_II_o2csf__NPX",0.000735326296562557,0.00053807157250029,0.0466373991387643,0.0157668804466278,0.987428271322526,0.543921422783639,0.539337718490007,398,-0.0909511105505083,0.0924217631436334,0.9976659050403,"ADAMTS4","O75173","ADAMTS4"
"ADAMTS8__Oncology_o2csf__NPX",0.000470414360762113,0.000241790661727045,0.0458782637264934,0.010253534518362,0.991824144021765,0.782237557790114,0.780048990531723,398,-0.0897236060496964,0.0906644347712206,0.9976659050403,"ADAMTS8",NA,"ADAMTS8"
"ADAMTSL2__Cardiometabolic_II_o2csf__NPX",-0.0300707337022516,-0.0175710198780971,0.0459151900111013,-0.654919073513169,0.51289817650817,0.718116413167782,0.715283412295096,398,-0.120337349058488,0.0601958816539847,0.880766603554375,"ADAMTSL2","Q86TH1","ADAMTSL2"
