"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.0837784783181985,-0.0520473351686534,0.0878120559389911,-0.954065787690986,0.341225503513728,0.425230886044628,0.413500904127171,196,-0.256956253594376,0.0893992969579789,0.999902558348704,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",0.0440911599438155,0.0280330878232585,0.0680209321617226,0.648199878222587,0.517618206331978,0.640393226833518,0.63301667764036,195,-0.0900599980365897,0.178242317924221,0.999902558348704,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",0.12726737958194,0.083342237196227,0.099055512169844,1.28480865722771,0.200383235776289,0.192236256470644,0.175666743782863,195,-0.0680903028198964,0.322625061983777,0.999902558348704,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",-0.000243216591350073,-0.000194521599198066,0.0610196324335315,-0.00398587440878161,0.996823815437033,0.542786128623596,0.53340738254408,195,-0.120586382883672,0.120099949700972,0.999902558348704,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",0.0549296960559739,0.0297461136446167,0.0935876340835328,0.586933269484575,0.557927431851196,0.506360970772795,0.496235041968134,195,-0.129644215032198,0.239503607144146,0.999902558348704,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.186201929478801,0.123574063921303,0.0678320103113402,2.74504512875497,0.00661274258644963,0.608610876979742,0.60062334385688,196,0.0524276257956028,0.319976233162,0.999902558348704,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",-0.02293510969153,-0.0233950693573847,0.0555301401073278,-0.413020922461232,0.680045076463242,0.383108981202087,0.370454806457514,195,-0.132451876978706,0.0865816575956461,0.999902558348704,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",-0.0169949252842365,-0.013277774663327,0.0603120600840566,-0.281783199919731,0.778407046476758,0.571181547274963,0.562430150280574,196,-0.135938825139362,0.101948974570889,0.999902558348704,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",0.0968235409105003,0.0373360027861551,0.154456270807318,0.626867011642967,0.531479638143036,0.31810656091087,0.304119003185964,195,-0.207795742119508,0.401442823940508,0.999902558348704,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.177095011859896,0.10324776092243,0.09317427390228,1.90068571981179,0.0588106964482657,0.430106463433935,0.418475983095852,196,-0.0066578145012203,0.360847838221012,0.999902558348704,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",-0.00171428554638104,-0.00114532437050272,0.0719220235062502,-0.0238353353091083,0.981008203313755,0.554069124908504,0.544968494804596,196,-0.143554672848403,0.140126101755641,0.999902558348704,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.079097907493345,-0.0594513761438789,0.0802700535512211,-0.985397467598198,0.325649945652601,0.300436053458816,0.286086023786177,195,-0.237406832302598,0.079211017315908,0.999902558348704,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",0.0335974886865272,0.0143887480279276,0.14404426816802,0.233244190232808,0.815816450261135,0.269175782240367,0.254184516235041,195,-0.250487200556439,0.317682177929494,0.999902558348704,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",-0.111348189766751,-0.0678656345214963,0.066187260252818,-1.68232057561275,0.0941072586741534,0.687113955629284,0.680695780360141,195,-0.241882972579718,0.0191865930462149,0.999902558348704,"ACYP1","P07311","ACYP1"
