"Protein_id","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","symbol","uniprot","label"
"ATP5IF1__Inflammation_o2csf__NPX",1.63284766770658,0.00231497574781478,0.330177806216157,0.10997651740884,0,0.0023149757478147,0.902,0.112291493156655,0,0.97938422864691,0,0.634126975326353,1.88662762035766,0,0.92347619047619,0,"ATP5IF1","Q9UII2","ATP5IF1"
"C1S__Inflammation_II_o2csf__NPX",1.63841091719015,-0.0482660968363316,-0.0143698331772753,-0.0047540108260904,0.448,-0.0482660968363318,0,-0.0530201076624222,0,0.0896642997475425,0.448,-0.146428753918197,0.398257681809692,0.469853658536585,0,0.469853658536585,"C1S","P09871","C1S"
"CKAP4__Inflammation_o2csf__NPX",1.63841091719015,0.0985730744497465,-0.0501083594578791,-0.0169909816016214,0.042,0.0985730744497466,0,0.0815820928481252,0,-0.208268518353067,0.042,-0.497385835941818,-0.00949026987492953,0.0547272727272727,0,0.0547272727272727,"CKAP4","Q07065","CKAP4"
"CLUL1__Cardiometabolic_o2csf__NPX",1.63841091719015,0.124976581593883,-0.079546801078297,-0.0257796084514811,0.018,0.124976581593883,0,0.0991969731424019,0,-0.259883014922979,0.018,-0.73629444176361,-0.0389619057793162,0.0241875,0,0.0241875,"CLUL1","Q15846","CLUL1"
"CRKL__Inflammation_o2csf__NPX",1.63284766770658,-0.0068685494644922,0.230222297640302,0.0727017782022007,0,-0.00686854946449223,0.67,0.0658332287377084,0,1.10433256269198,0,0.706292918411376,2.22212098950528,0,0.832971428571429,0,"CRKL","P46109","CRKL"
"CRYM__Neurology_II_o2csf__NPX",1.63063486698118,0.0656450810767641,0.0753583322595608,0.0231522587062506,0.006,0.065645081076764,0.006,0.0887973397830146,0,0.260731444915191,0.006,0.0653022891206711,0.680781070999955,0.0086,0.0198461538461538,0.0086,"CRYM",NA,"CRYM"
"DDAH1__Oncology_o2csf__NPX",1.63797680524603,-0.00146416174691392,0.216218489116683,0.065466604894082,0,-0.001464161746914,0.956,0.064002443147168,0,1.02287665399815,0,0.640767274849654,2.2282070490128,0,0.956,0,"DDAH1","O94760","DDAH1"
"DMD__Cardiometabolic_II_o2csf__NPX",1.63648951468109,-0.0651933980017727,0.040443680985148,0.0126310595268931,0.012,-0.0651933980017726,0,-0.0525623384748795,0,-0.240306270485467,0.012,-0.621314388571811,-0.0573237652468934,0.0166451612903226,0,0.0166451612903226,"DMD",NA,"DMD"
"DTX3__Oncology_o2csf__NPX",1.63657641184361,-0.00509138923232549,0.248845946594006,0.0741680486470122,0,-0.00509138923232544,0.736,0.0690766594146868,0,1.07370636153321,0,0.730096405249671,1.85952829818174,0,0.844157894736842,0,"DTX3",NA,"DTX3"
"EGLN1__Inflammation_o2csf__NPX",1.64745562652175,0.00658094107487687,0.165980415909698,0.049045340941738,0,0.00658094107487672,0.732,0.0556262820166147,0.002,0.881693673632347,0.002,0.511321973827823,2.05938689459814,0,0.844157894736842,0.00296551724137931,"EGLN1","Q9GZT9","EGLN1"
"ENO1__Neurology_o2csf__NPX",1.64383406260737,0.0505243852843285,0.175524107606072,0.0579361528113274,0,0.0505243852843285,0.016,0.108460538095656,0,0.534168037781918,0,0.328988677026487,0.884156602121368,0,0.0362105263157895,0,"ENO1","P06733","ENO1"
