"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.0187032018090467,-0.0155815896431566,0.0257429424477495,-0.726537063391594,0.46763763194235,0.389879933692451,0.388042222649356,1328,-0.0692044689655058,0.0317980653474123,0.743410224036353,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.0329514955669627,-0.02451501917246,0.020774325852692,-1.58616437426742,0.112940272321858,0.683350605290332,0.682396123316829,1327,-0.0737055975200355,0.00780260638611007,0.447578116238474,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",-0.0347936510238052,-0.0321067917424846,0.0264558060574608,-1.31516125224969,0.188683435879925,0.211866970258836,0.209485903703726,1324,-0.0866935227797426,0.0171062207321322,0.529867918268151,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",0.0124247034112851,0.0122412793060903,0.0188916918176196,0.657680822407714,0.510857656358157,0.542160845946066,0.540776600582336,1323,-0.0246362373346009,0.0494856441571712,0.765735991373056,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",-0.042857482574655,-0.0289997535812694,0.0265046488954909,-1.61697982658227,0.106120308404923,0.573672485879014,0.572387399174806,1327,-0.0948530645721936,0.0091380994228837,0.429795938572099,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.0130494961783345,0.0126611228243433,0.018503693234335,0.705237382238928,0.480786195941187,0.572455694594976,0.571167910542551,1328,-0.0232501598266069,0.049349152183276,0.751147502231348,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.0319025119510543,0.0371593449908421,0.0186573594596282,1.70991570485023,0.0875155830347178,0.374909488572856,0.373022422877981,1325,-0.00469867466506107,0.0685036985671696,0.397824104579387,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0222701606237052,0.0229036932847706,0.0162757349106825,1.36830445727451,0.171448591863589,0.628875912595258,0.627756382919828,1326,-0.00965883776008648,0.0541991590074969,0.513291851765987,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.0735158603753259,-0.0388038278484448,0.0441595600748369,-1.66477791560285,0.096193315228936,0.28043417219977,0.278263536218472,1326,-0.160146081990265,0.013114361239613,0.407941772815396,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",-0.0107326021081786,-0.00777281553658852,0.0247658227776037,-0.433363438176757,0.664821190965269,0.573575383283392,0.572290003881081,1327,-0.0593170362595956,0.0378518320432384,0.850750944464295,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",-0.0438133540370539,-0.0403284889548933,0.0195643915161348,-2.23944373638816,0.0252922916260282,0.5704995332609,0.569203905910254,1326,-0.0821938897564294,-0.00543281831767826,0.231457747709244,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.0595470212005572,-0.0547854517349239,0.0243327210622624,-2.44719943356062,0.0145261363292184,0.336179829337016,0.334177355217369,1326,-0.107281849503782,-0.0118121928973323,0.190621279565498,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",0.0410695119699876,0.0252020092368489,0.0364102025371076,1.12796713855495,0.259538154881053,0.339842580062888,0.337848146770026,1324,-0.0303584701591255,0.112497494099101,0.5879765039732,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",0.0105669400930661,0.00820383089210008,0.0202650443487064,0.521436810659666,0.602149721100851,0.672618933824068,0.671629867158884,1324,-0.0291881594318504,0.0503220396179827,0.817161231269545,"ACYP1","P07311","ACYP1"
"ADA__Inflammation_o2csf__NPX",0.0292957733606937,0.023483886005809,0.0260979342259198,1.12253227045066,0.261839100609412,0.419436685709056,0.417688001027457,1328,-0.0219018996034586,0.080493446324846,0.591278763836159,"ADA","P00813","ADA"
"ADA2__Cardiometabolic_o2csf__NPX",-0.00707087720089622,-0.0067151185234582,0.0210309950818577,-0.336212203624919,0.736764045706391,0.47158414708053,0.469990132441256,1326,-0.0483285292616601,0.0341867748598677,0.880117368168762,"ADA2","Q9NZK5","ADA2"
"ADAM12__Inflammation_II_o2csf__NPX",-0.0307023931975856,-0.0330677652825935,0.0215560683921646,-1.4243039425847,0.154594148544768,0.287131840237618,0.284978159996644,1324,-0.0729901686176832,0.0115853822225121,0.499787002165703,"ADAM12","O43184","ADAM12"
"ADAM15__Cardiometabolic_o2csf__NPX",-0.0103622487438317,-0.00842547418428544,0.0230314640867271,-0.449917065837051,0.65284367076259,0.534809215122546,0.533408038059662,1328,-0.0555442679791612,0.0348197704914978,0.842398465705717,"ADAM15","Q13444","ADAM15"
"ADAM22__Neurology_o2csf__NPX",0.00967854231419107,0.0161953534567473,0.013475380398838,0.718238894022294,0.472736527408976,0.326560135094821,0.324528642289677,1326,-0.016756847628974,0.0361139322573561,0.745074391524375,"ADAM22","Q9P0K1","ADAM22"
"ADAM23__Inflammation_o2csf__NPX",0.0131027120996819,0.0200338586982072,0.010599547645599,1.23615766802296,0.216619217787126,0.652711823682992,0.651662614691097,1324,-0.00769102830961478,0.0338964525089786,0.557995059151651,"ADAM23","O75077","ADAM23"
"ADAM8__Neurology_o2csf__NPX",-0.000457409166019646,-0.000276649018048385,0.0333642796841611,-0.0137095471668999,0.989063772077382,0.461513047737548,0.459886198939172,1324,-0.0659100297770201,0.0649952114449808,0.994443997015637,"ADAM8","P78325","ADAM8"
"ADAM9__Oncology_II_o2csf__NPX",-0.0197468435609809,-0.0172287888421706,0.0202866349046389,-0.973391775117192,0.330536558651103,0.585991903400019,0.584740178240231,1323,-0.0595443260412441,0.0200506389192823,0.647712884161078,"ADAM9","Q13443","ADAM9"
"ADAMTS1__Inflammation_II_o2csf__NPX",0.0229454509735208,0.0217440627108969,0.0194380951561697,1.18043721821363,0.238038072312261,0.550547155898881,0.54919134038123,1326,-0.015187322276428,0.0610782242234696,0.566970819497183,"ADAMTS1","Q9UHI8","ADAMTS1"
"ADAMTS13__Cardiometabolic_o2csf__NPX",-0.00840240079189084,-0.00652290170089677,0.0272363788805403,-0.308499188851207,0.757751011593281,0.408271295197462,0.406484944390511,1325,-0.0618335301170771,0.0450287285332954,0.891735750529826,"ADAMTS13","Q76LX8","ADAMTS13"
"ADAMTS15__Oncology_o2csf__NPX",-0.0158201273927707,-0.0115479206976017,0.0245890380237287,-0.643381305828399,0.520088210612038,0.574216068477088,0.572928739885938,1323,-0.0640578866148336,0.0324176318292921,0.773080498880338,"ADAMTS15","Q8TE58","ADAMTS15"
"ADAMTS16__Cardiometabolic_o2csf__NPX",0.0601274343418046,0.077796589458435,0.0201476334852955,2.98434227452508,0.00289402906981007,0.101900865542507,0.0991855242440716,1323,0.0206026391049928,0.0996522295786164,0.0789332242373687,"ADAMTS16",NA,"ADAMTS16"
"ADAMTS4__Inflammation_II_o2csf__NPX",0.000226063669214616,0.000218488951483368,0.0203764884050623,0.0110943389616855,0.991149851212662,0.487003276697931,0.485453437654722,1324,-0.0397476620514138,0.0401997893898431,0.994443997015637,"ADAMTS4","O75173","ADAMTS4"
"ADAMTS8__Oncology_o2csf__NPX",-0.0314635136265273,-0.0227548596753259,0.0188551942854836,-1.66869209354956,0.09541431292502,0.753546220808174,0.752803330742788,1327,-0.0684527529262477,0.0055257256731932,0.407941772815396,"ADAMTS8",NA,"ADAMTS8"
"ADAMTSL2__Cardiometabolic_II_o2csf__NPX",0.00436721456950764,0.0036890014605529,0.0183567849904928,0.23790737712347,0.811989772447744,0.682260699387323,0.681300036346922,1323,-0.0316443680555655,0.0403787971945808,0.916050328818785,"ADAMTSL2","Q86TH1","ADAMTSL2"
"ADAMTSL5__Cardiometabolic_II_o2csf__NPX",0.043391796592657,0.0353609834054406,0.0247757228862144,1.7513836747343,0.080111733825557,0.461635573820196,0.460006634557927,1322,-0.00521222694737629,0.0919958201326903,0.388143022906647,"ADAMTSL5",NA,"ADAMTSL5"
"ADCYAP1R1__Oncology_o2csf__NPX",0.00956898554409669,0.00940804193600774,0.0246922843801707,0.387529375442522,0.698426771604936,0.222271298045877,0.219916328471451,1321,-0.0388713852702135,0.0580093563584069,0.867642866943457,"ADCYAP1R1","P41586","ADCYAP1R1"
"ADGRB3__Neurology_o2csf__NPX",-0.0150753679506677,-0.0143840650149982,0.0162559197495959,-0.927377114484241,0.353899533561504,0.681355574944532,0.680394354959448,1326,-0.0469654938503732,0.0168147579490378,0.670673366735766,"ADGRB3","O60242","ADGRB3"
"ADGRD1__Inflammation_II_o2csf__NPX",-0.000547073751122276,-0.000332249923179237,0.0323619475698534,-0.0169048463458948,0.986515067710678,0.487943488299363,0.486399987133725,1327,-0.0640332306552654,0.0629390831530209,0.99437859361272,"ADGRD1","Q6QNK2","ADGRD1"
"ADGRE2__Inflammation_o2csf__NPX",-0.0239720952216366,-0.0198311403543072,0.0169797558304762,-1.41180447239472,0.158242331186015,0.738904005615269,0.738115791292598,1325,-0.0572822328749377,0.00933804243166447,0.502819028497924,"ADGRE2","Q9UHX3","ADGRE2"
"ADGRE5__Cardiometabolic_o2csf__NPX",-0.0389218100826176,-0.0335932244400288,0.0166495949240848,-2.33770312491594,0.0195508584425892,0.726682131669107,0.725857021123202,1325,-0.0715842526012279,-0.00625936756400727,0.215835270584457,"ADGRE5","P48960","ADGRE5"
"ADGRF5__Cardiometabolic_II_o2csf__NPX",-0.00129429245255262,-0.0014276442822494,0.0153487267281329,-0.0843257213108294,0.93281022992513,0.621464535509621,0.62031919371086,1322,-0.0314048114727182,0.0288162265676129,0.970022269573559,"ADGRF5","Q8IZF2","ADGRF5"
"ADGRG1__Oncology_o2csf__NPX",-0.000253143352584665,-0.000113178223337593,0.0296323691541471,-0.00854279829155129,0.993185200099519,0.767339432520408,0.76663811958151,1327,-0.0583845408372692,0.0578782541320999,0.995331853990224,"ADGRG1","Q9Y653","ADGRG1"
"ADGRG2__Cardiometabolic_o2csf__NPX",-0.0139444797124237,-0.0148362954531109,0.0198910089893344,-0.701044362299609,0.48339842535741,0.407200739909248,0.405411157237276,1325,-0.0529657856789416,0.0250768262540941,0.751147502231348,"ADGRG2","Q8IZP9","ADGRG2"
"ADIPOQ__Inflammation_II_o2csf__NPX",0.0382733123474331,0.0215457985186505,0.0438794834115088,0.872237076915876,0.383236725796532,0.190599565240716,0.188161612123971,1328,-0.0478073491367689,0.124353973831635,0.686018414635713,"ADIPOQ","Q15848","ADIPOQ"
"ADM__Oncology_o2csf__NPX",-0.0316261641358522,-0.028714027261999,0.0146481820711202,-2.15905045297089,0.0310252841288446,0.76589380588159,0.765187070201232,1325,-0.060362323008282,-0.00289000526342234,0.256182515187534,"ADM","P35318","ADM"
"AFM__Inflammation_II_o2csf__NPX",-0.0565236559859772,-0.0400248468739107,0.0310919830223461,-1.81794953204989,0.0692970688373021,0.357011737824596,0.355075026191537,1328,-0.11751841383942,0.00447110186746538,0.376532120127685,"AFM","P43652","AFM"
"AGER__Inflammation_o2csf__NPX",-0.0145221492133302,-0.00933575010664336,0.0300193878709504,-0.48375900520554,0.628636788942418,0.506766544463166,0.505278660736056,1326,-0.0734128224808638,0.0443685240542034,0.834383371582923,"AGER","Q15109","AGER"
"AGRN__Inflammation_o2csf__NPX",0.00869285942233168,0.0134803071453122,0.0140477188493626,0.618809325239743,0.536148587714097,0.373308115834736,0.371411922539229,1322,-0.0188653943074957,0.036251113152159,0.781742856929045,"AGRN","O00468","AGRN"
