"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.00552913275652686,-0.00460630637333253,0.0272976786967106,-0.202549558076275,0.839518168710679,0.390839732396506,0.38854447893907,1327,-0.0590804435704855,0.0480221780574317,0.959329840186722,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.0270954219950819,-0.0201582592312229,0.0220507608341934,-1.22877492522008,0.219374230790798,0.68350067946161,0.682307243109656,1326,-0.0703536042461478,0.016162760255984,0.638995773800878,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",-0.0298134706131991,-0.0275111942533355,0.0280738988638492,-1.06196402422714,0.288445828183966,0.212035111035068,0.209057163608897,1323,-0.0848876859001925,0.0252607446737942,0.700223642240657,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",-0.054011153777168,-0.0532137949007283,0.0192956159145179,-2.79914121510525,0.0051983454948224,0.57613268809164,0.574529559075345,1322,-0.091864522352359,-0.016157785201977,0.190680969835789,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",-0.0749777348170905,-0.0507341006320154,0.0279946018447605,-2.67829259486765,0.00749129049356882,0.577455338438968,0.575862032776973,1326,-0.129896274714763,-0.0200591949194183,0.192970094010264,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.0139148263604033,0.0135006994309079,0.0196365401133144,0.708619047963978,0.478685373116072,0.572461311141249,0.570850389178707,1327,-0.0246072206825777,0.0524368734033843,0.820013982764108,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.00825093927465144,0.00961051278581621,0.0197300579318999,0.418191335429947,0.675875047342917,0.380826432789681,0.378488164031334,1324,-0.0304546467195446,0.0469565252688475,0.904112831340679,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0081926193183566,0.00842567969028446,0.017243255138198,0.475120228326724,0.634779587663491,0.630529842828848,0.629135615820655,1325,-0.0256344396793615,0.0420196783160747,0.888102853124631,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.0850526438363892,-0.0448932806149956,0.0468336138226548,-1.81605981034175,0.0695871094384029,0.280731922771192,0.278017703611838,1325,-0.17692876613222,0.00682347845944137,0.464822523939164,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",-0.0157410783487686,-0.0114000777368546,0.0262761704998723,-0.59906287900077,0.54923328482101,0.573680423593232,0.572072883712362,1326,-0.0672884775922894,0.0358063208947522,0.850761134951031,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",-0.0337607233161218,-0.031075433216365,0.020755416977094,-1.62659817210035,0.104060245283851,0.571176157215184,0.569557954034864,1325,-0.0744777868275865,0.006956340195343,0.505227245305221,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.0321955793079465,-0.0296211182472535,0.0257140353587409,-1.25206249656192,0.210768058788182,0.341259587758504,0.338773774882121,1325,-0.0826402421154143,0.0182490834995214,0.626449508064873,"ACY1","Q03154","ACY1"
