"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"ATP5IF1__Inflammation_o2csf__NPX",0.0172127246371058,0.0106199401235481,0.0539294539732832,0.319171127629682,0.749647135573577,0.671864527719191,0.670376384987759,1323,-0.0885838507811817,0.123009300055393,0.928226392406421,"ATP5IF1","Q9UII2","ATP5IF1"
"C1S__Inflammation_II_o2csf__NPX",0.0515587879116619,0.0434483927694634,0.0332895442297464,1.54879825196257,0.121668847978329,0.766270441421361,0.765212841608788,1326,-0.0137471297468463,0.11686470557017,0.588536297673423,"C1S","P09871","C1S"
"CKAP4__Inflammation_o2csf__NPX",-0.0323233405205371,-0.0207455955378459,0.0469547933462653,-0.688392775625069,0.491325884695293,0.730266360699676,0.729045846494697,1326,-0.124437123958984,0.05979044291791,0.845897101644271,"CKAP4","Q07065","CKAP4"
"CLUL1__Cardiometabolic_o2csf__NPX",-0.0640083918055263,-0.0449270670044735,0.0613034527388553,-1.0441237637657,0.296618441167396,0.450119801219709,0.44763165552387,1326,-0.18427072429996,0.0562539406889076,0.828923402383837,"CLUL1","Q15846","CLUL1"
"CRKL__Inflammation_o2csf__NPX",-0.0109469984536766,-0.00785545819929882,0.0351522801895943,-0.311416454199665,0.75553311009825,0.811411079805942,0.810555801256309,1323,-0.0799072898752362,0.058013292967883,0.928226392406421,"CRKL","P46109","CRKL"
"CRYM__Neurology_II_o2csf__NPX",0.0461399090823779,0.040977137088432,0.0555072050424881,0.831241800898821,0.40598726463077,0.278914998025134,0.275639820120631,1321,-0.0627519841797668,0.155031802344523,0.845897101644271,"CRYM",NA,"CRYM"
"DDAH1__Oncology_o2csf__NPX",-0.0202830247990122,-0.0179344615643584,0.0385425911968798,-0.526249641478547,0.598802905592674,0.655534090424623,0.653973066665218,1324,-0.0958942360361564,0.055328186438132,0.919590176445893,"DDAH1","O94760","DDAH1"
"DMD__Cardiometabolic_II_o2csf__NPX",-0.00289554370802254,-0.00367293200832512,0.0295315886684861,-0.0980490328687413,0.921908188060434,0.58319307680656,0.581305649229835,1325,-0.0608293145754654,0.0550382271594204,0.969859527132847,"DMD",NA,"DMD"
"DTX3__Oncology_o2csf__NPX",-0.0705640487016379,-0.0559324899701774,0.0319365375619626,-2.20950842165439,0.0273098038098913,0.809660467865315,0.808798553002818,1325,-0.133215742458589,-0.0079123549446873,0.587160781912664,"DTX3",NA,"DTX3"
"EGLN1__Inflammation_o2csf__NPX",0.0419506674695093,0.0465146235552162,0.0371878977653971,1.12807310954113,0.259493572560235,0.496752845989175,0.494470545970986,1323,-0.0310030144374777,0.114904349376496,0.828923402383837,"EGLN1","Q9GZT9","EGLN1"
"ENO1__Neurology_o2csf__NPX",0.0432091632344221,0.030150918678895,0.0433333637259156,0.997133836821922,0.318881886911899,0.729016674605478,0.727787725283961,1323,-0.0418004399747648,0.128218766443609,0.828923402383837,"ENO1","P06733","ENO1"
"ENO2__Neurology_o2csf__NPX",0.0249913448330933,0.0276531636467349,0.0330947306479053,0.755145739029458,0.450295848271139,0.602029336148361,0.600225843713988,1324,-0.0399324859771644,0.089915175643351,0.845897101644271,"ENO2","P09104","ENO2"
"FABP3__Cardiometabolic_II_o2csf__NPX",0.012779934428855,0.00499167474069759,0.0646837858501135,0.197575547888753,0.843407472264761,0.810911327466163,0.810055076873556,1325,-0.114113869705636,0.139673738563346,0.954382139668019,"FABP3","P05413","FABP3"
"FAM3D__Oncology_II_o2csf__NPX",-0.046781108067874,-0.0305658386768812,0.0680314595109038,-0.687639342213085,0.491800640490855,0.414526407175867,0.411867178139573,1321,-0.180242600532838,0.0866803843970903,0.845897101644271,"FAM3D","Q96BQ1","FAM3D"
"GH1__Cardiometabolic_o2csf__NPX",-0.0192762897239542,-0.00827581244242064,0.131088185481641,-0.147048261085694,0.883116298094909,0.0613392131356601,0.0570886737234442,1325,-0.27643932237944,0.237886742931532,0.969859527132847,"GH1","P01241","GH1"
"GLO1__Cardiometabolic_o2csf__NPX",-0.0130857300268601,-0.0117717813197011,0.0389117179481653,-0.336292785743661,0.73670329833628,0.636080625942789,0.63443393194253,1326,-0.0894209730309765,0.0632495129772563,0.928226392406421,"GLO1","Q04760","GLO1"
"GLOD4__Inflammation_o2csf__NPX",0.020655504464726,0.021110046341466,0.0278866156302824,0.740695993324337,0.459008926468702,0.758757239466852,0.757665643265344,1326,-0.0340511929762789,0.0753622019057309,0.845897101644271,"GLOD4",NA,"GLOD4"
"GMPR2__Inflammation_II_o2csf__NPX",0.022994497378922,0.023816362204803,0.0422743624433286,0.543934811784509,0.586577981401214,0.435029476437857,0.432467251841203,1323,-0.0599376008528033,0.105926595610647,0.919590176445893,"GMPR2","Q9P2T1","GMPR2"
"GPI__Inflammation_II_o2csf__NPX",0.128049955634097,0.103113772113496,0.0457424280588799,2.79936944906533,0.00519446884942419,0.597033615531178,0.595210238225889,1326,0.0383145354163539,0.21778537585184,0.22336216052524,"GPI","P06744","GPI"
"HGF__Inflammation_o2csf__NPX",-0.059620566593612,-0.0467262591635188,0.0345206919499302,-1.72709651011884,0.0843832089492604,0.78260741810746,0.781623741266317,1326,-0.127341693997405,0.00810056081018114,0.588536297673423,"HGF","P14210","HGF"
"IL17RB__Inflammation_o2csf__NPX",-0.016803694610421,-0.0143146366341369,0.0526503149784147,-0.319156582772773,0.749658123873047,0.403245009063208,0.400540681309718,1324,-0.120090836546466,0.0864834473256241,0.928226392406421,"IL17RB","Q9NRM6","IL17RB"
"ITGAM__Neurology_o2csf__NPX",0.0374805629935053,0.0400209024107552,0.0377022489544509,0.994120086544085,0.32034674128069,0.521754274592336,0.519578782285705,1319,-0.0364823572178132,0.111443483204824,0.828923402383837,"ITGAM","P11215","ITGAM"
"ITGB2__Cardiometabolic_o2csf__NPX",0.018301718196266,0.0133231644202012,0.0401523320092264,0.455807104605047,0.648603441201434,0.746776479122396,0.745628940508147,1324,-0.0604674138972537,0.0970708502897857,0.928226392406421,"ITGB2","P05107","ITGB2"
"LDLR__Cardiometabolic_o2csf__NPX",-0.0295765598009859,-0.0326620106147106,0.0315790354890143,-0.936588446828118,0.34914109854011,0.639554434376096,0.637920995256955,1324,-0.0915269645059615,0.0323738449039896,0.83405929095693,"LDLR","P01130","LDLR"
"LPA__Inflammation_II_o2csf__NPX",-0.0336277772499736,-0.0127657424618101,0.146283833934836,-0.229880338417664,0.818220264057378,0.083896193835228,0.0797446660127292,1324,-0.320601162400104,0.253345607900157,0.954382139668019,"LPA",NA,"LPA"
"MAPT__Neurology_o2csf__NPX",0.00759109821479766,0.00369666957785526,0.0803542428706924,0.0944704093225469,0.924749781684807,0.546161023091886,0.544104350991094,1324,-0.150044427649601,0.165226624079197,0.969859527132847,"MAPT","P10636","MAPT"
"MDH1__Inflammation_II_o2csf__NPX",0.0475694310301436,0.0367988114454555,0.0451264157557249,1.05413714414287,0.292012314137466,0.638021073454412,0.636381923598356,1325,-0.0409575852373885,0.136096447297676,0.828923402383837,"MDH1","P40925","MDH1"
