"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","uniprot.x","symbol","uniprot.y","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.0262590808137401,-0.0216856097573034,0.0384263487260027,-0.683361331074656,0.494642342510849,0.404966518336324,0.400999628458566,600,-0.101725571638286,0.0492074100108055,0.854625287545935,"P04217","A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",0.00344137158668241,0.00254828908990998,0.031167306741965,0.110416072045417,0.912116329401638,0.685274646452736,0.683176477429087,600,-0.0577689006939277,0.0646516438672925,0.990594199361266,NA,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",-0.03056734613551,-0.0266682088052045,0.0421354781098469,-0.725453881306891,0.468457420862604,0.203823955528725,0.198498363258014,598,-0.113318850583605,0.0521841583125845,0.845284299784618,"Q96IU4","ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",-0.0488586139725307,-0.052673965228876,0.0275942810742601,-1.77060651955546,0.0771355465277945,0.478444619519503,0.474955954767125,598,-0.103052095938147,0.00533486799308545,0.507728163743973,"P00519","ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",-0.0259842391530084,-0.0184008506686078,0.0364594470591969,-0.712688788472831,0.476315878688902,0.60678774062078,0.604161949239282,599,-0.0975881230112782,0.0456196447052615,0.850245227568836,"P16112","ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",-0.00996804193763521,-0.0097976955335589,0.0272929705014704,-0.365223783065246,0.715073072997056,0.574765291911498,0.571930393857575,600,-0.0635694060071294,0.043633322131859,0.940665463232834,"P12821","ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",-0.0115974861753102,-0.0152722073134108,0.0229394060411673,-0.505570464836677,0.613343891913383,0.460813314592471,0.457218736689754,600,-0.0566487734540005,0.03345380110338,0.919354906952065,"P22303","ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.00999550676537109,0.0107488405049248,0.0231968173970379,0.43089992020403,0.666695897059133,0.632320566961865,0.629869370741611,600,-0.0355613172705182,0.0555523308012604,0.932500458474876,"P13686","ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.0127537949046064,-0.00669648056699696,0.0654205720049698,-0.194950831424059,0.845497544462994,0.303817252781843,0.299168286189401,599,-0.141235366009613,0.1157277762004,0.967466933843137,"Q9NPH0","ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.010106963589967,0.00733691699709835,0.0359791381688632,0.280911775666535,0.778874908087314,0.59692464134069,0.594237472282961,600,-0.0605533877188789,0.0807673148988129,0.955143707691696,NA,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",-0.0433618777103185,-0.0397133556664793,0.0291689214401598,-1.48657802789437,0.137653322303775,0.579526353484229,0.576713820731616,598,-0.100647857140973,0.0139241017203365,0.625737814786116,"P37023","ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.0412302719015569,-0.0353939572523127,0.0384822777740563,-1.07140934181794,0.284416903749357,0.356277798142881,0.351979152387575,599,-0.116806858234896,0.0343463144317824,0.723261267121308,"Q03154","ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",0.00363439831054611,0.00218323173524686,0.0556112851839734,0.0653536112054016,0.947914262928092,0.341764523300481,0.337368960851736,599,-0.105582398067552,0.112851194688644,0.993896944213458,"Q96HD9","ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",-0.0136026353509443,-0.0104116687061091,0.0308742479984567,-0.440581916412158,0.659674384496384,0.670021021970077,0.667821162116544,600,-0.0742373620564147,0.0470320913545262,0.931650100639048,"P07311","ACYP1","P07311","ACYP1"
"ADA__Inflammation_o2csf__NPX",0.0468338223153417,0.0373341008459458,0.0384484912699287,1.21809259007183,0.223667562894318,0.444927492914016,0.441227009533443,600,-0.0286761548185573,0.122343799449241,0.705363461255628,"P00813","ADA","P00813","ADA"
"ADA2__Cardiometabolic_o2csf__NPX",-0.00916418915246184,-0.00866369365506114,0.0303856391146324,-0.301596063781616,0.763064508547054,0.512411152269984,0.509160559951784,600,-0.0688393243518321,0.0505109460469084,0.950751142260921,"Q9NZK5","ADA2","Q9NZK5","ADA2"
