"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.00667056404007048,-0.00583705085088272,0.0516151091800414,-0.129236654654794,0.897257869504749,0.398068329489508,0.389961505644249,297,-0.108248248566887,0.0949071204867456,0.992472863171676,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.104261375258943,-0.0867142291105338,0.0415996873593162,-2.50630189497312,0.0127346330734826,0.646779723585267,0.642022548145338,297,-0.186128874642879,-0.0223938758750079,0.947071905596697,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",0.0226328157723956,0.0204734320738339,0.0582072443159278,0.388831597138543,0.697680274599165,0.184339526352427,0.173317087519351,296,-0.0919196654624889,0.13718529700728,0.992472863171676,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",-0.0655485851110571,-0.0731007266735217,0.0345681652344918,-1.89621244478586,0.0589056161234098,0.562759265575779,0.556850607002479,296,-0.133579105124267,0.00248193490215247,0.992472863171676,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",-0.0332946619712458,-0.025706960960943,0.0535288099803216,-0.621995183219758,0.534423827962962,0.497930843077616,0.491146124740827,296,-0.138639934245518,0.0720506103030263,0.992472863171676,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.0212997580602601,0.0208009387853559,0.037950254456479,0.56125468367245,0.575047151384661,0.594699097053744,0.589240499034266,297,-0.0533857174939258,0.095985233614446,0.992472863171676,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",-0.0320283305016206,-0.0412736286554531,0.0352590635209123,-0.908371559063796,0.364418434208129,0.390814013289591,0.382609488216051,297,-0.10141758663097,0.0373609256277284,0.992472863171676,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0300867893330103,0.0335374696005584,0.0347553551392931,0.865673482904375,0.387367973508312,0.557122098253417,0.551157412708008,297,-0.038311176999718,0.0984847556657386,0.992472863171676,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",0.0917628092238705,0.0468754872022072,0.0990292486486553,0.926623300449696,0.354877050048697,0.247723405845704,0.2375575059247,296,-0.103127814457925,0.286653432905666,0.992472863171676,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.012426582760319,0.0103491314873759,0.0527867335629894,0.235411095204263,0.814051912369499,0.429723323701966,0.42204282974509,297,-0.091456839250068,0.116310004770706,0.992472863171676,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",-0.0260748686416847,-0.0274091271092107,0.0396048686985868,-0.658375333601727,0.510808729202458,0.490088838093822,0.483198146716712,296,-0.104017675103723,0.0518679378203535,0.992472863171676,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.04376588251768,-0.0359438743546134,0.057007900835571,-0.767716086300296,0.443267855085892,0.355705234208609,0.3469985481844,296,-0.155958042917205,0.068426277881845,0.992472863171676,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",0.0686641071109209,0.0379429264101851,0.0864031915343871,0.794694106682317,0.427426028505475,0.327343538841077,0.318284192562842,297,-0.101375950368679,0.23870416459052,0.992472863171676,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",-0.0347368411346812,-0.0289750977554811,0.0461760128331816,-0.752270259023309,0.452484328289588,0.562242403856624,0.55634667865604,297,-0.125610473657943,0.056136791388581,0.992472863171676,"ACYP1","P07311","ACYP1"
"ADA__Inflammation_o2csf__NPX",0.116697485114649,0.0904320146658876,0.057185536452201,2.04068182891301,0.0421664899271497,0.420537316017458,0.41273310478537,297,0.00415729148691649,0.229237678742382,0.947071905596697,"ADA","P00813","ADA"
"ADA2__Cardiometabolic_o2csf__NPX",-0.00470765195258695,-0.00501779432263195,0.0415389711843203,-0.113330971335274,0.909844730642568,0.421557565361279,0.413767094861094,297,-0.0864556629044066,0.0770403589992327,0.992472863171676,"ADA2","Q9NZK5","ADA2"
"ADAM12__Inflammation_II_o2csf__NPX",-0.0125931986493819,-0.0141523319988602,0.0437269152794611,-0.287996502129136,0.773550962096465,0.28942294541027,0.279820552780679,296,-0.0986482370020424,0.0734618397032786,0.992472863171676,"ADAM12","O43184","ADAM12"
"ADAM15__Cardiometabolic_o2csf__NPX",0.0503624439176062,0.0396166433682707,0.0516588144124632,0.974905144270129,0.330400680060403,0.512738291489898,0.506175844237237,297,-0.0513012517865887,0.152026139621801,0.992472863171676,"ADAM15","Q13444","ADAM15"
"ADAM22__Neurology_o2csf__NPX",-0.0173351292747137,-0.0317654384822553,0.0285872968710273,-0.606392739856509,0.544717193048597,0.190282773076473,0.179377490558984,297,-0.0735944585519345,0.0389242000025072,0.992472863171676,"ADAM22","Q9P0K1","ADAM22"
"ADAM23__Inflammation_o2csf__NPX",0.0481492662460837,0.0759512581945179,0.0223011834792038,2.15904533905044,0.031652708105144,0.6377499098739,0.632838044245071,295,0.00425968715184497,0.0920388453403224,0.947071905596697,"ADAM23","O75077","ADAM23"
"ADAM8__Neurology_o2csf__NPX",-0.0197866793616907,-0.0120402608293022,0.0779269747427943,-0.253913095266416,0.799739579687324,0.340987116256839,0.332051348341678,295,-0.173149935833617,0.133576577110235,0.992472863171676,"ADAM8","P78325","ADAM8"
"ADAM9__Oncology_II_o2csf__NPX",-0.0394990157032897,-0.0352344820463547,0.0445547108154044,-0.886528382305945,0.376054997441518,0.537092466768269,0.530815754453263,295,-0.127184384785928,0.0481863533793488,0.992472863171676,"ADAM9","Q13443","ADAM9"
"ADAMTS1__Inflammation_II_o2csf__NPX",-0.0445423781445054,-0.0442187154239408,0.0426404831008072,-1.04460303695908,0.297055936453649,0.47126101680665,0.464139953059939,297,-0.128458146400977,0.0393733901119661,0.992472863171676,"ADAMTS1","Q9UHI8","ADAMTS1"
"ADAMTS13__Cardiometabolic_o2csf__NPX",-0.0086382813039241,-0.0062618371244695,0.0601798831056851,-0.143541011682491,0.885960265117016,0.438456784734685,0.43089391314862,297,-0.127071299814979,0.109794737207131,0.992472863171676,"ADAMTS13","Q76LX8","ADAMTS13"
"ADAMTS15__Oncology_o2csf__NPX",0.0360396595296659,0.0270425282880018,0.0481143265036486,0.74904216994356,0.454424611374225,0.61539608194973,0.610216231201578,297,-0.0586485423640868,0.130727861423419,0.992472863171676,"ADAMTS15","Q8TE58","ADAMTS15"
"ADAMTS16__Cardiometabolic_o2csf__NPX",0.0820397040654479,0.0932353970983851,0.0494474925127461,1.65912769073782,0.098145631999128,0.0681764501414754,0.0556266380221686,297,-0.0152721465708002,0.179351554701696,0.992472863171676,"ADAMTS16",NA,"ADAMTS16"
"ADAMTS4__Inflammation_II_o2csf__NPX",0.0175435606227797,0.0181552668884994,0.0410366808642169,0.427509249123443,0.669319285741908,0.46930641941075,0.462134884537923,296,-0.0632170675410554,0.0983041887866149,0.992472863171676,"ADAMTS4","O75173","ADAMTS4"
"ADAMTS8__Oncology_o2csf__NPX",-0.0160329191725292,-0.012839737928175,0.0381565193364441,-0.420188199850184,0.674651803575955,0.724478007269346,0.720767273360516,297,-0.0911243206123501,0.0590584822672918,0.992472863171676,"ADAMTS8",NA,"ADAMTS8"
"ADAMTSL2__Cardiometabolic_II_o2csf__NPX",-0.0197741249120357,-0.0189740641371886,0.0384132722172013,-0.514773248168662,0.607094354625049,0.59911440988733,0.59371527736056,297,-0.0953708117912797,0.0558225619672083,0.992472863171676,"ADAMTSL2","Q86TH1","ADAMTSL2"
