"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",0.0148548375782449,0.0114347491872349,0.0389837382610286,0.38105215766583,0.703276488671783,0.365427220458979,0.361916444361933,723,-0.0616800076353571,0.091389682791847,0.955613073910048,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.0611017990143069,-0.0418754189125621,0.0314893510847028,-1.94039562295044,0.0527206051396056,0.672531865472713,0.670717637580595,722,-0.122923428129365,0.000719830100750746,0.577252958351828,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",-0.0410014680456185,-0.0349600549729694,0.039297206262123,-1.0433685227425,0.297126862719976,0.210177956285513,0.205802210890973,722,-0.118151908658384,0.0361489725671472,0.883858342229124,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",-0.0467544813914311,-0.0449756589469355,0.0258064587122493,-1.81173565551009,0.0704441476783508,0.568559002560827,0.566158774480497,719,-0.0974194980356969,0.00391053525283479,0.616275530947082,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",-0.119586841343374,-0.0753889689954022,0.0423893598493717,-2.82115233087546,0.00491637430606185,0.496778095608675,0.493994018682582,723,-0.202807774981197,-0.0363659077055504,0.37124600140176,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.0411731735521914,0.0362993213707672,0.028430846685357,1.44818668286081,0.14799835551558,0.557263920092226,0.554814481199237,723,-0.0146437015711138,0.0969900486754965,0.790022998413974,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.0265032616519733,0.0262048924913017,0.0319764148045251,0.828837811055126,0.407470865044548,0.29983942695269,0.295949645991317,720,-0.036274890606558,0.0892814139105045,0.902621145142296,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.00236653586071532,0.00221361173949138,0.0253414113305069,0.093386111367302,0.925622767319992,0.605833983101338,0.603647209082482,721,-0.0473852350427952,0.0521183067642258,0.994688628418265,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.159304001336881,-0.0774844994786013,0.0673540820443056,-2.36517218410149,0.018285121670808,0.244859339852199,0.240675735086837,722,-0.291537246421154,-0.0270707562526079,0.538727434332582,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",-0.0326967881675338,-0.0230221755497724,0.0383174980734031,-0.853312189248319,0.393769199910501,0.487867584213958,0.485030285511543,722,-0.107923811682211,0.0425302353471433,0.897922880451652,"ACTA2",NA,"ACTA2"
