"Protein_id","coef","OddsRatio","se","z","p","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label","standardized_beta"
"A1BG__Inflammation_II_o2csf__NPX",0.15690383681,1.16988310879991,0.258258734191803,0.607545132214081,0.54348920061082,0.7046424244799,1.94147042475685,0.997924959939315,"A1BG","P04217","A1BG",0.15690383681
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.00656297927658805,0.993458510034902,0.241098966037967,-0.0272211008800202,0.978283385872507,0.616840816540282,1.58993570764811,0.997924959939315,"ABCA2",NA,"ABCA2",-0.00656297927658805
"ABHD14B__Neurology_o2csf__NPX",-0.0607190066551656,0.941087641990944,0.267419815005413,-0.227055002090764,0.820380973358335,0.557074787194418,1.59290038991644,0.997924959939315,"ABHD14B","Q96IU4","ABHD14B",-0.0607190066551656
"ABL1__Oncology_o2csf__NPX",-0.0764719538103238,0.926378895322696,0.366500606783348,-0.208654371629811,0.834718062205058,0.4483211759262,1.89075693242729,0.997924959939315,"ABL1","P00519","ABL1",-0.0764719538103238
"ACAN__Cardiometabolic_o2csf__NPX",-0.266198585708138,0.766286938755895,0.22676799464174,-1.17388075918161,0.240442790273399,0.489362929051927,1.1920472492068,0.997924959939315,"ACAN","P16112","ACAN",-0.266198585708138
"ACE__Inflammation_II_o2csf__NPX",0.121707762878624,1.12942399393098,0.297989467163238,0.408429747659345,0.682958197470555,0.629981763193644,2.02878104627535,0.997924959939315,"ACE","P12821","ACE",0.121707762878624
"ACHE__Inflammation_II_o2csf__NPX",0.365102108281833,1.44066110406927,0.394137499216292,0.926331823304827,0.354273562620415,0.663141892965453,3.11869616042076,0.997924959939315,"ACHE","P22303","ACHE",0.365102108281833
"ACP5__Cardiometabolic_o2csf__NPX",0.127371422981409,1.13583881608332,0.330456704959117,0.385440576843998,0.699911024487025,0.593739417731046,2.17259047714767,0.997924959939315,"ACP5","P13686","ACP5",0.127371422981409
"ACP6__Oncology_o2csf__NPX",-0.245884978606299,0.782012167882137,0.165106338341422,-1.48925220604091,0.13642096809087,0.563811961775938,1.07793754465945,0.997924959939315,"ACP6","Q9NPH0","ACP6",-0.245884978606299
"ACTA2__Cardiometabolic_o2csf__NPX",-0.150276917118354,0.86046966465031,0.243745849286205,-0.616531184257827,0.537543996921496,0.531829389551451,1.38475576895231,0.997924959939315,"ACTA2",NA,"ACTA2",-0.150276917118354
"ACVRL1__Neurology_o2csf__NPX",-0.0379142391522085,0.962795507509631,0.294486934181325,-0.128746761745509,0.897558032770464,0.540405392152303,1.7170237006986,0.997924959939315,"ACVRL1","P37023","ACVRL1",-0.0379142391522085
"ACY1__Cardiometabolic_o2csf__NPX",-0.128342306414321,0.879552251231249,0.278753204393552,-0.460415537441226,0.645217984307263,0.509600014862568,1.52278693584856,0.997924959939315,"ACY1","Q03154","ACY1",-0.128342306414321
"ACY3__Cardiometabolic_II_o2csf__NPX",0.0849779249093885,1.08869303343577,0.181893208871994,0.467185803342396,0.640366949813203,0.761084926728349,1.55439921828604,0.997924959939315,"ACY3","Q96HD9","ACY3",0.0849779249093885
"ACYP1__Inflammation_II_o2csf__NPX",-0.06248001326107,0.939431838804744,0.263203971901767,-0.237382486326569,0.812360075369858,0.557730574769931,1.56731731686595,0.997924959939315,"ACYP1","P07311","ACYP1",-0.06248001326107
"ADA__Inflammation_o2csf__NPX",-0.074189253163826,0.928495956415029,0.243665003658545,-0.304472337224879,0.760768064644252,0.575045533668358,1.49658014650701,0.997924959939315,"ADA","P00813","ADA",-0.074189253163826
"ADA2__Cardiometabolic_o2csf__NPX",0.227576889075194,1.2555539744268,0.307708437011509,0.739586120177402,0.459551166189663,0.68563990920544,2.29371754724721,0.997924959939315,"ADA2","Q9NZK5","ADA2",0.227576889075194
"ADAM12__Inflammation_II_o2csf__NPX",0.100199302599727,1.10539120346376,0.332107091292669,0.301707808194393,0.76287481543285,0.575564608103225,2.11958620506144,0.997924959939315,"ADAM12","O43184","ADAM12",0.100199302599727
"ADAM15__Cardiometabolic_o2csf__NPX",-0.215991466398151,0.805742177727079,0.254164812446862,-0.849808690348543,0.395431457276521,0.487993445398067,1.32338209302251,0.997924959939315,"ADAM15","Q13444","ADAM15",-0.215991466398151
"ADAM22__Neurology_o2csf__NPX",0.838209230037769,2.3122226082904,0.51524628046795,1.62681277247941,0.103776868115024,0.839392439942899,6.34331210299677,0.997924959939315,"ADAM22","Q9P0K1","ADAM22",0.838209230037769
"ADAM23__Inflammation_o2csf__NPX",-0.904262831526943,0.404840210571303,0.496823088749434,-1.82009019307675,0.0687452708268061,0.150782540237269,1.06014734362802,0.997924959939315,"ADAM23","O75077","ADAM23",-0.904262831526943
"ADAM8__Neurology_o2csf__NPX",0.220948470566467,1.24725915835023,0.191972024008062,1.15094098584483,0.249756514727465,0.858030046911057,1.82283309161025,0.997924959939315,"ADAM8","P78325","ADAM8",0.220948470566467
"ADAM9__Oncology_II_o2csf__NPX",-0.294902070564562,0.744604502594146,0.277828091918952,-1.06145519168951,0.288483086048178,0.429886460775908,1.27915978198988,0.997924959939315,"ADAM9","Q13443","ADAM9",-0.294902070564562
"ADAMTS1__Inflammation_II_o2csf__NPX",0.230217923560749,1.25887431841326,0.304684593998373,0.755594237764377,0.449892511790913,0.691346805969901,2.2862096275996,0.997924959939315,"ADAMTS1","Q9UHI8","ADAMTS1",0.230217923560749
"ADAMTS13__Cardiometabolic_o2csf__NPX",0.101438328955447,1.1067616611395,0.229056956314882,0.442851990122497,0.6578727954035,0.706946226949299,1.73711314951616,0.997924959939315,"ADAMTS13","Q76LX8","ADAMTS13",0.101438328955447
"ADAMTS15__Oncology_o2csf__NPX",0.0986380687964731,1.10366677581872,0.229015160824653,0.430705410250092,0.666682584445629,0.704913222262868,1.73171717643619,0.997924959939315,"ADAMTS15","Q8TE58","ADAMTS15",0.0986380687964731
