"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",0.0372034978309639,0.0276524775496969,0.0347354486125331,1.07105275207358,0.284402853653936,0.387526909450186,0.385089205607202,1005,-0.0309588195372961,0.105365815199224,0.418186437032374,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.0398385465190825,-0.0262817188799323,0.0284279782767426,-1.40138514709908,0.161407660151893,0.676828429106815,0.675542174098285,1005,-0.0956235429661464,0.0159464499279813,0.280297197592115,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",-0.00506173341580161,-0.0041893791274777,0.035754075389911,-0.14157081005736,0.887447482384534,0.19766918713825,0.194466269721636,1002,-0.0752231831511029,0.0650997163194997,0.933647111810768,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",0.204189907192785,0.177137242970924,0.025137993626887,8.1227607192321,1.33441348661327e-15,0.565273632740659,0.563534727271622,1000,0.154860639885179,0.253519174500391,4.75940810225399e-14,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",0.0627051184504188,0.0375229637700598,0.0353356168376189,1.77455847844891,0.0762737889487216,0.589619777797372,0.587984796832421,1004,-0.00663500865415478,0.132045245554992,0.158117496911582,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",-0.0780787857355994,-0.067544656543442,0.0252637627415723,-3.09054460866664,0.00205288488214264,0.561113117473638,0.559366304010847,1005,-0.127654555811767,-0.0285030156594319,0.00844841086112549,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.124235811654551,0.129034759649002,0.0246741215565733,5.03506523503588,5.66208483830955e-07,0.398580052001774,0.396179173965853,1002,0.0758169357508907,0.172654687558212,6.56330000840715e-06,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0421334128702055,0.0389767225985991,0.0214106013651333,1.96787620075067,0.049357449439898,0.640441163660676,0.639007230115953,1003,0.000118705348364848,0.0841481203920462,0.115582848772556,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.0833880225033122,-0.0393010027396682,0.0590623900941054,-1.4118633257213,0.15830036085537,0.289889528554566,0.287057582506927,1003,-0.19928803871611,0.0325119937094856,0.275589238986008,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.0343672370547801,0.0217620909867196,0.0337009033928367,1.01977198219811,0.308082275487544,0.581776377807591,0.580110148237103,1004,-0.0317650434580205,0.100499517567581,0.442472684152757,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",-0.0461817096877044,-0.0378429200913615,0.0260600346746562,-1.77212771449674,0.0766768919827476,0.581639407158908,0.579970970098724,1003,-0.0973201488278463,0.00495672945243755,0.15848076782764,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.0722938726858891,-0.0606338834581228,0.0322271682967543,-2.24325860777442,0.0250977794280216,0.330389301119871,0.327718869618853,1003,-0.135534275286175,-0.00905347008560276,0.0684101214212012,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",0.0662451441662399,0.0364688201920022,0.0485774993651058,1.36370017049138,0.172968228293961,0.344137577094971,0.341519363829881,1002,-0.0290801507212135,0.161570439053693,0.294164210853557,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",0.0601384005095669,0.0412760530267883,0.027335595254052,2.20000332718756,0.0280343326878488,0.67765254483439,0.676365728646104,1002,0.00649682338902127,0.113779977630113,0.0747045148827542,"ACYP1","P07311","ACYP1"
"ADA__Inflammation_o2csf__NPX",-0.131166021410516,-0.0951861422800921,0.0343367073670369,-3.81999415402408,0.000141638004121628,0.429490745114827,0.427220061513294,1005,-0.198545877966869,-0.0637861648541637,0.000867922747723279,"ADA","P00813","ADA"
