"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",0.0406890916491605,0.0302432367638702,0.035209079828479,1.15564200619208,0.248102555608549,0.3877557340362,0.384706708807297,1004,-0.0284027281359875,0.109780911434309,0.374306567084048,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.0347584228609937,-0.0229303320065877,0.0288039096971476,-1.20672586556664,0.227821979553414,0.677211339990802,0.675603826743744,1004,-0.0912811876591037,0.0217643419371163,0.353303448794774,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",0.00313092180896581,0.00259132937252265,0.0362121170214225,0.0864606122617358,0.931117556674483,0.199239570667969,0.195239768323653,1001,-0.067929444598098,0.0741912882160297,0.957268678000152,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",0.211315359861178,0.183318660348264,0.0254618874093193,8.29928105737498,3.36959779436447e-16,0.566526792501306,0.56435725692824,999,0.161350442519159,0.261280277203197,1.26678663025972e-14,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",0.0714414183958782,0.0427507964325091,0.0357792895352198,1.99672546112337,0.0461249027575614,0.590559131591865,0.588518050493121,1003,0.00123057473365697,0.141652262058099,0.108377938742851,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",-0.082772610382151,-0.0716052060338002,0.0255966216865205,-3.23373183367163,0.00126167934319188,0.561675223444639,0.559492331131117,1004,-0.133001618958604,-0.0325436018056981,0.00567959859669871,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.121315905092268,0.126002063710174,0.0250189629469239,4.84895818222488,1.438181294496e-06,0.398884153508583,0.395881576852782,1001,0.0722202757734568,0.170411534411079,1.50414299296537e-05,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0396846909201672,0.0367114620923647,0.0217088597370971,1.82804124218243,0.0678405776086164,0.640611572162218,0.638818216733885,1002,-0.00291534990440513,0.0822847317447395,0.141478625867444,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.0721450818613394,-0.0340021741104781,0.0598388497449859,-1.2056562278319,0.228234697100939,0.290845885244298,0.287307192056894,1002,-0.18956891125187,0.0452787475291913,0.353535037491544,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.036864047069832,0.0233431260474521,0.0341583002438354,1.07921198674061,0.280752690530443,0.581862603525739,0.579778169844412,1003,-0.0301658774854435,0.103893971625107,0.409786980616838,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",-0.0390590564586909,-0.0320063670748802,0.0263870174669269,-1.48023763987904,0.139124180388769,0.582791014079192,0.580709132911923,1002,-0.0908392068186333,0.0127210939012515,0.250028081292994,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.0621752341265426,-0.0521472395923552,0.0326136105364148,-1.90641983834083,0.0568816066329936,0.332839365368959,0.329510220485571,1002,-0.126174041853593,0.00182357360050737,0.124995758019738,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",0.0684760548933498,0.0376969657896209,0.0492510689148367,1.39034657322375,0.164732709305181,0.344188748230532,0.340912967752163,1001,-0.0281711254125523,0.165123235199252,0.280960716809377,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",0.0613101963402079,0.0420803163000427,0.0277237234110051,2.21147049518863,0.0272285843739967,0.677673932200649,0.676063911881971,1001,0.00690691628373779,0.115713476396678,0.0720056290194475,"ACYP1","P07311","ACYP1"
"ADA__Inflammation_o2csf__NPX",-0.142272543376034,-0.103246057254093,0.0347437718214455,-4.09490783289732,4.56304662851306e-05,0.431705417564883,0.428875265261919,1004,-0.210451275482573,-0.0740938112694951,0.00030662791595467,"ADA","P00813","ADA"
"ADA2__Cardiometabolic_o2csf__NPX",0.0530064784973789,0.0439177753691176,0.0286675823910033,1.84900413904501,0.0647513247633157,0.4965171820102,0.494007297573561,1003,-0.00324883488572444,0.109261791880482,0.136675406291005,"ADA2","Q9NZK5","ADA2"
"ADAM12__Inflammation_II_o2csf__NPX",-0.0549154960997311,-0.0537339334584299,0.0292100056469651,-1.88002346741883,0.060395391564177,0.273993019804151,0.270362984903172,1000,-0.112235431731931,0.00240443953246861,0.12964504578051,"ADAM12","O43184","ADAM12"
"ADAM15__Cardiometabolic_o2csf__NPX",-0.0379450125441388,-0.0270951911974118,0.0320944375970773,-1.18229249007293,0.237369587622583,0.530485072387479,0.528146850636421,1004,-0.100924877663174,0.0250348525748963,0.362836369651663,"ADAM15","Q13444","ADAM15"
"ADAM22__Neurology_o2csf__NPX",-0.0174358067502363,-0.0265779025220688,0.0179667397488896,-0.970449118422493,0.332056635038781,0.330111072726354,0.326771646369058,1003,-0.0526925145277166,0.0178209010272441,0.464678852453667,"ADAM22","Q9P0K1","ADAM22"
"ADAM23__Inflammation_o2csf__NPX",-0.0624383213678756,-0.0871078467111213,0.0131958486317294,-4.73166395814383,2.54676742353016e-06,0.697997876347366,0.696489374231219,1001,-0.0883330194952487,-0.0365436232405026,2.42640649734963e-05,"ADAM23","O75077","ADAM23"
"ADAM8__Neurology_o2csf__NPX",0.0235971508841059,0.0128366267745282,0.0443708760525046,0.531816204308951,0.59497130112037,0.480086988591584,0.477490020502631,1001,-0.0634734478391923,0.110667749607404,0.707959863009781,"ADAM8","P78325","ADAM8"
