"Protein_id","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","symbol","uniprot","label"
"CKAP4__Inflammation_o2csf__NPX",0.891397043434858,0.104848842478355,-0.050747793766497,-0.007637291735156,0.104,0.104848842478355,0,0.0972115507431992,0,-0.0785636241451513,0.104,-0.207128369706565,0.0157332425522988,0.110117647058824,0,0.110117647058824,"CKAP4","Q07065","CKAP4"
"CLUL1__Cardiometabolic_o2csf__NPX",0.891397043434858,0.147402678909447,-0.0416332086508803,-0.00622437079829991,0.24,0.147402678909447,0,0.141178308111147,0,-0.0440887193052319,0.24,-0.144782816362697,0.0278964931156073,0.24,0,0.24,"CLUL1","Q15846","CLUL1"
"DNMBP__Neurology_o2csf__NPX",0.893152649247208,-0.0704604486205124,0.0590752617035542,0.00791186540672603,0.004,-0.0704604486205125,0,-0.0625485832137865,0,-0.126491520674159,0.004,-0.451502018375497,-0.0359392548101801,0.00553846153846154,0,0.00553846153846154,"DNMBP",NA,"DNMBP"
"ENO1__Neurology_o2csf__NPX",0.892856254308598,0.0691944880952772,0.143370380958965,0.0213348781188936,0,0.0691944880952772,0.002,0.0905293662141709,0,0.235668038020065,0,0.104286350567492,0.507112295652867,0,0.0045,0,"ENO1","P06733","ENO1"
"ENO2__Neurology_o2csf__NPX",0.886821365792284,0.0667430947786635,0.0487127910255114,0.00642101209751532,0.022,0.0667430947786638,0,0.0731641068761791,0,0.0877617778944812,0.022,0.0171528213914713,0.238346736670398,0.0282857142857143,0,0.0282857142857143,"ENO2","P09104","ENO2"
"FABP3__Cardiometabolic_II_o2csf__NPX",0.891397043434858,0.0838303098072132,0.686258628824307,0.0958044224398291,0,0.0838303098072134,0.004,0.179634732247042,0,0.533329057479119,0,0.351302181783649,0.865585675033019,0,0.006,0,"FABP3","P05413","FABP3"
"GH1__Cardiometabolic_o2csf__NPX",0.891397043434858,0.242314636071566,0.241469206599395,0.0282112538403253,0.004,0.242314636071566,0.004,0.270525889911891,0,0.104283009103172,0.004,0.0306345730713209,0.309825565165359,0.00553846153846154,0.006,0.00553846153846154,"GH1","P01241","GH1"
"GLO1__Cardiometabolic_o2csf__NPX",0.891397043434858,0.0518693480598034,0.202607192134608,0.0282847664267126,0,0.0518693480598034,0.016,0.080154114486516,0,0.35287978175432,0,0.191417115213832,0.7815577595684,0,0.0192,0,"GLO1","Q04760","GLO1"
"HGF__Inflammation_o2csf__NPX",0.891397043434858,0.0560920118749814,0.0580609490694389,0.00758816364075837,0.002,0.0560920118749815,0.006,0.0636801755157398,0,0.119160532760825,0.002,0.0341808420411469,0.361107146514914,0.00327272727272727,0.00830769230769231,0.00327272727272727,"HGF","P14210","HGF"
"IL17RB__Inflammation_o2csf__NPX",0.893544157504458,0.105590359405142,-0.0592439822238295,-0.00763302050455682,0.086,0.105590359405142,0,0.0979573389005853,0,-0.0779218850800286,0.086,-0.288101969067455,0.0107993431338869,0.09675,0,0.09675,"IL17RB","Q9NRM6","IL17RB"
"MAPT__Neurology_o2csf__NPX",0.890210002502273,0.080513844257966,0.746651193523728,0.128145492539291,0,0.0805138442579661,0.088,0.208659336797257,0,0.614137351849262,0,0.336212353391058,1.08804190749152,0,0.088,0,"MAPT","P10636","MAPT"
"MMP10__Inflammation_o2csf__NPX",0.895847031551893,0.0678959355570337,0.581116227734514,0.0846621263399143,0,0.0678959355570337,0.06,0.152558061896948,0,0.554950195926735,0,0.316411628143346,1.0159600340548,0,0.0635294117647059,0,"MMP10","P09238","MMP10"
"NRGN__Inflammation_II_o2csf__NPX",0.891397043434858,0.106960614281084,0.398789332381591,0.0509344790863616,0,0.106960614281084,0.004,0.157895093367446,0,0.322584305820254,0,0.186678870297968,0.637165543280304,0,0.006,0,"NRGN","Q92686","NRGN"
"PPP3R1__Neurology_o2csf__NPX",0.893152649247208,0.0412050817101945,0.190034373365535,0.030729764740657,0,0.0412050817101945,0.012,0.0719348464508515,0,0.42718885570504,0,0.216133227601753,0.827605813278104,0,0.0154285714285714,0,"PPP3R1","P63098","PPP3R1"
"SCRN1__Inflammation_o2csf__NPX",0.894590752857701,0.0985085341402599,0.309378919884759,0.0356031296692779,0,0.0985085341402598,0.004,0.134111663809538,0,0.265473775046446,0,0.164932937643933,0.569477310396321,0,0.006,0,"SCRN1",NA,"SCRN1"
"SMOC1__Oncology_o2csf__NPX",0.892157023877299,0.0527570647433455,0.208914660573056,0.0304365263669368,0,0.0527570647433454,0,0.0831935911102822,0,0.365851815755734,0,0.218261583378304,0.675316305108948,0,0,0,"SMOC1","Q9H4F8","SMOC1"
"SNAP25__Neurology_II_o2csf__NPX",0.886928505147443,0.193813605223036,-0.0858201329787971,-0.0131965482259063,0.03,0.193813605223036,0,0.18061705699713,0,-0.0730636875902366,0.03,-0.153742939738616,-0.00613764136502475,0.036,0,0.036,"SNAP25","P60880","SNAP25"
"YWHAQ__Inflammation_II_o2csf__NPX",0.894740601700956,0.0482152185408779,0.144650620944599,0.0182067679484282,0,0.0482152185408779,0.024,0.0664219864893061,0,0.274107549483776,0,0.140379001314253,0.707207565394623,0,0.027,0,"YWHAQ","P27348","YWHAQ"
