"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.0826089630724627,-0.0697984819919915,0.0507686791009363,-1.62716392341472,0.104551252191405,0.322382411543634,0.315076561533323,371,-0.182439417512136,0.0172214913672108,0.536297960430856,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",0.0452985898718513,0.0322565377187682,0.041308020783092,1.09660518739723,0.273525303690655,0.681367378122828,0.677931985973208,371,-0.0359286265893209,0.126525806333024,0.70738086413379,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",-0.0697291448873111,-0.0675533145455115,0.0499927954992953,-1.39478387217402,0.163920057678971,0.140612957342818,0.131297108641927,369,-0.1680356620558,0.0285773722811779,0.621612001041214,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",-0.00839954421816854,-0.00945925945321096,0.0375130813321454,-0.22390973814702,0.822951455515417,0.346123313377358,0.339035219213427,369,-0.0821657806766491,0.065366692240312,0.955777376063462,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",0.0257176990237291,0.0196554322698885,0.0475355247648392,0.541020618809953,0.588818062182745,0.513936629683764,0.508696054262565,371,-0.067755149262661,0.119190547310119,0.88365765464795,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.0209039622495678,0.0215603157980363,0.0361717603442025,0.577908347579721,0.56367658617637,0.487436556310137,0.481910265812133,371,-0.0502234205579573,0.0920313450570928,0.87606048197914,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.0391540670227854,0.054484089872516,0.0269490970432411,1.45288975582228,0.147099625096581,0.482119681167951,0.476536065870571,371,-0.0138380661626533,0.092146200208224,0.607167888751765,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",0.0388630387949011,0.0438145454588528,0.0286597155003956,1.35601621008292,0.175918757534784,0.615530239248902,0.611385012717892,371,-0.0174928182646827,0.0952188958544848,0.630677813739392,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.0399226350162295,-0.0214688738542209,0.0825566489568452,-0.483578676226287,0.62897019468792,0.274162214394007,0.266336470074805,371,-0.202260279570516,0.122415009538057,0.88365765464795,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",0.019245007714042,0.016906757856876,0.0430124276813065,0.44742900485959,0.654826455293419,0.474191350740758,0.468522254791871,371,-0.0653337183434422,0.103823733771526,0.890188691340134,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",-0.0530697126939305,-0.0543045214846073,0.035545734870744,-1.49299804567016,0.13629220852431,0.515311390519223,0.510057313451681,369,-0.12296733214965,0.0168279067617892,0.585131055732456,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",-0.0766102842797724,-0.0695059549368528,0.046629276008321,-1.64296533933105,0.101237316104744,0.340913289848737,0.333807233674599,371,-0.168301104221113,0.0150805356615681,0.536297960430856,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",-0.0475057657081316,-0.0308593457166234,0.0645517744717815,-0.735932762450992,0.462236644569903,0.352481051817939,0.345499715449399,371,-0.174439006724568,0.0794274753083046,0.833828520206557,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",0.00791153870401453,0.00646183545785853,0.0376249022192717,0.210274000392277,0.833569259059441,0.652226917583233,0.648477342570653,371,-0.0660732714843777,0.0818963488924068,0.955777376063462,"ACYP1","P07311","ACYP1"
