"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"A1BG__Inflammation_II_o2csf__NPX",-0.00992384961272578,-0.00774310578895883,0.0645540732513106,-0.153729255380865,0.877945765352199,0.369476978771583,0.359508235352952,253,-0.137055660524401,0.117207961298949,0.981814229588447,"A1BG","P04217","A1BG"
"ABCA2__Cardiometabolic_II_o2csf__NPX",-0.106258005734376,-0.0706892141084198,0.0558011475762693,-1.90422617364889,0.0580150954897075,0.657506088264445,0.652091164758745,253,-0.216151937829153,0.00363592636039967,0.931712306896298,"ABCA2",NA,"ABCA2"
"ABHD14B__Neurology_o2csf__NPX",-0.0961959309605389,-0.0813018326732197,0.0671825280120842,-1.43185935103895,0.153418307198546,0.198721370461458,0.186052933630809,253,-0.228504180736662,0.0361123188155846,0.931712306896298,"ABHD14B","Q96IU4","ABHD14B"
"ABL1__Oncology_o2csf__NPX",-0.0683219643320887,-0.0646894505263361,0.0393071339737023,-1.73815685411707,0.0834095325162611,0.658325802927306,0.652880795802642,251,-0.145735801339482,0.00909187267530466,0.931712306896298,"ABL1","P00519","ABL1"
"ACAN__Cardiometabolic_o2csf__NPX",-0.0846050710576539,-0.0497202938289104,0.0704495872744384,-1.20093068434982,0.23090120815607,0.573994604435406,0.567259341264424,253,-0.223347417699546,0.0541372755842384,0.931712306896298,"ACAN","P16112","ACAN"
"ACE__Inflammation_II_o2csf__NPX",0.0416391132716867,0.0355068349656605,0.0461569663166317,0.902119801072865,0.367851258036658,0.614983712815874,0.608896498789247,253,-0.04926171480121,0.132539941344583,0.931712306896298,"ACE","P12821","ACE"
"ACHE__Inflammation_II_o2csf__NPX",0.0224944698497718,0.0188855503867821,0.0658992200152578,0.341346526477303,0.733127173117372,0.242459862583496,0.230435415957838,252,-0.107288927908469,0.152277867608013,0.980736159665271,"ACHE","P22303","ACHE"
"ACP5__Cardiometabolic_o2csf__NPX",-0.019044651458264,-0.0170504259315235,0.0389702785756888,-0.488696826256325,0.62548305796256,0.700601310742574,0.695830016889866,251,-0.0957950651569438,0.0577057622404158,0.972366879470596,"ACP5","P13686","ACP5"
"ACP6__Oncology_o2csf__NPX",-0.178278850373309,-0.0853562779155912,0.112174934366272,-1.58929311062662,0.113243057731312,0.283119866019874,0.271785792755366,253,-0.399194461528687,0.04263676078207,0.931712306896298,"ACP6","Q9NPH0","ACP6"
"ACTA2__Cardiometabolic_o2csf__NPX",-0.0144020023535736,-0.00884169699346512,0.0727808049449422,-0.197881877844969,0.843296382569608,0.503815928617509,0.495971121164821,253,-0.157735413651086,0.128931408943939,0.981814229588447,"ACTA2",NA,"ACTA2"
"ACVRL1__Neurology_o2csf__NPX",0.00348409519715423,0.00287152962161083,0.0483368393766622,0.0720794996545927,0.942595588523284,0.605554792091459,0.599318504219387,253,-0.0917097417552964,0.0986779321496049,0.98891525670522,"ACVRL1","P37023","ACVRL1"
"ACY1__Cardiometabolic_o2csf__NPX",0.0708558220080559,0.0636917524985555,0.0568974841473109,1.24532434201495,0.214169256933071,0.352275558868224,0.341994218532799,252,-0.041199355804731,0.182910999820843,0.931712306896298,"ACY1","Q03154","ACY1"
"ACY3__Cardiometabolic_II_o2csf__NPX",-0.0910523914798796,-0.0515654782758542,0.0868587904175549,-1.04828067536014,0.295517649935261,0.402987099008097,0.393472949191493,251,-0.262117324592086,0.080012541632327,0.931712306896298,"ACY3","Q96HD9","ACY3"
"ACYP1__Inflammation_II_o2csf__NPX",0.0116167210263707,0.00842430860430847,0.052920241134018,0.219513758392595,0.82642756544586,0.635512720343383,0.629727207967881,252,-0.0926055854435404,0.115839027496282,0.981814229588447,"ACYP1","P07311","ACYP1"
"ADA__Inflammation_o2csf__NPX",0.042674415602892,0.0322473850999258,0.0632869954087056,0.674299914655481,0.50073630316815,0.431583850861548,0.422597034274379,253,-0.0819620314597918,0.167310862665576,0.972366879470596,"ADA","P00813","ADA"
"ADA2__Cardiometabolic_o2csf__NPX",-0.0970144807116145,-0.0813771944673165,0.0562485161185966,-1.72474737834977,0.0857942920282694,0.446728819281237,0.43798144883509,253,-0.207789453615536,0.0137604921923072,0.931712306896298,"ADA2","Q9NZK5","ADA2"
"ADAM12__Inflammation_II_o2csf__NPX",-0.0355841717974916,-0.0327181533857497,0.0576705158790197,-0.617025376921189,0.537775065281549,0.303230774657734,0.292170945684048,252,-0.149161775591844,0.0779934319968604,0.972366879470596,"ADAM12","O43184","ADAM12"
"ADAM15__Cardiometabolic_o2csf__NPX",-0.0801978150316213,-0.0634306618139395,0.0538365709070255,-1.48965310532354,0.137561013311048,0.549378610561182,0.542254161716299,253,-0.186222739687262,0.0258271096240197,0.931712306896298,"ADAM15","Q13444","ADAM15"
"ADAM22__Neurology_o2csf__NPX",0.00458543170999032,0.00736143477168842,0.0322515953561269,0.142176895727399,0.887053435411237,0.333729644377832,0.323195725711869,253,-0.0589303700962378,0.0681012335162184,0.981814229588447,"ADAM22","Q9P0K1","ADAM22"
"ADAM23__Inflammation_o2csf__NPX",0.0373844426859785,0.0529283339257436,0.0239208755906364,1.56283755351381,0.119345711999192,0.715850854246363,0.711340550345511,252,-0.00972586470136494,0.084494750073322,0.931712306896298,"ADAM23","O75077","ADAM23"
"ADAM8__Neurology_o2csf__NPX",0.095248769214272,0.0559621445914596,0.0805673484700999,1.18222544272536,0.238230569082058,0.44614724294982,0.437355929345849,252,-0.0634223687810006,0.253919907209545,0.931712306896298,"ADAM8","P78325","ADAM8"
"ADAM9__Oncology_II_o2csf__NPX",-0.00939076901064372,-0.00747770701991708,0.0513929320368846,-0.182724912521122,0.855160203043008,0.58377805457783,0.577197470460484,253,-0.110603228408426,0.091821690387139,0.981814229588447,"ADAM9","Q13443","ADAM9"
