"Protein_id","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","symbol","uniprot","label"
"CKAP4__Inflammation_o2csf__NPX",0.0978680834354835,0.935121731684853,-0.376234876270622,-0.00586022283500841,0.076,0.150489289707334,0,0.144629066872325,0,-0.0405189839203046,0.076,-0.106290035778733,0.00262544215282161,0.0855,0,0.0855,"CKAP4","Q07065","CKAP4"
"CLUL1__Cardiometabolic_o2csf__NPX",0.141675702893294,0.911746157735149,-0.137904294132647,-0.00312686094479479,0.356,0.147476633263418,0,0.144349772318623,0,-0.0216616964098347,0.356,-0.0770778779843277,0.0237316912975115,0.356,0,0.356,"CLUL1","Q15846","CLUL1"
"DNMBP__Neurology_o2csf__NPX",-0.0622939943247187,0.935710391200671,0.748969440165649,-0.00746598037481487,0.006,0.151455458868022,0,0.143989478493207,0,-0.0518508744732143,0.006,-0.124648249198151,-0.00786515465742476,0.009,0,0.009,"DNMBP",NA,"DNMBP"
"ENO1__Neurology_o2csf__NPX",0.0889246195798913,0.817133612303545,1.15492382583745,0.0159061184033967,0,0.12759299685287,0,0.143499115256267,0,0.110844714094515,0,0.04536705554286,0.229521637472343,0,0,0,"ENO1","P06733","ENO1"
"ENO2__Neurology_o2csf__NPX",0.0734102358468805,0.840959163660921,0.705830594908319,0.00825208607576312,0.028,0.135136678392184,0,0.143388764467947,0,0.0575504371376865,0.028,0.00679495892833972,0.144318237335529,0.036,0,0.036,"ENO2","P09104","ENO2"
"FABP3__Cardiometabolic_II_o2csf__NPX",0.178230593511303,0.667012768805023,2.51986502782843,0.0528524354573849,0,0.0786072056785251,0,0.13145964113591,0,0.402043052914949,0,0.236898755338215,0.615211695558218,0,0,0,"FABP3","P05413","FABP3"
"GH1__Cardiometabolic_o2csf__NPX",0.275530628776585,0.845596891569297,0.171426402301186,0.00753301931647766,0.018,0.136094841311184,0,0.143627860627662,0,0.0524481760262803,0.018,0.00802170784889032,0.124968436167438,0.0249230769230769,0,0.0249230769230769,"GH1","P01241","GH1"
"GLO1__Cardiometabolic_o2csf__NPX",0.0797395643524026,0.828619960364053,1.88180072394413,0.022546145032339,0,0.12541849644187,0,0.147964641474209,0,0.152375221591497,0,0.0647976345639678,0.272333351283306,0,0,0,"GLO1","Q04760","GLO1"
"HGF__Inflammation_o2csf__NPX",0.0640787530743944,0.848025703823524,0.774097725267938,0.00785586402253319,0.006,0.135535250421121,0,0.143391114443654,0,0.0547862679846886,0.006,0.0126303371303896,0.127122503982328,0.009,0,0.009,"HGF","P14210","HGF"
"IL17RB__Inflammation_o2csf__NPX",0.0974100758294466,0.923272063211637,-0.293582782684811,-0.00456462049735206,0.114,0.148967898929222,0,0.144403278431869,0,-0.0316102275995464,0.114,-0.0884972995931335,0.00556888093223748,0.120705882352941,0,0.120705882352941,"IL17RB","Q9NRM6","IL17RB"
"MAPT__Neurology_o2csf__NPX",0.183236469815812,0.733997467035314,1.84124873288972,0.0430360785357716,0,0.0939457253312557,0,0.136981803867027,0,0.314173688189624,0,0.162876833324484,0.522688015539601,0,0,0,"MAPT","P10636","MAPT"
"MMP10__Inflammation_o2csf__NPX",0.148220901587215,0.711511432447722,1.98514060191267,0.0402633780460133,0,0.0977370172004806,0,0.138000395246494,0,0.291762773389856,0,0.160703780837576,0.48212532307768,0,0,0,"MMP10","P09238","MMP10"
"NRGN__Inflammation_II_o2csf__NPX",0.161817230334833,0.768214951908354,1.21945271879145,0.0292754617448193,0,0.114667231228607,0,0.143942692973426,0,0.203382756985267,0,0.10642353868981,0.369257961616125,0,0,0,"NRGN","Q92686","NRGN"
"PPP3R1__Neurology_o2csf__NPX",0.0674750800134958,0.816455125040606,2.59054278997217,0.0256052570957471,0,0.120355795805773,0,0.14596105290152,0,0.175425269869921,0,0.085721986057691,0.304625185847832,0,0,0,"PPP3R1","P63098","PPP3R1"
"SCRN1__Inflammation_o2csf__NPX",0.141339127663454,0.683129895788259,1.4578028927937,0.0303975990735537,0,0.101191299734297,0,0.131588898807851,0,0.231004281888102,0,0.119230270116389,0.423365272714017,0,0,0,"SCRN1",NA,"SCRN1"
"SMOC1__Oncology_o2csf__NPX",0.0815659819078577,0.768017579143764,3.62874259799887,0.0406084640200639,0,0.105904007836827,0,0.146512471856891,0,0.277167284841997,0,0.157683670907747,0.44866038539278,0,0,0,"SMOC1","Q9H4F8","SMOC1"
"SNAP25__Neurology_II_o2csf__NPX",0.182071494316804,0.93818280962833,-0.339040819957496,-0.00983762799469819,0.044,0.151164032641053,0,0.141326404646355,0,-0.0696092709590623,0.044,-0.172740166343027,-0.000158332238728871,0.0528,0,0.0528,"SNAP25","P60880","SNAP25"
"YWHAQ__Inflammation_II_o2csf__NPX",0.0682047274650707,0.812602259569681,1.59162890223844,0.0168187920551156,0,0.12688712994846,0,0.143705922003576,0,0.117036179307191,0,0.0544945253299526,0.21640770970823,0,0,0,"YWHAQ","P27348","YWHAQ"
