apt_name,coef_x2m,coef_x2y,coef_m2y,acme,acme_p,ade,ade_p,total,total_p,prop_m,prop_m_p,prop_m_ci_lower,prop_m_ci_upper,p_adjusted,ade_p_adjusted,prop_m_p_adjusted,Protein_id,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10046.55,-0.452601124294481,0.818864801320493,0.016234930043235,-0.0013156345253837,0.572,0.818864801320493,0.0,0.817549166795109,0.0,-0.0016092420845356,0.572,-0.0087238485840909,0.0033551342339443,0.899548387096774,0.0,0.901903225806452,cIAP.1__seq.10046.55__ANML,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10082.251,-0.505947571964669,-0.121734142961218,0.0394956923422763,-0.0037767355724381,0.236,-0.121734142961218,0.0,-0.125510878533656,0.0,0.0300909022115192,0.236,-0.016537397507208,0.105616183567102,0.863833333333333,0.0,0.863833333333333,NFL__seq.10082.251__ANML,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10833.64,-0.457432634122325,0.132137495170481,0.0241011200305696,-0.0017131652364216,0.402,0.132137495170479,0.0,0.130424329934057,0.0,-0.0131353194399224,0.402,-0.0662902764211714,0.0131234281574393,0.863833333333333,0.0,0.863833333333333,HHIP__seq.10833.64__ANML,Q96QV1,HHIP,HHIP,HHIP__seq.10833.64,HHIP
seq.11402.17,-0.409269835341667,0.101867750413168,0.0017877427705103,-9.31722616552543e-05,0.964,0.101867750413168,0.0,0.101774578151513,0.0,-0.000915476765883,0.964,-0.0470904042243487,0.0514863746577558,0.984,0.0,0.984,KMT2C__seq.11402.17__ANML,Q8NEZ4,KMT2C,KMT2C,KMT2C__seq.11402.17,KMT2C
seq.11536.9,-0.462763969323436,0.118856129350079,0.0143715142607918,-0.0013298316767291,0.638,0.118856129350079,0.0,0.11752629767335,0.0,-0.0113151839465345,0.638,-0.0669816270769581,0.0443253658963449,0.899548387096774,0.0,0.901903225806452,MYSM1__seq.11536.9__ANML,Q5VVJ2,MYSM1,MYSM1,MYSM1__seq.11536.9,MYSM1
seq.12500.88,-0.457432634122325,0.462417177974103,0.0176752201742798,-0.0012849513858523,0.724,0.462417177974103,0.0,0.461132226588251,0.0,-0.0027865139579577,0.724,-0.0240850242914752,0.0137234644086318,0.899548387096774,0.0,0.901903225806452,SAE2__seq.12500.88__ANML,Q9UBT2,UBA2,UBA2,UBA2__seq.12500.88,UBA2
seq.12501.10,-0.457432634122325,-0.258895749116046,0.068580057783897,-0.0073122517184769,0.16,-0.258895749116046,0.0,-0.266208000834523,0.0,0.0274681891436549,0.16,-0.0065061186616485,0.0678735051702455,0.863833333333333,0.0,0.863833333333333,TBCA__seq.12501.10__ANML,O75347,TBCA,TBCA,TBCA__seq.12501.10,TBCA
seq.12540.25,-0.471525510768229,-0.0502486110522264,0.002930356482565,-9.48335431250762e-05,0.764,-0.0502486110522264,0.006,-0.0503434445953515,0.006,0.0018837317129832,0.766,-0.0455070395811347,0.0784418660928765,0.899548387096774,0.0060833333333333,0.901903225806452,RHOG__seq.12540.25__ANML,P84095,RHOG,RHOG,RHOG__seq.12540.25,RHOG
seq.12587.65,-0.457432634122325,-0.570187067794643,0.0958888362277952,-0.0044923687408822,0.152,-0.570187067794642,0.0,-0.574679436535524,0.0,0.0078171732887549,0.152,-0.0051545160982307,0.037877482687693,0.863833333333333,0.0,0.863833333333333,ARL2__seq.12587.65__ANML,P36404,ARL2,ARL2,ARL2__seq.12587.65,ARL2
seq.12616.45,-0.446520022306139,-0.128504025783317,-0.0303877023178641,0.0025240599645131,0.426,-0.128504025783316,0.0,-0.125979965818803,0.0,-0.0200354075992007,0.426,-0.0953949366034253,0.0214992799537062,0.863833333333333,0.0,0.863833333333333,NRBP__seq.12616.45__ANML,Q9UHY1,NRBP1,NRBP1,NRBP1__seq.12616.45,NRBP1
