apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,-0.0240834814605829,-0.021279949654755,0.0533623244753679,-0.45131994712299,0.651964084178587,0.0158667640230582,0.0055509020107211,477,-0.128937766427877,0.0807708035067116,0.892892921974592,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.015460418698441,-0.0111277539909357,0.0357882269214695,-0.431997336229199,0.665936934277933,0.704107705244829,0.701031901765045,481,-0.0857809979479401,0.0548601605510582,0.89822613585704,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,-0.0267684614872601,-0.0344327029140102,0.0354753415199828,-0.754565293534434,0.45088221511948,0.0802375007853598,0.0705963844413908,477,-0.0964757241602983,0.0429388011857781,0.80025956744385,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0288020670875098,-0.037836335104765,0.0350565455497481,-0.821588854116768,0.41172138573795,0.0659596615517263,0.0561688823227087,477,-0.0976864167327168,0.0400822825576971,0.777074244141921,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,-0.0244298410248849,-0.0401050716004819,0.0278560406817949,-0.877003351048767,0.380926288621584,0.0727881176041161,0.063068915482566,477,-0.0791655605878085,0.0303058785380387,0.762166441254665,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.042965199927216,0.0735124911942263,0.0263870779427204,1.62826668494642,0.104130000128417,0.103394889983273,0.0939767690797362,476,-0.0088843587776332,0.0948147586320653,0.496652515886052,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,-0.0366873392947079,-0.0553944673703553,0.0266761148036851,-1.37528795196367,0.169687731764236,0.282019902892605,0.27449390606758,477,-0.0891045638242915,0.0157298852348757,0.5725856294491,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0212272029100062,-0.038675045064288,0.0257330491109238,-0.824900415745726,0.409837023410918,0.0197443054001859,0.0095545372650527,481,-0.0717902811900986,0.0293358753700861,0.776101563698606,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,-0.0269991182700464,-0.0485841156725163,0.02555522085621,-1.05650107357556,0.29127525102134,0.0649852063133317,0.0551636223460347,476,-0.077214110884073,0.0232158743439801,0.695262189937896,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0128344293058915,0.0160349208184181,0.0267242114798722,0.480254742616372,0.631265967681692,0.503781472784642,0.49859090241628,478,-0.0396770233348592,0.0653458819466421,0.886304495069092,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
