apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10046.55,cIAP.1__seq.10046.55__ANML,-0.002792606357352,-0.164221472935035,0.0021767584800267,-1.28291970973173,0.2002557107757,0.697208745405786,0.693461328888531,404,-0.0070717941439307,0.0014865814292266,0.754886610656811,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10082.251,NFL__seq.10082.251__ANML,-0.0021535548683638,-0.173348504670073,0.0027847203489848,-0.773346906862259,0.439768236715506,0.0817335444056543,0.0703969214970821,405,-0.0076278658729986,0.0033207561362709,0.754886610656811,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10833.64,HHIP__seq.10833.64__ANML,-0.0019202719912604,-0.187406987640075,0.0022147290876446,-0.867045997622487,0.386430210452898,0.146183565102509,0.135642621461799,405,-0.0062740721210284,0.0024335281385076,0.754886610656811,Q96QV1,HHIP,HHIP,HHIP__seq.10833.64,HHIP
seq.11402.17,KMT2C__seq.11402.17__ANML,-0.0021674952519794,-0.192031255412925,0.0025882866647042,-0.837424726378636,0.402853933272023,0.0398808490664467,0.0278793596797773,400,-0.0072558399539378,0.0029208494499789,0.754886610656811,Q8NEZ4,KMT2C,KMT2C,KMT2C__seq.11402.17,KMT2C
seq.12500.88,SAE2__seq.12500.88__ANML,-0.0053050622046155,-0.212683530692273,0.0043373198664175,-1.2231198915466,0.221995625241083,0.447405077267511,0.440582917727604,405,-0.0138315334116818,0.0032214090024506,0.754886610656811,Q9UBT2,UBA2,UBA2,UBA2__seq.12500.88,UBA2
seq.12501.10,TBCA__seq.12501.10__ANML,0.0016439029416051,0.102754176100619,0.0033895627059101,0.48498968281035,0.627945880410847,0.179627320541999,0.169499262770912,405,-0.0050194305700086,0.0083072364532189,0.844919150815627,O75347,TBCA,TBCA,TBCA__seq.12501.10,TBCA
seq.12587.65,ARL2__seq.12587.65__ANML,-0.000685637245806,-0.0346482403201452,0.0039209456576129,-0.174865276307735,0.861272879367088,0.282482603688844,0.273624364228212,405,-0.0083935839234214,0.0070223094318092,0.946567127960207,P36404,ARL2,ARL2,ARL2__seq.12587.65,ARL2
seq.12650.43,GNAI3__seq.12650.43__ANML,-0.0001532186290338,-0.0142448017459632,0.0017630798142698,-0.0869039664533142,0.93079100916087,0.507675749285959,0.501567507961963,403,-0.003619200696956,0.0033127634388883,0.946567127960207,P08754,GNAI3,GNAI3,GNAI3__seq.12650.43,GNAI3
seq.13412.5,WFDC6__seq.13412.5__ANML,0.0063520449664092,0.346376013529687,0.0041118244948217,1.54482395209443,0.12317763588594,0.0778355729926717,0.0663372634289893,401,-0.0017313803858694,0.014435470318688,0.754886610656811,Q9BQY6,WFDC6,WFDC6,WFDC6__seq.13412.5,WFDC6
seq.13507.51,TRADD__seq.13507.51__ANML,-0.0012962324903289,-0.0816282466181598,0.0035741778921027,-0.362665913521827,0.717043650554895,0.0741413586823229,0.0627110050858084,405,-0.008322489677839,0.0057300246971811,0.895931497302321,Q15628,TRADD,TRADD,TRADD__seq.13507.51,TRADD
seq.14318.1,VPS29__seq.14318.1__ANML,0.0025111459015306,0.128524799254689,0.002463508788537,1.01933709886293,0.308654491565078,0.72096504114998,0.717503068955811,403,-0.0023317870253454,0.0073540788284068,0.754886610656811,Q9UBQ0,VPS29,VPS29,VPS29__seq.14318.1,VPS29
