apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,-0.1617150634968,-0.149494522836491,0.0763012676447971,-2.11942826755679,0.0353064797312953,0.0392418784575503,0.0197340993399371,197,-0.312187193669826,-0.0112429333237733,0.427255323658615,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0687632870719816,-0.0495326881326684,0.0499913763074468,-1.3755029797357,0.170514168854603,0.747043033242013,0.741983893906854,200,-0.167341093226898,0.0298145190829343,0.66729240018324,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,-0.0019198806295311,-0.0024133260983818,0.0543023565687536,-0.0353553832806563,0.971831979087786,0.100990558782578,0.0828287518892969,198,-0.109005076870813,0.10516531561175,0.991650258788466,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0076307332504829,-0.0101379004847432,0.050942096821415,-0.149792288237244,0.881080199595268,0.110611838005875,0.0927346890210683,199,-0.108086334455379,0.0928248679544127,0.975778238682203,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0846541174350279,0.137113816153707,0.0417593239006462,2.02719080501487,0.043976712045402,0.111536668059643,0.0936781086236562,199,0.0023065453856199,0.167001689484436,0.451072424373831,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0522971159238085,0.108397782831248,0.0329790429863008,1.58576814813978,0.114395767333333,0.103644494689559,0.0854443829066059,197,-0.0127401633035552,0.117334395151172,0.616358407720677,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.0661463053627428,0.0970592238746236,0.0424824029404284,1.55702834078142,0.121060687546157,0.251674607799911,0.236556923109,198,-0.0176297357362667,0.149922346461752,0.629947934838395,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0373820134513772,-0.0735736465123722,0.0358429360639123,-1.04293948979851,0.2982353250759,0.0292391358079803,0.0098239185241398,200,-0.108060563719757,0.033296536817003,0.777679117211249,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0213877080075924,0.0459251913498404,0.0319213510926641,0.670012617746231,0.503630396585428,0.094137822567988,0.0758375765592605,198,-0.0415617542632905,0.0843371702784753,0.881370118724303,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0047039309167056,0.0058291712063063,0.0422522023664264,0.111329839706614,0.911466440147719,0.46521850005807,0.454522870059231,200,-0.0786130273698662,0.0880208892032775,0.983842615952285,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,0.025815969616084,0.0282352189001392,0.0649849556542714,0.397260709900741,0.691600973620834,0.0209127366039463,0.0012325906060355,199,-0.102331538964266,0.153963478196434,0.938604955337099,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,-0.0416144724834915,-0.0854528770285989,0.0347723001720792,-1.19677077091685,0.23281971309116,0.0081501993364315,-0.0117864800738916,199,-0.110183937366509,0.0269549923995264,0.730444276429415,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,-0.0628620632610776,-0.073892085471129,0.0604291650675449,-1.04026033109697,0.299481189174588,0.0202845389617826,0.0005917658755871,199,-0.182025750779692,0.0563016242575369,0.777679117211249,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,0.0341658862980981,0.0405898228648153,0.0470286305451496,0.726491201254465,0.468387097834589,0.391081014644308,0.378902634937194,200,-0.0585696926765566,0.126901465272753,0.86912888632832,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,0.113395924216728,0.109430943262597,0.0721781217775458,1.57105673331618,0.11776609967447,0.0635248300897764,0.0446061397885599,198,-0.0289405934459897,0.255732441879446,0.623039968139809,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,0.0204484878071808,0.0516832411482502,0.0248793372279797,0.821906452724315,0.412113792826595,0.23315369421331,0.217739698117095,199,-0.0286124840561801,0.0695094596705418,0.844798772601659,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,-0.0847346564726902,-0.139804748769802,0.0423481525978417,-2.00090561865522,0.0467614505016826,0.0531787987178777,0.0341472167825585,199,-0.168243373124976,-0.0012259398204044,0.460970455892771,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,-0.0359462614360483,-0.0334190786425797,0.0763164905917132,-0.471015650187032,0.638142894149928,0.0180165005326051,-0.0016231694567427,200,-0.18643446103484,0.114541938162744,0.920021963958485,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,-0.0051181663381749,-0.0022041673264788,0.0561706517900659,-0.0911181582386439,0.927489898890985,0.885852822933309,0.883569879391976,200,-0.115880862482061,0.105644529805711,0.984310508929378,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
