apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,0.0257461304403513,0.0290839859481297,0.0632858367748926,0.406822944159373,0.684577453763267,0.0101428294769842,-0.0098542850790361,198,-0.0990546457792329,0.150546906659936,0.954809293911721,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0344590508585366,-0.0249675212395424,0.0529838605084948,-0.650368820388462,0.516196696059547,0.708559362587657,0.70275954890781,201,-0.138934561279318,0.0700164595622451,0.920110822313139,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0312668311435327,0.0390724736309317,0.0548562199172285,0.56997786560413,0.569335623018201,0.0779805807687309,0.059447527115841,199,-0.0769072507151595,0.139440913002225,0.929876891215509,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,0.0602452755271117,0.0896330540135855,0.0461197531328415,1.30627922819933,0.19297302617753,0.0853233127422325,0.0668449958279342,198,-0.0307036837243478,0.151194234778571,0.845348716239017,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0032252412133991,0.0056145373986026,0.0399540457669122,0.0807237703088906,0.935742758231873,0.052202644843834,0.0331514417251171,199,-0.0755624008059975,0.0820128832327957,0.995247086596486,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0786430060595129,0.144003017033993,0.0363097970817381,2.16588943976958,0.031502803478832,0.13011465080681,0.112716943822947,200,0.00704385431312,0.150242157805906,0.691780660449003,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.0237428088184778,0.0356474556115399,0.0392418219681713,0.605038390871233,0.545839357628714,0.316660377820272,0.302993585376677,200,-0.0536379917290734,0.101123609366029,0.922852226401245,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,0.0077469563927476,0.0144483710549632,0.037780367167705,0.205052437906685,0.837738659437448,0.0181919795016196,-0.0013464885679999,201,-0.0667497508280802,0.0822436636135754,0.980587299552777,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0176068630081186,0.0277458715201587,0.0445610344171349,0.395117914977042,0.693179066287873,0.0343215189082146,0.0149108961727012,199,-0.0702655604293782,0.105479286445615,0.955916998272929,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,-0.0316696423339871,-0.0412755321235278,0.038280793890319,-0.827298473086165,0.409053898751478,0.510021546062642,0.500221976983895,200,-0.107155395244015,0.0438161105760409,0.894137779896061,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,0.0771868683278,0.0560727543248388,0.0967638099621072,0.797683228451075,0.426000392498695,0.0273181041790055,0.0078644662625856,200,-0.113621323120908,0.267995059776508,0.898790077079487,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,0.0170925911286807,0.0352371105928281,0.0340895326853873,0.501402917031114,0.616639035909187,0.0286110238548137,0.0091832443319099,200,-0.0501284296390792,0.0843136118964405,0.942950330940056,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,0.0020883988132275,0.003305153726076,0.0447836118444309,0.046633103655914,0.962852178775978,0.0084725324727877,-0.0113580168777565,200,-0.0862202362634925,0.0903970338899476,0.995842935366288,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,0.0203276463962067,0.0257071999382892,0.0506625310701913,0.401236297650494,0.688672389612372,0.188239717096457,0.172085283605839,201,-0.0795705818938653,0.120225874686279,0.955916998272929,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,-0.0087334818937263,-0.0106785860247413,0.0571787114211351,-0.152740096386611,0.878757996490425,0.0439237819297422,0.0247061695062193,199,-0.121487416072516,0.104020452285063,0.984779915934811,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,-0.0087897486267363,-0.0224923433830977,0.0228790069518049,-0.384184009614235,0.701252269735948,0.32869110457088,0.315197458431601,199,-0.0539061561113293,0.0363266588578566,0.959018699755458,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,-0.0451326900357238,-0.0951240932151486,0.0333757887646485,-1.35225837968894,0.177812139645087,0.021455965311712,0.0019824521835869,201,-0.110944288764431,0.0206789086929831,0.845348716239017,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,-0.0872996949260815,-0.0884820255833303,0.0698242888204266,-1.25027689362648,0.212659290096216,0.0146586509626691,-0.0050481760180776,200,-0.224985946369004,0.0503865565168411,0.848424385734354,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,-0.0198031145934118,-0.0091210370471597,0.051444134576096,-0.384944071012005,0.700685866713397,0.888977284261879,0.886767876983509,201,-0.121242537210254,0.0816363080234302,0.958978346359563,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,0.0300714004247364,0.0277061840034932,0.0774634185353583,0.388201308350602,0.698282030591706,0.0023336683359225,-0.0177199262703907,199,-0.122683094696176,0.182825895545649,0.958242113432904,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
seq.10041.3,HNF4A__seq.10041.3__ANML,-0.0343568443617419,-0.0265791686562767,0.0877813876218693,-0.391390991786765,0.695922843708085,0.0880315557106565,0.0698829299536547,201,-0.207447389090337,0.138733700366854,0.957107403513951,P41235,HNF4A,HNF4A,HNF4A__seq.10041.3,HNF4A
seq.10042.8,SGK3__seq.10042.8__ANML,-0.0097188558390357,-0.0208726624323411,0.0288128163498803,-0.337310165067434,0.736236828572604,0.246389127952745,0.2313169105118,200,-0.0665347395916221,0.0470970279135505,0.963919208506813,Q96BR1,SGK3,SGK3,SGK3__seq.10042.8,SGK3
seq.10043.31,BRD4__seq.10043.31__ANML,-0.025865775272718,-0.0675119691603659,0.0246332422733279,-1.05003535408429,0.294968997256411,0.186821755459219,0.170558190568404,200,-0.0744399726873524,0.0227084221419164,0.855847104352556,O60885,BRD4,BRD4,BRD4__seq.10043.31,BRD4
seq.10044.12,WN10A__seq.10044.12__ANML,-0.14456238399995,-0.123074616385139,0.0805265088456886,-1.79521484380966,0.0741217665810535,0.0705569221938386,0.0520605425360046,201,-0.30334749390541,0.0142227259055097,0.755519634473889,Q9GZT5,WNT10A,WNT10A,WNT10A__seq.10044.12,WNT10A
seq.10045.47,CUL3__seq.10045.47__ANML,-0.0080650070754987,-0.007512011014179,0.0363794926061822,-0.221691026942145,0.824780608865002,0.773983630694962,0.769463303308861,200,-0.0798015911633471,0.0636715770123497,0.980587299552777,Q13618,CUL3,CUL3,CUL3__seq.10045.47,CUL3
seq.10046.55,cIAP.1__seq.10046.55__ANML,0.928008526254903,0.793761321267857,0.0400646910007757,23.1627526151877,1.19796242244728e-58,0.767770062950718,0.763148571666155,201,0.849007505906719,1.00700954660309,4.3635781237642094e-55,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10047.12,NCF.2__seq.10047.12__ANML,-0.0139054698394436,-0.0226778762631846,0.0433399932051708,-0.320846147197471,0.74866199042524,0.0174199510977929,-0.0022316498802512,200,-0.0993674387730392,0.0715564990941519,0.965994084351377,P19878,NCF2,NCF2,NCF2__seq.10047.12,NCF2
seq.10048.7,PEBB__seq.10048.7__ANML,0.0089835461868714,0.0312680678666506,0.0190926922740555,0.470522755927876,0.638491753625643,0.126707954166995,0.109329007981264,201,-0.0286641214518249,0.0466312138255679,0.946249114088784,Q13951,CBFB,CBFB,CBFB__seq.10048.7,CBFB
seq.10049.112,TERF1__seq.10049.112__ANML,-0.0188271988142925,-0.0429970949692662,0.0304279420040224,-0.618747032310094,0.536790639559428,0.0502455707058044,0.0311550294134586,199,-0.0788297781772373,0.0411753805486523,0.921566856791324,P54274,TERF1,TERF1,TERF1__seq.10049.112,TERF1
seq.10053.5,ILK1__seq.10053.5__ANML,-0.0145590343870053,-0.0060364516612709,0.0901222611241192,-0.161547593296113,0.871824396233327,0.723890629004645,0.718395915153991,201,-0.192265398945091,0.16314733017108,0.982964255158119,Q13418,ILK,ILK,ILK__seq.10053.5,ILK
seq.10054.3,GAN__seq.10054.3__ANML,0.119535072551952,0.127363477458515,0.0657620496206759,1.81769079950284,0.070607764593037,0.0333220493097304,0.0139884902959251,200,-0.0101408647534844,0.249211009857389,0.755519634473889,Q9H2C0,GAN,GAN,GAN__seq.10054.3,GAN
seq.10056.5,FOXM1__seq.10056.5__ANML,-0.0647881160401675,-0.0359928562027344,0.0444348040676603,-1.45804887406537,0.146387781593846,0.879494425972891,0.877096305096729,201,-0.15240628487239,0.0228300527920551,0.818815434456525,Q08050,FOXM1,FOXM1,FOXM1__seq.10056.5,FOXM1
seq.10058.1,RD23A__seq.10058.1__ANML,-0.0214148140422049,-0.014334936205978,0.0521727410538395,-0.410459822689898,0.681905868864088,0.758804667327063,0.754004760209194,201,-0.124290929510938,0.081461301426528,0.954598102865091,P54725,RAD23A,RAD23A,RAD23A__seq.10058.1,RAD23A
seq.10063.10,FANCL__seq.10063.10__ANML,0.0043325795984784,0.0114792873007223,0.0264630173064705,0.163722055890396,0.870116111937371,0.0389035027346069,0.0195849801765084,199,-0.0478513405596634,0.0565164997566204,0.982964255158119,Q9NW38,FANCL,FANCL,FANCL__seq.10063.10,FANCL
seq.10064.12,RBBP9__seq.10064.12__ANML,-0.0028418083096316,-0.0086206768754733,0.0206495468353085,-0.137620855910136,0.89067783347375,0.224051493270491,0.20860973194254,201,-0.0435593386079534,0.0378757219886902,0.988210176188892,O75884,RBBP9,RBBP9,RBBP9__seq.10064.12,RBBP9
seq.10069.2,PIN1__seq.10069.2__ANML,-0.0102704346914595,-0.0248620630475228,0.0271514942720821,-0.378264068582768,0.705637636330848,0.153968790398568,0.136963137944268,199,-0.0638120015075057,0.0432711321245867,0.960242726410077,Q13526,PIN1,PIN1,PIN1__seq.10069.2,PIN1_1
seq.10070.22,PLCG2__seq.10070.22__ANML,-0.0783827469223732,-0.0447265131075076,0.0421554464162182,-1.85937413990277,0.0644355468096147,0.885576510677807,0.883299426313186,201,-0.161506395125474,0.004740901280728,0.747580268150687,P16885,PLCG2,PLCG2,PLCG2__seq.10070.22,PLCG2
seq.10073.22,TYDP1__seq.10073.22__ANML,0.0028277680311495,0.0057972480390804,0.0271568483769048,0.104127253350739,0.917172707574034,0.390593212757923,0.378405077013082,200,-0.0507227187290677,0.0563782547913669,0.99368276871295,Q9NUW8,TDP1,TDP1,TDP1__seq.10073.22,TDP1
seq.10074.128,BRD2__seq.10074.128__ANML,-0.0225621282905993,-0.0306228032748644,0.0518026509428543,-0.435540032796555,0.663640168121925,0.0279138230134706,0.0084720994737399,200,-0.124711580059039,0.0795873234778407,0.949688960898696,P25440,BRD2,BRD2,BRD2__seq.10074.128,BRD2_1
seq.10075.75,ACBD6__seq.10075.75__ANML,-0.0806912020063758,-0.0304730783663377,0.0635395831110184,-1.26993596834574,0.205575636844368,0.886135672320147,0.883869715550398,201,-0.205980871610255,0.0445984675975032,0.848223781765432,Q9BR61,ACBD6,ACBD6,ACBD6__seq.10075.75,ACBD6_1
seq.10076.1,AP4M1__seq.10076.1__ANML,0.0160979414985447,0.0116074979954355,0.0527756908640622,0.305025689573808,0.760662204345515,0.713632929789308,0.707934082620936,201,-0.0879670924177413,0.120162975414831,0.96878044731767,O00189,AP4M1,AP4M1,AP4M1__seq.10076.1,AP4M1
seq.10078.5,BAG3__seq.10078.5__ANML,-0.0314362309829493,-0.081350584595641,0.0206572641955153,-1.5218003064401,0.129638597044398,0.437585723340363,0.426337437807171,200,-0.0721702122406939,0.0092977502747952,0.802961806095022,O95817,BAG3,BAG3,BAG3__seq.10078.5,BAG3
seq.10080.9,EI2BA__seq.10080.9__ANML,-0.083895442630525,-0.0368668419410965,0.0858807098794681,-0.976883432243057,0.329801118736377,0.718353043459535,0.712748128901516,201,-0.25323816159903,0.0854472763379797,0.870823178685939,Q14232,EIF2B1,EIF2B1,EIF2B1__seq.10080.9,EIF2B1
seq.10081.17,SATB2__seq.10081.17__ANML,-0.0412865786275795,-0.0801358392796976,0.034948183440013,-1.18136551212872,0.238860406900649,0.0975601341258671,0.0795113368083844,200,-0.110200769575806,0.0276276123206473,0.852316407322949,Q9UPW6,SATB2,SATB2,SATB2__seq.10081.17,SATB2
seq.10082.251,NFL__seq.10082.251__ANML,-0.139439992388147,-0.175449426285675,0.0553949172220381,-2.51719831675591,0.0126100782742087,0.0393001644006925,0.0201817597121492,201,-0.24866971245661,-0.0302102723196843,0.540622770766725,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10085.25,STAR__seq.10085.25__ANML,-0.0392656784290972,-0.0670928359326733,0.0346979429053071,-1.13164283358975,0.259139658383888,0.304259647723204,0.290344840677668,200,-0.107686421011937,0.0291550641537429,0.852629106879656,P49675,STAR,STAR,STAR__seq.10085.25,STAR
seq.10086.39,CBS__seq.10086.39__ANML,0.0794957886586133,0.0811029830407498,0.0695205715583805,1.14348583270573,0.254203780497813,0.0109268653230497,-0.0088545973704894,200,-0.057591563862228,0.216583141179455,0.852629106879656,P35520,CBS,CBS,CBS__seq.10086.39,CBS
seq.10087.10,Alpha_crystallin_A_chain__seq.10087.10__ANML,0.0293149702857574,0.0536007133246969,0.0367973337181463,0.79666017408487,0.42660262111717,0.115891535668284,0.0980307586110772,198,-0.0432500149442024,0.101879955515717,0.898824517604187,P02489,CRYAA,CRYAA,CRYAA__seq.10087.10,CRYAA
seq.10088.37,APT__seq.10088.37__ANML,-0.0255086754275269,-0.0095842908333751,0.0535991939558353,-0.47591528052727,0.634651589704193,0.919799080754143,0.918203042560195,201,-0.131197522803617,0.0801801719485634,0.946249114088784,P07741,APRT,APRT,APRT__seq.10088.37,APRT
seq.10089.7,ASML__seq.10089.7__ANML,-0.0190758783413388,-0.0128909617313957,0.0571027952529346,-0.334062076240628,0.73868273719516,0.707124836120974,0.701267332843393,200,-0.131676664659541,0.0935249079768631,0.964391351338126,O95671,ASMTL,ASMTL,ASMTL__seq.10089.7,ASMTL
seq.10336.3,CHIP__seq.10336.3__ANML,-0.0394362934675122,-0.0181991402259537,0.0717094432878263,-0.549945609105113,0.582967250423807,0.783438654197933,0.779128975674508,201,-0.180835591623308,0.101963004688283,0.933183128837054,Q9UNE7,STUB1,STUB1,STUB1__seq.10336.3,STUB1_1
seq.10339.48,NSE__seq.10339.48__ANML,0.0641571043625992,0.0580611616066703,0.0594750510549295,1.07872298089068,0.282004040898348,0.427111300538002,0.415710530399455,201,-0.0531179725501066,0.181432181275305,0.853155912767634,P09104,ENO2,ENO2,ENO2__seq.10339.48,ENO2_1
seq.10342.55,PIAS4__seq.10342.55__ANML,-0.0196314862531757,-0.0292692574821595,0.0470870765318914,-0.41691877472749,0.677184960661297,0.0261440337947022,0.0066669144705962,200,-0.112482314648373,0.0732193421420218,0.953353153468939,Q8N2W9,PIAS4,PIAS4,PIAS4__seq.10342.55,PIAS4
seq.10344.334,IL.10_Ra__seq.10344.334__ANML,-0.0046970483476601,-0.0073939764647643,0.0411638701239858,-0.114106091908089,0.909268733318714,0.180753368611102,0.164286099638461,199,-0.0858704114253832,0.0764763147300628,0.992922465651476,Q13651,IL10RA,IL10RA,IL10RA__seq.10344.334,IL10RA_1
seq.10346.5,STAT3__seq.10346.5__ANML,-0.0838190387201769,-0.0383189179922919,0.0645919912957938,-1.29766921623974,0.195888291348597,0.827568285193253,0.824136808281676,201,-0.21118388520283,0.0435458077624762,0.845348716239017,P40763,STAT3,STAT3,STAT3__seq.10346.5,STAT3_1
seq.10351.51,IRF1__seq.10351.51__ANML,0.0645530012467454,0.042005200211437,0.107195317028272,0.602199825853588,0.547723240034,0.0422825062475903,0.0231281563725422,200,-0.146825039592543,0.275931042086034,0.923384544250442,P10914,IRF1,IRF1,IRF1__seq.10351.51,IRF1_1
seq.10354.57,STAT3__seq.10354.57__ANML,-0.0307846820240414,-0.0128558639707723,0.105595593903663,-0.291533774147118,0.770943761891715,0.615458280572556,0.607805709041662,201,-0.239001929038385,0.177432564990302,0.971243041692183,P40763,STAT3,STAT3,STAT3__seq.10354.57,STAT3_2
seq.10356.21,c.Jun__seq.10356.21__ANML,-0.041394002086811,-0.067069420917713,0.04159809762599,-0.995093632862396,0.320887154397167,0.101661742594459,0.0837843643376328,201,-0.123418649598331,0.0406306454247086,0.867024155581873,P05412,JUN,JUN,JUN__seq.10356.21,JUN
seq.10361.25,OAS1__seq.10361.25__ANML,0.0271668643772934,0.0258647232949792,0.0750497315618499,0.361984830750589,0.717747457547715,0.0077740917751356,-0.0121701475861682,199,-0.120827944920434,0.175161673675021,0.961067955311067,P00973,OAS1,OAS1,OAS1__seq.10361.25,OAS1
seq.10362.35,c.Myc__seq.10362.35__ANML,0.0164353464402918,0.0224538407436737,0.051632277240566,0.318315350758518,0.750577884331802,0.0207223183612847,0.0011367647285103,200,-0.0853781460679993,0.118248838948583,0.966573196967906,P01106,MYC,MYC,MYC__seq.10362.35,MYC
seq.10363.13,SMAD3__seq.10363.13__ANML,-0.0101900407248289,-0.0054051171520302,0.0454243250567806,-0.224330041494095,0.822728371014454,0.885196791362617,0.882912150394708,201,-0.0997593831676239,0.0793793017179661,0.980587299552777,P84022,SMAD3,SMAD3,SMAD3__seq.10363.13,SMAD3
seq.10364.6,SMAD2__seq.10364.6__ANML,-0.0443000977215824,-0.0187395338312193,0.0519875577373726,-0.852128848702123,0.395156740712912,0.904363052517384,0.902459829681909,201,-0.146811061966459,0.0582108665232944,0.890410590836568,Q15796,SMAD2,SMAD2,SMAD2__seq.10364.6,SMAD2_1
seq.10365.132,IL.23__seq.10365.132__ANML,-0.0080605015905245,-0.0101814259041719,0.054275937183951,-0.148509671296988,0.882089437940261,0.0705491836755687,0.0520526500173711,201,-0.115083775969529,0.0989627727884804,0.985737314832766,P29460,IL12B|IL23A,IL12B,IL12B__seq.10365.132,IL12B_1
seq.10366.11,PDGFRA__seq.10366.11__ANML,0.0841173281101292,0.105122320493074,0.0560041424215373,1.50198404034092,0.134678433157401,0.0359610973851211,0.0166803193328235,200,-0.0263170288387558,0.194551685059014,0.809888801531689,P16234,PDGFRA,PDGFRA,PDGFRA__seq.10366.11,PDGFRA
seq.10367.62,IL.12__seq.10367.62__ANML,-0.013486313408707,-0.0231738691260995,0.0402705524572014,-0.334892684252095,0.738058772070062,0.0582118068947432,0.0392813909529289,199,-0.0928980928673187,0.0659254660499047,0.964257840854374,P29459,IL12A|IL12B,IL12A,IL12A__seq.10367.62,IL12A_1
seq.10370.21,STAT1__seq.10370.21__ANML,-0.0774930463656491,-0.0306728260021251,0.0658177009766319,-1.17738914024302,0.240432476284168,0.865789588673875,0.863118734717137,201,-0.207274791943692,0.052288699212394,0.852316407322949,P42224,STAT1,STAT1,STAT1__seq.10370.21,STAT1_1
seq.10372.18,STAT6__seq.10372.18__ANML,-0.0501376922786691,-0.0281539435048082,0.0505561739291315,-0.991722442227352,0.322525291333397,0.840626223408368,0.837454605963759,201,-0.149826201675243,0.0495508171179045,0.867024155581873,P42226,STAT6,STAT6,STAT6__seq.10372.18,STAT6
seq.10382.1,ANGL3__seq.10382.1__ANML,0.0534462539564167,0.0609306247167971,0.0492608757928518,1.08496353538587,0.279237394299273,0.376323106370059,0.363911625899811,201,-0.0436881392878767,0.15058064720071,0.852629106879656,Q9Y5C1,ANGPTL3,ANGPTL3,ANGPTL3__seq.10382.1,ANGPTL3_1
seq.10390.21,ZNRF3__seq.10390.21__ANML,-0.0367737547989086,-0.0388368805875469,0.049605934557654,-0.741317649326184,0.459370415113703,0.459830182190456,0.449026785834265,200,-0.134591509822977,0.0610440002251601,0.909876451270202,Q9ULT6,ZNRF3,ZNRF3,ZNRF3__seq.10390.21,ZNRF3_1
seq.10391.1,ANGL3__seq.10391.1__ANML,-0.002019685574609,-0.001994065747551,0.0644863592703069,-0.0313195782404639,0.975045754002966,0.19838503932853,0.182432502797755,201,-0.129176242973122,0.125136871823904,0.998523389052356,Q9Y5C1,ANGPTL3,ANGPTL3,ANGPTL3__seq.10391.1,ANGPTL3_2
seq.10396.6,Mcl.1__seq.10396.6__ANML,-0.122319762777539,-0.123976868557687,0.0658949071583042,-1.85628553180417,0.0648837685123664,0.124804784172987,0.107300879856447,200,-0.252257681359706,0.0076181558046276,0.747920342297263,Q07820,MCL1,MCL1,MCL1__seq.10396.6,MCL1_1
seq.10398.110,ANKR1__seq.10398.110__ANML,-0.0427489958269675,-0.118719255375,0.0221739101483917,-1.92789614194717,0.0552843645809464,0.253618012200623,0.238690372444635,200,-0.0864736455117786,0.0009756538578436,0.737079750046386,Q15327,ANKRD1,ANKRD1,ANKRD1__seq.10398.110,ANKRD1_1
