"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",0.0451169870380105,0.0305950080145363,0.0680830894490184,0.662675378029001,0.507832091845173,0.0137830253303251,0.00619674090978917,520,-0.0886347272875946,0.178868701363616,464.632256407696,"CRBB2__seq.10000.28__ANML",0.952075620776749,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0735106559655669,-0.0376974029453352,0.0489159027784291,-1.50279667327296,0.133492736175964,0.705013755314368,0.702766241069144,525,-0.1696055974427,0.022584285511566,121.140453333813,"c.Raf__seq.10001.7__ANML",0.804211238064086,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.0461807519696091,0.0411720076862752,0.0494761865820042,0.933393520397269,0.351049189696928,0.0916024023583752,0.0846281405722591,521,-0.0510165872858412,0.143378091225059,128.954035331139,"ZNF41__seq.10003.15__ANML",0.899433149963587,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",-0.0146852049884217,-0.014298071279012,0.0457301161167102,-0.321127655808763,0.748242429891959,0.078657286264221,0.0715836377902419,521,-0.104523285031634,0.0751528750547908,48.1194512052749,"ELK1__seq.10006.25__ANML",0.984099421783648,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.0057349229241853,0.00677342264219455,0.0375199019080216,0.152850157717475,0.878575620063785,0.0896941037614079,0.0827051909304015,521,-0.0679739638458319,0.0794438096942025,-172.91035743209,"GUC1A__seq.10008.43__ANML",0.995140083389377,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.00282311678920834,0.00398208814828294,0.0314432398253636,0.0897845388989171,0.928493072133979,0.089545810522393,0.0825288225495404,519,-0.0589485532168436,0.0645947867952603,-352.039988457067,"BECN1__seq.10010.10__ANML",0.996313896086771,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",-0.0166991576015096,-0.0166234167973228,0.039635029079186,-0.421323208017501,0.673692515271731,0.276062203009928,0.270514786941039,522,-0.094562922987661,0.0611646077846418,-103.373846135149,"OCRL__seq.10011.65__ANML",0.974725885718367,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.0272708933083857,-0.036303824409616,0.0342193952749641,-0.796942584439469,0.42584463170579,0.0271854895829888,0.0197735695036211,525,-0.0944946508096094,0.0399528641928381,-257.608101277678,"SPDEF__seq.10012.5__ANML",0.925511904843222,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.00748341669870468,0.0110342424043978,0.0297726453782278,0.251352091950054,0.801641010521718,0.101750747569852,0.0948544001423655,521,-0.0510057699843365,0.0659726033817459,-402.457851089349,"SLUG__seq.10014.31__ANML",0.987266138183649,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",0.00424720196422868,0.00374232601424864,0.0386855431852302,0.109787833245424,0.912619753138802,0.456444364707775,0.452287151435942,523,-0.0717509427073448,0.0802453466358022,-128.473235232641,"KCAB2__seq.10015.119__ANML",0.995811502716319,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
