"apt_name","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","Protein_id","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28",-0.0285346840935515,-0.0274888282380916,0.0457894159961599,-0.623172046918976,0.533445212006579,0.0145204135640196,0.00502639057330678,519,-0.118490067520772,0.0614206993336688,466.239570384526,"CRBB2__seq.10000.28__ANML",0.934520142313913,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7",-0.0526398943465193,-0.038548457206967,0.0327394326161461,-1.60784381829998,0.10847172009936,0.706461929722198,0.703660993937105,524,-0.116956559385935,0.0116767706928963,120.532119350755,"c.Raf__seq.10001.7__ANML",0.695184861907099,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15",0.0266648727742834,0.033921075507467,0.033235884433597,0.802291656404028,0.422750769614526,0.0927254545357915,0.084001660829405,520,-0.0386282353395904,0.0919579808881572,130.30333908854,"ZNF41__seq.10003.15__ANML",0.900245354177674,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25",0.0253986766936502,0.0353150994688543,0.030654844595313,0.828537121259247,0.407746501847733,0.0798719857619436,0.0710246010096547,520,-0.0348238844472976,0.0856212378345981,49.42551453958,"ELK1__seq.10006.25__ANML",0.888990705543176,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43",0.0228714639542214,0.0390008036337565,0.0248299730217646,0.921123189871109,0.357413251101889,0.0911770021624582,0.0824383194909435,520,-0.0259079243666684,0.0716508522751111,-171.76791594184,"GUC1A__seq.10008.43__ANML",0.870614584127223,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10",0.0483441204791298,0.0980293161768543,0.0208434463299373,2.31939189488513,0.0207617970655917,0.098903951764981,0.0902061134615542,518,0.0073960405297437,0.0892922004285158,-355.453815276732,"BECN1__seq.10010.10__ANML",0.449780865408492,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65",0.0544144782597975,0.0769911322810137,0.0265755512874014,2.04753902078387,0.0411061050959299,0.281841129629092,0.274949009951828,521,0.00220607149221316,0.106622885027382,-105.597572185465,"OCRL__seq.10011.65__ANML",0.554551806710832,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5",-0.00593245859999813,-0.0112776493881239,0.022958018522959,-0.258404643853101,0.796196097093385,0.0273094388728672,0.0180280403888297,524,-0.0510335208151585,0.0391686036151623,-255.675634510755,"SPDEF__seq.10012.5__ANML",0.976418973256374,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31",0.0295351375726015,0.0622281445875391,0.0199518328741894,1.48032202148252,0.139392930250866,0.10552021146412,0.0969194442666594,520,-0.00966096637122844,0.0687312415164315,-402.669831689922,"SLUG__seq.10014.31__ANML",0.735320417724515,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119",-0.000919151856305648,-0.00115866642512171,0.0259286875135836,-0.0354492241778192,0.971735085547469,0.456445673244524,0.451239214175985,522,-0.0518565496136021,0.0500182459009908,-126.47450632283,"KCAB2__seq.10015.119__ANML",0.993717472508279,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
