"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10046.55",0.0483690822763597,0.821076673579345,-0.0400483247977537,-0.00193710071717296,0.35,0.821076673579345,0,0.819139572862172,0,-0.0023647993349955,0.35,-0.00885551358461802,0.00200503256551245,0.83369696969697,0,0.83369696969697,"cIAP.1__seq.10046.55__ANML","Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10082.251",0.0528681705067652,-0.119788069730908,-0.0908336781432818,-0.00480221038383567,0.082,-0.119788069730907,0,-0.124590280114743,0,0.0385440210858586,0.082,-0.00319718389685744,0.124004762159261,0.6916,0,0.684,"NFL__seq.10082.251__ANML","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10833.64",0.0476013614135563,0.129069895363427,-0.0256128290508573,-0.00121920553247348,0.52,0.129069895363426,0,0.127850689830952,0,-0.00953616702487526,0.52,-0.0506941738031169,0.0223541800670471,0.908695652173913,0,0.908695652173913,"HHIP__seq.10833.64__ANML","Q96QV1","HHIP","HHIP","HHIP__seq.10833.64","HHIP"
"seq.11402.17",0.044247594857849,0.101409523947364,0.0141376918358041,0.000625558860575782,0.734,0.101409523947364,0,0.10203508280794,0,0.00613082131518694,0.734,-0.0283790994057227,0.0625775289937267,0.986,0,0.986,"KMT2C__seq.11402.17__ANML","Q8NEZ4","KMT2C","KMT2C","KMT2C__seq.11402.17","KMT2C"
"seq.11536.9",0.0480391160225048,0.118513281148992,0.00695481095665371,0.00033410297046137,0.896,0.118513281148992,0,0.118847384119454,0,0.00281119330422589,0.896,-0.0420443806626203,0.0685358898614539,0.986,0,0.986,"MYSM1__seq.11536.9__ANML","Q5VVJ2","MYSM1","MYSM1","MYSM1__seq.11536.9","MYSM1"
"seq.12500.88",0.0476013614135563,0.462672053934591,-0.0948331988563863,-0.00451418937276653,0.272,0.46267205393459,0,0.458157864561823,0,-0.00985291254813196,0.272,-0.0355882345047106,0.00711881817040493,0.749142857142857,0,0.749142857142857,"SAE2__seq.12500.88__ANML","Q9UBT2","UBA2","UBA2","UBA2__seq.12500.88","UBA2"
"seq.12501.10",0.0476013614135563,-0.256874337806554,-0.0715066970213559,-0.00340381612840325,0.26,-0.256874337806554,0,-0.260278153934957,0,0.0130776097684089,0.26,-0.00832995283059794,0.0446525623866645,0.749142857142857,0,0.749142857142857,"TBCA__seq.12501.10__ANML","O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA"
"seq.12540.25",0.0488518508889969,-0.0503518803363202,0.00398737214242404,0.000194790509340648,0.878,-0.0503518803363203,0.002,-0.0501570898269796,0.002,-0.00388360867850571,0.876,-0.0599043856896718,0.0515793474616752,0.986,0.00214084507042254,0.986,"RHOG__seq.12540.25__ANML","P84095","RHOG","RHOG","RHOG__seq.12540.25","RHOG"
"seq.12587.65",0.0476013614135563,-0.56557823566832,-0.145721154166707,-0.00693652532509,0.092,-0.565578235668319,0,-0.572514760993409,0,0.0121158890524569,0.092,-0.00198968459944994,0.0294891054961618,0.6916,0,0.684,"ARL2__seq.12587.65__ANML","P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2"
"seq.12616.45",0.0478490133509845,-0.127209402304352,0.0529906374248279,0.00253554971761778,0.262,-0.127209402304352,0,-0.124673852586734,0,-0.0203374618254764,0.262,-0.0891474516649117,0.0124633248923015,0.749142857142857,0,0.749142857142857,"NRBP__seq.12616.45__ANML","Q9UHY1","NRBP1","NRBP1","NRBP1__seq.12616.45","NRBP1"
"seq.12650.43",0.0471404343955987,0.159810771047909,0.0378591253654155,0.00178469561556314,0.276,0.159810771047909,0,0.161595466663473,0,0.0110442183336728,0.276,-0.00703241913324087,0.0438817997093897,0.749142857142857,0,0.749142857142857,"GNAI3__seq.12650.43__ANML","P08754","GNAI3","GNAI3","GNAI3__seq.12650.43","GNAI3"
"seq.13507.51",0.0475868661166254,-0.236340755716741,-0.0566742208146594,-0.00269694855817126,0.382,-0.236340755716741,0,-0.239037704274912,0,0.0112825236769742,0.382,-0.0154865474248637,0.0493399970108568,0.853882352941177,0,0.853882352941177,"TRADD__seq.13507.51__ANML","Q15628","TRADD","TRADD","TRADD__seq.13507.51","TRADD"
"seq.13516.46",0.0478237456491734,0.104614346603122,-0.0276600791405599,-0.00132280858945406,0.494,0.104614346603121,0,0.103291538013667,0.002,-0.012806553323652,0.496,-0.0875711952251085,0.0238194796556771,0.893904761904762,0,0.89752380952381,"TMM85__seq.13516.46__ANML","Q5J8M3","EMC4","EMC4","EMC4__seq.13516.46","EMC4"
"seq.13732.79",0.0448531392734021,-0.0685175710491843,-0.00856469109995177,-0.000384153282739766,0.708,-0.0685175710491848,0,-0.0689017243319245,0,0.00557537981036817,0.708,-0.0325711143677041,0.0514927617289138,0.986,0,0.986,"Cardiotrophin.1__seq.13732.79__ANML","Q16619","CTF1","CTF1","CTF1__seq.13732.79","CTF1_1"
"seq.14149.9",0.043906350566333,0.0938240292082296,0.0698948941511735,0.00306882972539816,0.166,0.0938240292082302,0.004,0.0968928589336283,0.004,0.0316724035101525,0.17,-0.0114204129747951,0.137803803001013,0.6916,0.00405333333333333,0.684,"IL.1F8__seq.14149.9__ANML","Q9NZH7","IL36B","IL36B","IL36B__seq.14149.9","IL36B"
"seq.14318.1",0.0498346069708215,1.11909029879518,0.00434744556527092,0.000216653241072341,0.93,1.11909029879518,0,1.11930695203626,0,0.000193560167457375,0.93,-0.00330146102353173,0.00441215333614422,0.986,0,0.986,"VPS29__seq.14318.1__ANML","Q9UBQ0","VPS29","VPS29","VPS29__seq.14318.1","VPS29"
"seq.14341.8",0.0476509603149923,-0.0738033311974763,0.0356165165169899,0.00169716121510938,0.214,-0.0738033311974763,0,-0.072106169982367,0,-0.0235369763159575,0.214,-0.0913479550368021,0.00974393719057855,0.739272727272727,0,0.739272727272727,"FA69C__seq.14341.8__ANML","Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C"
"seq.15364.101",0.0476013614135563,0.0597333476290781,-0.0342940315912859,-0.00163244259210473,0.168,0.0597333476290771,0,0.0581009050369724,0,-0.0280966809564485,0.168,-0.103409202021797,0.0100898177720909,0.6916,0,0.684,"Apo_C.I__seq.15364.101__ANML","P02654","APOC1","APOC1","APOC1__seq.15364.101","APOC1"
"seq.15548.35",0.0477782389170109,0.322264353289148,-0.0146290436367714,-0.000698949942005034,0.704,0.322264353289148,0,0.321565403347143,0,-0.00217358563679342,0.704,-0.0155651617027092,0.0109335272492684,0.986,0,0.986,"SERA__seq.15548.35__ANML","O43175","PHGDH","PHGDH","PHGDH__seq.15548.35","PHGDH_1"
"seq.16318.12",0.0458666320394627,0.0939287517765546,-0.0544157339867834,-0.00249586644792916,0.25,0.0939287517765557,0.004,0.0914328853286265,0.004,-0.0272972513003233,0.25,-0.135682160886428,0.0165442559631807,0.749142857142857,0.00405333333333333,0.749142857142857,"ALK.1__seq.16318.12__ANML","P37023","ACVRL1","ACVRL1","ACVRL1__seq.16318.12","ACVRL1_1"
"seq.16863.47",0.0479573300410445,0.0913445086199416,0.0448497226953839,0.00215087295355185,0.194,0.0913445086199417,0,0.0934953815734935,0,0.023005125144723,0.194,-0.00954303851590375,0.0774904989914078,0.702095238095238,0,0.702095238095238,"NANP__seq.16863.47__ANML","Q8TBE9","NANP","NANP","NANP__seq.16863.47","NANP"
"seq.17467.1",0.0471394034780318,0.135837909016031,0.0577564750926554,0.00272260578286165,0.11,0.135837909016033,0,0.138560514798894,0,0.0196492181543437,0.11,-0.00416844798711198,0.0631988934065721,0.6916,0,0.684,"DHRS9__seq.17467.1__ANML","Q9BPW9","DHRS9","DHRS9","DHRS9__seq.17467.1","DHRS9"
"seq.17671.58",0.0484193479391018,0.484755414345433,-0.0907047912857203,-0.00439186684900698,0.118,0.484755414345432,0,0.480363547496426,0,-0.00914279793272545,0.118,-0.0281345718261128,0.00149721404153778,0.6916,0,0.684,"ING4__seq.17671.58__ANML","Q9UNL4","ING4","ING4","ING4__seq.17671.58","ING4"
"seq.18275.5",0.0476013614135563,-0.132826862923909,0.00304645150428534,0.000145015239084356,0.968,-0.13282686292391,0,-0.132681847684825,0,-0.00109295462502774,0.968,-0.0595365377286375,0.0548021990899809,0.986,0,0.986,"CRIP1__seq.18275.5__ANML","P50238","CRIP1","CRIP1","CRIP1__seq.18275.5","CRIP1"
"seq.18942.11",0.0480748794536041,-0.0999613942350346,-0.0786865045706722,-0.00378284422186058,0.092,-0.0999613942350344,0,-0.103744238456895,0,0.0364631740338267,0.092,-0.00634897803605887,0.118908188598679,0.6916,0,0.684,"PSB9__seq.18942.11__ANML","P28065","PSMB9","PSMB9","PSMB9__seq.18942.11","PSMB9"
"seq.19158.1",0.0477314242466166,0.556705715421761,-0.210298854454668,-0.0100378638405535,0.076,0.55670571542176,0,0.546667851581207,0,-0.0183619062498728,0.076,-0.0456278166832657,0.00235774534964794,0.6916,0,0.684,"PAF__seq.19158.1__ANML","Q15004","PCLAF","PCLAF","PCLAF__seq.19158.1","PCLAF"
"seq.19272.9",0.0476013614135563,-0.119065893459585,-0.07331473508912,-0.00348988120191626,0.178,-0.119065893459586,0.002,-0.122555774661503,0.002,0.0284758609829301,0.18,-0.0105054542926877,0.107298052206894,0.6916,0.00214084507042254,0.684,"PEF1__seq.19272.9__ANML","Q9UBV8","PEF1","PEF1","PEF1__seq.19272.9","PEF1"
"seq.19606.28",0.0476013614135563,0.128345100565158,-0.0641476782991646,-0.0030535168185591,0.182,0.128345100565159,0.002,0.1252915837466,0.002,-0.0243712843851888,0.18,-0.0971846074010509,0.00904247177392111,0.6916,0.00214084507042254,0.684,"ihh__seq.19606.28__ANML","Q14623","IHH","IHH","IHH__seq.19606.28","IHH"
"seq.19823.75",0.0476013614135563,0.164967714600844,-0.00180088056837776,-8.57243667980074e-05,0.986,0.164967714600845,0,0.164881990234047,0,-0.000519913464632027,0.986,-0.0301807814404977,0.0377216999819585,0.986,0,0.986,"SIR1__seq.19823.75__ANML","Q96EB6","SIRT1","SIRT1","SIRT1__seq.19823.75","SIRT1"
"seq.20089.172",0.0506960380958461,0.0948631467469796,-0.00361164244841485,-0.000183095963153397,0.924,0.0948631467469791,0,0.0946800507838257,0,-0.00193383887775307,0.924,-0.0506828291919323,0.0446295260322697,0.986,0,0.986,"ST1C4__seq.20089.172__ANML","O75897","SULT1C4","SULT1C4","SULT1C4__seq.20089.172","SULT1C4"
"seq.20133.1",0.0474621348972503,-0.174207400484449,-0.0092531011919749,-0.000439171936991406,0.744,-0.174207400484448,0,-0.17464657242144,0,0.00251463244255169,0.744,-0.018386057231576,0.0278825016731784,0.986,0,0.986,"MAGE.3__seq.20133.1__ANML","P43357","MAGEA3","MAGEA3","MAGEA3__seq.20133.1","MAGEA3_2"
