"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.0232173010743099,-0.0213559747153294,0.0443253650880806,-0.523792664271889,0.600614890131033,0.0124988523806638,0.00432417400633156,604,-0.110267856063346,0.0638332539147263,0.899769909241194,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.0365525743746607,-0.0270788985606284,0.0293916938255562,-1.24363619843093,0.214111205865142,0.715871598035653,0.713542676708076,610,-0.0942737623870635,0.0211686136377421,0.670280583561532,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0244835565742052,0.0323723685623604,0.0295842602363885,0.827587250063823,0.40823060341634,0.0906841519562046,0.0831691449475781,605,-0.0336167595938861,0.0825838727422966,0.819724351126802,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.00580675073095147,0.00752087505960999,0.0305547017620412,0.190044425115788,0.849338170245556,0.0733489821748506,0.0656780300405364,604,-0.0541996077192221,0.065813109181125,0.972407444639144,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",0.0311659371299418,0.054688446197116,0.0222525875131252,1.40055340133183,0.161861167616074,0.0946637884961565,0.0871692834340386,604,-0.0125359046735124,0.0748677789333959,0.616133652242818,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.042435931808942,0.07541475304189,0.0221276273658703,1.91778047900405,0.0556108935245273,0.0859267988640572,0.0783474190868105,603,-0.00102064554093685,0.0858925091588208,0.419926041547721,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.0336580267696817,0.0506270883876273,0.0229719987924331,1.4651762379845,0.143392311922958,0.289766204121349,0.283896503328963,605,-0.0114565166459325,0.0787725701852958,0.591178829857808,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.00714077135722071,-0.0130235501293289,0.0221515095273951,-0.322360485112295,0.747290066187172,0.0218295524272986,0.013811761873424,610,-0.0506432470490962,0.0363617043346548,0.94311264659741,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",0.0218952218967905,0.0408207157454554,0.0211645943977363,1.03452121431311,0.301305899040153,0.0753083794140412,0.0676662999050663,605,-0.019669773011056,0.0634602168046371,0.75104280906787,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",0.0117063110366966,0.0145947546895086,0.0239056710823306,0.489687614138933,0.624531888802754,0.470162537190692,0.465798142933613,607,-0.0352415546142185,0.0586541766876116,0.907839098665235,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",0.0614850135695591,0.0535532492274682,0.0460641384401455,1.33476964188641,0.182453829993995,0.0432336889246212,0.035326529328957,605,-0.0289800170243545,0.151950044163473,0.639419751214511,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",0.0086737679562278,0.0167574007685584,0.0210765884423625,0.411535670488025,0.680825058448823,0.00982519000296515,0.00166889008536175,607,-0.0327181193145308,0.0500656552269864,0.924724124604601,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",0.0448422159800384,0.0577994549239981,0.0315484819560862,1.42137476035951,0.15572393617612,0.0174285718007303,0.0092947023619947,604,-0.0171158267316594,0.106800258691736,0.6051847986664,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLDH__seq.10025.1__ANML",0.0211705671039129,0.0251687175897683,0.0282312898637153,0.74989726668928,0.453605698714028,0.324915710579781,0.319382232797648,610,-0.0342717493453438,0.0766128835531696,0.843204763645916,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MutY_homolog__seq.10030.8__ANML",0.00346812517446335,0.00363248369742712,0.0382788704476885,0.090601554693283,0.92783928332196,0.0463916086860464,0.03848440809472,603,-0.071707973327706,0.0786442236766327,0.990374971282121,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","DUS4__seq.10035.6__ANML",-0.00373620202216567,-0.00802285263956712,0.0173196358366093,-0.21572058774286,0.829278379008313,0.17898746209019,0.172191000683652,604,-0.0377502233119818,0.0302778192676504,0.965216966140847,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201","ZHX3__seq.10036.201__ANML",-0.0367930726823778,-0.065567733129694,0.0223411602743438,-1.64687385214412,0.10009984979969,0.0515011028188426,0.0437137555513454,609,-0.080668139219574,0.00708199385481842,0.521518004943162,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98","SIG12_Ig.like_V.type_2__seq.10037.98__ANML",-0.0179822276856666,-0.0167700755542924,0.0436598911526782,-0.411870648572691,0.680579157782195,0.0083958259593816,0.000254576583021748,609,-0.103724445449097,0.0677599900777641,0.924724124604601,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32","PNP__seq.10039.32__ANML",-0.040668501789782,-0.017883448310034,0.0336085403755633,-1.21006450548956,0.226722840552872,0.869104459595275,0.868031545329663,610,-0.106670988388685,0.0253339848091205,0.684172065039884,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63","P73L__seq.10040.63__ANML",-0.0172316914809635,-0.0184458794967281,0.0383199719895826,-0.44967912517389,0.65310342104728,0.00211476634704081,-0.00615957224046304,603,-0.0924885095426674,0.0580251265807405,0.915853401795849,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
