"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.00120486581928405,-0.00142445573074058,0.0420886001374653,-0.028626892207126,0.977171651345848,0.0189143827173845,0.00261727944026469,602,-0.0838631909764615,0.0814534593378934,0.995746017458227,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.0138528521838614,-0.0129982574326808,0.0285622839579345,-0.485005057868041,0.627847453264845,0.710635270443952,0.705875982128885,608,-0.0699455616956909,0.0422398573279681,0.883051798179256,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",-0.0219562879691839,-0.03727813609283,0.0280888799505743,-0.781671893212496,0.43471422540823,0.0922733201706972,0.0772198097257668,603,-0.0771202042834254,0.0332076283450576,0.795591737915352,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.00711808833690044,0.0118537608647275,0.028035377001478,0.253896651239082,0.799662093852764,0.130135311583479,0.115685732041677,602,-0.0479409371598736,0.0621771138336745,0.947704303516738,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",0.0189734788013117,0.0424354692581976,0.0212824366524807,0.891508764298384,0.373012472698941,0.101282193802499,0.086353326589916,602,-0.0228233631751894,0.0607703207778128,0.755894409923356,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.00359036882643687,0.00821030238154183,0.0208386497682358,0.172293736224198,0.863264610231745,0.098393576994398,0.0833918062289137,601,-0.0373350517469382,0.044515789399812,0.967937072431198,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",-0.0196295973324987,-0.0365049683023197,0.0230090972603023,-0.853123315114396,0.393929104732994,0.26874643565638,0.256639588564598,604,-0.0648171481248245,0.0255579534598272,0.768963967840264,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.0104272135510988,-0.0244256058819874,0.0208678381783333,-0.499678666375956,0.6174821313304,0.0373311114479697,0.0214977415704692,608,-0.0514090057215371,0.0305545786193394,0.880005202882017,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",-0.000435171748252123,-0.00103880942668574,0.0200518325817856,-0.0217023429892098,0.982692574066526,0.0874114506687228,0.0722773122055176,603,-0.0398150835295401,0.0389447400330359,0.996202755673743,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",-0.037253151958922,-0.0593951985280142,0.0225857108448883,-1.64941241897433,0.0995822532553493,0.478182336526199,0.469557251179525,605,-0.0816090672491429,0.00710276333129901,0.538339308182721,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",-0.00717051594368305,-0.00798497155047919,0.0437624760327785,-0.163850782535985,0.86990351608784,0.0514153654177568,0.0356842769503896,603,-0.0931158996622261,0.07877486777486,0.969443350906921,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",-0.0146268544172581,-0.0365394727421699,0.019748550428026,-0.74065458477907,0.459190250782978,0.0199217939462678,0.00372215417678468,605,-0.0534108907447412,0.024157181910225,0.811505873331738,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",0.00395824024645555,0.00623079142707742,0.031297051074427,0.126473265389845,0.899399539081512,0.0215736717906356,0.00532074275061301,602,-0.0575064275191988,0.0654229080121099,0.978445576607469,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLDH__seq.10025.1__ANML",0.000476998271080642,0.000728543699351413,0.0264837908035632,0.0180109514766468,0.985636025542744,0.340817358456884,0.329975538694662,608,-0.0515338138370895,0.0524878103792508,0.99689017542083,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MutY_homolog__seq.10030.8__ANML",-0.050339716540104,-0.0677776337564388,0.0363347610979781,-1.38544234278467,0.166431193704093,0.0537230224398237,0.0379779812158607,601,-0.121698244847178,0.0210188117669703,0.607744985530986,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","DUS4__seq.10035.6__ANML",0.00828974141718718,0.0227035821306042,0.0165638093186735,0.500473125336066,0.616924884782304,0.184776964179269,0.171235053285237,602,-0.0242401296650696,0.0408196124994439,0.880005202882017,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201","ZHX3__seq.10036.201__ANML",0.00287483083832087,0.00656544181281382,0.0211754372029524,0.135762525739966,0.892054026934428,0.0559352407231671,0.0403822792853281,607,-0.0387111835211923,0.0444608451978341,0.977720913718119,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
