"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.00292393301569014,-0.00345682736935499,0.0421875822985993,-0.069307906648806,0.944767585713834,0.0196342675182895,0.00169080153276746,601,-0.0857769281831512,0.0799290621517709,0.98760681043554,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.0157652125012691,-0.0147926425441214,0.028559757076446,-0.552007934068567,0.581146091168683,0.711726124441169,0.706502050913744,607,-0.0718531438389842,0.040322718836446,0.865343164616268,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",-0.0206184187943987,-0.035006656084823,0.0281300976179518,-0.732966485734505,0.463864174225178,0.0935471917906892,0.0769841006107848,602,-0.0758634672876611,0.0346266296988638,0.805624866255166,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.00791060127401046,0.0131735335893795,0.0280951965674532,0.281564190341864,0.778374619812872,0.130514945366772,0.114600909425066,601,-0.0472660895578164,0.0630872921058373,0.941149087454882,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",0.0202107154780844,0.0452026328085463,0.0212850259737382,0.949527404994513,0.342734101870356,0.104138937677115,0.0877421461870118,601,-0.0215913518141188,0.0620127827702877,0.736862482737602,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.00629252222894613,0.0143894715946197,0.0208229814084321,0.302191223510291,0.762611015735169,0.104781713837544,0.0883693785912326,600,-0.0346022644863931,0.0471873089442853,0.93407972308843,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",-0.017457022255326,-0.0324646518871026,0.0229407203308909,-0.760962254172081,0.446977079062532,0.275455376285687,0.262238144343967,603,-0.0625104376548892,0.0275963931442372,0.797544007661989,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.0109054759160602,-0.0255459289651857,0.020900816463818,-0.521772722847407,0.60201891645421,0.0377563394753006,0.0203186454624973,607,-0.0519521681406106,0.0301412163084902,0.871675922498634,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",0.000553019846526856,0.00132012758646171,0.0200699221018688,0.027554658344955,0.978026477046354,0.089176759264974,0.0725338096834369,602,-0.0388625497271159,0.0399685894201696,0.996214049955633,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",-0.0369179821958286,-0.0588608148967589,0.0226228739981442,-1.63188736315541,0.103224441365659,0.478285901309286,0.468784485604654,604,-0.0813470293807114,0.00751106498905418,0.540422942317818,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",-0.00443640175309743,-0.00494030583896639,0.0437622482346191,-0.101375087708312,0.919286466281964,0.0547427107043405,0.037470567544453,602,-0.0903816252191138,0.0815088217129189,0.984079669961339,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",-0.0143402458774909,-0.0358234934462975,0.019781326109408,-0.724938550538868,0.468770471828409,0.0201060290639347,0.00226027793761574,604,-0.0531887790553064,0.0245082873003246,0.808670808098575,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",0.00568794531438653,0.00895357499694472,0.0313137193211743,0.18164387487948,0.855923458898111,0.0240863759545541,0.00622439614673398,601,-0.0558096635608825,0.0671855541896555,0.965382009300626,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLDH__seq.10025.1__ANML",0.00110558629208823,0.00168861812720072,0.0265252193201783,0.0416805711855958,0.966767048484649,0.341129639137641,0.32918964907259,607,-0.050986757349552,0.0531979299337285,0.992476503387375,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MutY_homolog__seq.10030.8__ANML",-0.0502826602810884,-0.0677008129379506,0.0364060538400807,-1.38116205897961,0.167743298588699,0.0537247407502309,0.0363763609973186,600,-0.12178144221509,0.0212161216529131,0.607059081082302,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
