"apt_name","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","Protein_id","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10046.55",-0.0454103045676809,0.814918006048613,0.00579346852139729,-0.000263083170059917,0.944,0.814918006048613,0,0.814654922878553,0,-0.000322938170103143,0.944,-0.00461497251267073,0.00328279084227697,0.996,0,0.996,"cIAP.1__seq.10046.55__ANML","Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10082.251",-0.0464996334356993,-0.121996514898214,0.00600713141099865,-0.00027932940861153,0.9,-0.121996514898214,0.002,-0.122275844306826,0.002,0.00228442019922276,0.902,-0.0355360526001729,0.0425321609753845,0.996,0.00224615384615385,0.996,"NFL__seq.10082.251__ANML","P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10833.64",-0.0465499261476825,0.13138780697726,0.017028806883905,-0.000792689702828882,0.604,0.131387806977258,0,0.13059511727443,0,-0.00606982649407283,0.604,-0.0478873594981515,0.0175637458521352,0.940888888888889,0,0.940888888888889,"HHIP__seq.10833.64__ANML","Q96QV1","HHIP","HHIP","HHIP__seq.10833.64","HHIP"
"seq.11536.9",-0.0467673976839867,0.121568377893648,0.0125962863185974,-0.000589095531603188,0.806,0.121568377893648,0.002,0.120979282362045,0.002,-0.00486939185041824,0.808,-0.0463580218305253,0.0363731027808461,0.996,0.00224615384615385,0.996,"MYSM1__seq.11536.9__ANML","Q5VVJ2","MYSM1","MYSM1","MYSM1__seq.11536.9","MYSM1"
"seq.12500.88",-0.0465499261476825,0.461917160906925,-0.0199404791197545,0.000928227830373983,0.776,0.461917160906925,0,0.462845388737299,0,0.0020054814263275,0.776,-0.0127662246106778,0.018088081566788,0.996,0,0.996,"SAE2__seq.12500.88__ANML","Q9UBT2","UBA2","UBA2","UBA2__seq.12500.88","UBA2"
"seq.12501.10",-0.0465499261476825,-0.265465798832206,0.03288937184459,-0.00153099783040935,0.54,-0.265465798832205,0,-0.266996796662615,0,0.00573414306668242,0.54,-0.0117010815787845,0.0297535277223579,0.940888888888889,0,0.940888888888889,"TBCA__seq.12501.10__ANML","O75347","TBCA","TBCA","TBCA__seq.12501.10","TBCA"
"seq.12540.25",-0.0480971386734644,-0.0530403227314577,0.000329010499459988,-1.58244636175839e-05,0.944,-0.0530403227314578,0.004,-0.0530561471950753,0.004,0.000298258815503525,0.948,-0.0490906272132018,0.0461430749519339,0.996,0.00423188405797102,0.996,"RHOG__seq.12540.25__ANML","P84095","RHOG","RHOG","RHOG__seq.12540.25","RHOG"
"seq.12587.65",-0.0465499261476825,-0.572551714483879,0.0484197403083008,-0.00225393533544133,0.458,-0.572551714483879,0,-0.57480564981932,0,0.00392121291109405,0.458,-0.00516421349935898,0.0164386595526933,0.940888888888889,0,0.940888888888889,"ARL2__seq.12587.65__ANML","P36404","ARL2","ARL2","ARL2__seq.12587.65","ARL2"
"seq.12616.45",-0.0463163876438897,-0.130005254766096,-0.0621045106382874,0.002876456589157,0.268,-0.130005254766097,0.004,-0.12712879817694,0.004,-0.0226263178005781,0.272,-0.104481930165248,0.0157087055324375,0.940888888888889,0.00423188405797102,0.940888888888889,"NRBP__seq.12616.45__ANML","Q9UHY1","NRBP1","NRBP1","NRBP1__seq.12616.45","NRBP1"
"seq.12650.43",-0.0435641185752238,0.156842348290048,-0.0358737965117902,0.0015628103249831,0.33,0.156842348290048,0,0.158405158615031,0,0.0098659054960525,0.33,-0.0125862794126901,0.0386745417848169,0.940888888888889,0,0.940888888888889,"GNAI3__seq.12650.43__ANML","P08754","GNAI3","GNAI3","GNAI3__seq.12650.43","GNAI3"
"seq.13507.51",-0.0467052628916208,-0.24241205049179,-0.034778393724639,0.00162433402185754,0.532,-0.24241205049179,0,-0.240787716469933,0,-0.00674591729873551,0.532,-0.0367539100527814,0.0123506324579748,0.940888888888889,0,0.940888888888889,"TRADD__seq.13507.51__ANML","Q15628","TRADD","TRADD","TRADD__seq.13507.51","TRADD"
"seq.13516.46",-0.0476599319090241,0.105476487482841,-0.014472377678147,0.000689752534702168,0.694,0.105476487482841,0,0.106166240017543,0,0.00649691026627854,0.694,-0.0274872346786079,0.0550359255747233,0.940888888888889,0,0.940888888888889,"TMM85__seq.13516.46__ANML","Q5J8M3","EMC4","EMC4","EMC4__seq.13516.46","EMC4"
"seq.13732.79",-0.0435439133144485,-0.0721137844598324,-0.00164831853790353,7.17742395291028e-05,0.884,-0.072113784459832,0,-0.0720420102203029,0,-0.00099628313132322,0.884,-0.0355347442185529,0.0250475967227472,0.996,0,0.996,"Cardiotrophin.1__seq.13732.79__ANML","Q16619","CTF1","CTF1","CTF1__seq.13732.79","CTF1_1"
"seq.14149.9",-0.0440070411375362,0.0897977194983692,-0.032141656646556,0.00141445920627355,0.39,0.0897977194983692,0.01,0.0912121787046428,0.008,0.0155073502942382,0.394,-0.0229238635605304,0.106626642340005,0.940888888888889,0.0101388888888889,0.940888888888889,"IL.1F8__seq.14149.9__ANML","Q9NZH7","IL36B","IL36B","IL36B__seq.14149.9","IL36B"
"seq.14318.1",-0.04944938599347,1.11735704968328,-0.0424117282432711,0.00209723392055169,0.284,1.11735704968328,0,1.11945428360383,0,0.00187344311533662,0.284,-0.00130170722160531,0.00712297111773223,0.940888888888889,0,0.940888888888889,"VPS29__seq.14318.1__ANML","Q9UBQ0","VPS29","VPS29","VPS29__seq.14318.1","VPS29"
"seq.14341.8",-0.0458273287941522,-0.0741920655803247,-0.0394237033470447,0.00180668301556818,0.24,-0.0741920655803243,0,-0.0723853825647562,0,-0.0249592245223256,0.24,-0.0988893987451359,0.0212479190096737,0.940888888888889,0,0.940888888888889,"FA69C__seq.14341.8__ANML","Q0P6D2","DIPK1C","DIPK1C","DIPK1C__seq.14341.8","DIPK1C"
"seq.15364.101",-0.0465499261476825,0.0562011124940808,0.0210853556809193,-0.000981521749744508,0.344,0.0562011124940796,0,0.055219590744335,0,-0.0177748827275617,0.344,-0.088827712336545,0.0156577049585724,0.940888888888889,0,0.940888888888889,"Apo_C.I__seq.15364.101__ANML","P02654","APOC1","APOC1","APOC1__seq.15364.101","APOC1"
"seq.15548.35",-0.043454090342148,0.317943963360748,-0.00138251722969918,6.00760285989397e-05,0.952,0.317943963360748,0,0.318004039389347,0,0.000188915929226251,0.952,-0.00963100384204832,0.0101406183391093,0.996,0,0.996,"SERA__seq.15548.35__ANML","O43175","PHGDH","PHGDH","PHGDH__seq.15548.35","PHGDH_1"
"seq.16318.12",-0.0451069176821081,0.0924939781988404,0.0503291256715129,-0.00227019172867732,0.304,0.0924939781988421,0.006,0.0902237864701648,0.006,-0.0251617873456024,0.306,-0.168024268877522,0.0215378211507094,0.940888888888889,0.00616901408450704,0.940888888888889,"ALK.1__seq.16318.12__ANML","P37023","ACVRL1","ACVRL1","ACVRL1__seq.16318.12","ACVRL1_1"
"seq.16863.47",-0.0485205837623765,0.0875747045399548,-0.0137038320287101,0.000664917929814569,0.554,0.0875747045399549,0,0.0882396224697694,0,0.00753536689305723,0.554,-0.0163103883395844,0.051143902399357,0.940888888888889,0,0.940888888888889,"NANP__seq.16863.47__ANML","Q8TBE9","NANP","NANP","NANP__seq.16863.47","NANP"
"seq.17467.1",-0.0457894231700917,0.133911882527867,-0.0327528897831765,0.00149973593032533,0.386,0.133911882527865,0,0.135411618458191,0,0.0110753859041157,0.386,-0.014261899637728,0.0453798252649035,0.940888888888889,0,0.940888888888889,"DHRS9__seq.17467.1__ANML","Q9BPW9","DHRS9","DHRS9","DHRS9__seq.17467.1","DHRS9"
"seq.17671.58",-0.0474907903259761,0.484512235740944,0.0266254161437735,-0.00126446205542564,0.54,0.484512235740944,0,0.483247773685518,0,-0.00261659157947515,0.54,-0.0132747281407336,0.00493840866606763,0.940888888888889,0,0.940888888888889,"ING4__seq.17671.58__ANML","Q9UNL4","ING4","ING4","ING4__seq.17671.58","ING4"
"seq.18275.5",-0.0465499261476825,-0.140646984379703,-0.030924435248381,0.00143953017697092,0.56,-0.140646984379703,0,-0.139207454202732,0,-0.0103408986624702,0.56,-0.0569066837030407,0.0197257481317667,0.940888888888889,0,0.940888888888889,"CRIP1__seq.18275.5__ANML","P50238","CRIP1","CRIP1","CRIP1__seq.18275.5","CRIP1"
"seq.18942.11",-0.047053842004868,-0.102963254894689,0.0374176495607211,-0.00176064417062368,0.336,-0.102963254894689,0,-0.104723899065313,0,0.0168122480764932,0.336,-0.0152341803079544,0.0814961200122168,0.940888888888889,0,0.940888888888889,"PSB9__seq.18942.11__ANML","P28065","PSMB9","PSMB9","PSMB9__seq.18942.11","PSMB9"
"seq.19158.1",-0.0467101400604879,0.549615194377568,0.0796317331465269,-0.00371960940853377,0.324,0.549615194377569,0,0.545895584969035,0,-0.00681377448536198,0.324,-0.0242194323517689,0.00534516888876438,0.940888888888889,0,0.940888888888889,"PAF__seq.19158.1__ANML","Q15004","PCLAF","PCLAF","PCLAF__seq.19158.1","PCLAF"
"seq.19272.9",-0.0465499261476825,-0.119379390099151,0.0307092348278727,-0.00142951261328934,0.432,-0.119379390099152,0,-0.120808902712441,0,0.0118328416299913,0.432,-0.0124080368163287,0.0591154241986326,0.940888888888889,0,0.940888888888889,"PEF1__seq.19272.9__ANML","Q9UBV8","PEF1","PEF1","PEF1__seq.19272.9","PEF1"
"seq.19606.28",-0.0464038643383701,0.131764123140009,0.0382448369362128,-0.00177470822483105,0.42,0.131764123140009,0,0.129989414915178,0,-0.0136527133843098,0.42,-0.0657081090422688,0.0129079135847697,0.940888888888889,0,0.940888888888889,"ihh__seq.19606.28__ANML","Q14623","IHH","IHH","IHH__seq.19606.28","IHH"
"seq.19823.75",-0.0465499261476825,0.15991408250653,-0.0172871249401255,0.000804714389268632,0.668,0.159914082506528,0,0.160718796895797,0,0.00500697121190108,0.668,-0.019401080875933,0.0414552512042287,0.940888888888889,0,0.940888888888889,"SIR1__seq.19823.75__ANML","Q96EB6","SIRT1","SIRT1","SIRT1__seq.19823.75","SIRT1"
"seq.20089.172",-0.0551724299052353,0.0942167903100702,0.0241652961449622,-0.00133325810769725,0.484,0.094216790310071,0,0.0928835322023738,0,-0.0143540849070248,0.484,-0.0849571316967233,0.0235180541374414,0.940888888888889,0,0.940888888888889,"ST1C4__seq.20089.172__ANML","O75897","SULT1C4","SULT1C4","SULT1C4__seq.20089.172","SULT1C4"
"seq.20133.1",-0.0465504816920138,-0.171341807447664,-0.025919387291534,0.0012065599635828,0.434,-0.171341807447664,0,-0.170135247484081,0,-0.00709176952703869,0.434,-0.0303087049815842,0.00787686828229147,0.940888888888889,0,0.940888888888889,"MAGE.3__seq.20133.1__ANML","P43357","MAGEA3","MAGEA3","MAGEA3__seq.20133.1","MAGEA3_2"
"seq.20135.85",-0.0465499261476825,-0.0808764998210968,-0.0203253499699974,0.00094614354002922,0.454,-0.0808764998210969,0,-0.0799303562810677,0,-0.0118370989953078,0.454,-0.0660186768656411,0.0200295083872759,0.940888888888889,0,0.940888888888889,"MCE1__seq.20135.85__ANML","O60942","RNGTT","RNGTT","RNGTT__seq.20135.85","RNGTT_2"
"seq.20241.9",-0.0465499261476825,-0.164984773016668,0.0203529747001172,-0.000947429469176112,0.61,-0.164984773016668,0,-0.165932202485844,0,0.00570973840509914,0.61,-0.0142780923984482,0.0343069685634878,0.940888888888889,0,0.940888888888889,"SNP23__seq.20241.9__ANML","O00161","SNAP23","SNAP23","SNAP23__seq.20241.9","SNAP23"
"seq.20387.277",-0.0465499261476825,-0.208892435261786,0.00823705073567667,-0.000383434103420499,0.86,-0.208892435261786,0,-0.209275869365207,0,0.00183219453147448,0.86,-0.0193982804366444,0.0254645821987054,0.996,0,0.996,"CHCH7__seq.20387.277__ANML","Q9BUK0","CHCHD7","CHCHD7","CHCHD7__seq.20387.277","CHCHD7"
"seq.20398.60",-0.0465499261476825,-0.37592200029451,-0.173058694322613,0.00805586943993203,0.24,-0.37592200029451,0,-0.367866130854578,0,-0.0218989158398945,0.24,-0.0856159842430443,0.0132968030667964,0.940888888888889,0,0.940888888888889,"POP7__seq.20398.60__ANML","O75817","POP7","POP7","POP7__seq.20398.60","POP7"
"seq.21115.48",-0.0465499261476825,-0.619904981772948,0.00534906306668649,-0.000248998490713584,0.966,-0.619904981772947,0,-0.620153980263661,0,0.000401510751584181,0.966,-0.0112555165399043,0.0121727232886403,0.996,0,0.996,"BN3D2__seq.21115.48__ANML","Q7Z5W3","BCDIN3D","BCDIN3D","BCDIN3D__seq.21115.48","BCDIN3D"
"seq.21163.21",-0.0465499261476825,-0.122889357813619,0.00428465302342594,-0.000199450281808698,0.844,-0.122889357813619,0,-0.123088808095428,0,0.00162037706672786,0.844,-0.0286943741667046,0.06248803568568,0.996,0,0.996,"TBC13__seq.21163.21__ANML","Q9NVG8","TBC1D13","TBC1D13","TBC1D13__seq.21163.21","TBC1D13"
"seq.21238.40",-0.0464560510552823,-0.122630764825431,-0.0704985993442411,0.00327508653046196,0.274,-0.122630764825431,0,-0.119355678294969,0,-0.0274397211531746,0.274,-0.122986676614261,0.0168865894852163,0.940888888888889,0,0.940888888888889,"CK5P3__seq.21238.40__ANML","Q96JB5","CDK5RAP3","CDK5RAP3","CDK5RAP3__seq.21238.40","CDK5RAP3"
"seq.21497.32",-0.0465499261476825,-0.066594217312044,-0.000678712015804282,3.15939942112484e-05,0.978,-0.0665942173120442,0.004,-0.0665626233178329,0.004,-0.000474650676857924,0.978,-0.036612511711913,0.0404603972658016,0.996,0.00423188405797102,0.996,"HYOU1__seq.21497.32__ANML","Q9Y4L1","HYOU1","HYOU1","HYOU1__seq.21497.32","HYOU1"
"seq.21569.49",-0.0465499261476825,0.267594636435345,-0.00272496086508789,0.000126846727025233,0.906,0.267594636435344,0,0.26772148316237,0,0.000473801076876233,0.906,-0.0236051580952553,0.0235479355378016,0.996,0,0.996,"STK10__seq.21569.49__ANML","O94804","STK10","STK10","STK10__seq.21569.49","STK10"
"seq.21655.18",-0.0464847857682557,0.144680696095847,-0.0328404285524221,0.00152658028579703,0.434,0.144680696095847,0,0.146207276381644,0,0.0104412059616801,0.434,-0.0118225757462407,0.0579356357821239,0.940888888888889,0,0.940888888888889,"FOPNL__seq.21655.18__ANML","Q96NB1","CEP20","CEP20","CEP20__seq.21655.18","CEP20"
"seq.21750.25",-0.0594021972512493,0.108468326772131,0.0227816546382914,-0.00135328034253351,0.516,0.10846832677213,0.012,0.107115046429596,0.012,-0.0126338958684295,0.516,-0.0770614402153517,0.035324683997379,0.940888888888889,0.012,0.940888888888889,"BAP1__seq.21750.25__ANML","Q92560","BAP1","BAP1","BAP1__seq.21750.25","BAP1"
"seq.21802.53",-0.0465499261476825,-0.0803313613156821,-0.0284250175887121,0.00132318246950114,0.38,-0.0803313613156824,0,-0.0790081788461813,0,-0.0167474113291132,0.38,-0.0750700454639123,0.0225424950409678,0.940888888888889,0,0.940888888888889,"NEIL1__seq.21802.53__ANML","Q96FI4","NEIL1","NEIL1","NEIL1__seq.21802.53","NEIL1"
"seq.21823.5",-0.0470707348723297,-0.177326331944442,-0.0133050195713483,0.000626277048714103,0.632,-0.177326331944442,0,-0.176700054895728,0,-0.00354429459053464,0.632,-0.0244768518612985,0.0092845224653762,0.940888888888889,0,0.940888888888889,"PPM1G__seq.21823.5__ANML","O15355","PPM1G","PPM1G","PPM1G__seq.21823.5","PPM1G"
