"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.0293552684486868,-0.0270001443108715,0.0443528708729987,-0.661857234286897,0.508315983377043,0.0196264317927771,0.00334115657338807,602,-0.116460423058265,0.0577498861608915,0.867435450668015,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.0448706960805214,-0.0329026395852754,0.030044193946934,-1.49348976244046,0.135827779390493,0.711581411544879,0.706837684761078,608,-0.103873689190751,0.0141322970297084,0.568354608190546,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0283263746670249,0.0376285188996332,0.0295269249152544,0.959340491714755,0.33777173684613,0.0927382506143978,0.0776924504587494,603,-0.0296617265996719,0.0863144759337216,0.770092117440159,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.0147155763831878,0.0191489198616687,0.0295559442331736,0.497888893925813,0.618744180235935,0.130400250894035,0.115955072337458,602,-0.0433297100072802,0.0727608627736558,0.9047625049271,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",0.0298955273245326,0.0525520111055619,0.0222139597913949,1.34579911034652,0.178873925121433,0.102794993604149,0.0878912559563769,602,-0.0137307445274295,0.0735217991764947,0.637522771286517,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.0450506496054265,0.0802843749153982,0.0219136416805419,2.05582669745983,0.0402306267794639,0.104645462307339,0.0897477162558805,601,0.00201403197209771,0.0880872672387552,0.375869061768492,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.0579175728170047,0.0840036245019263,0.02417059018281,2.3962001911809,0.0168692050494005,0.27475959289665,0.262752301388317,604,0.0104489668473731,0.105386178786636,0.278835684209888,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.0108976008318328,-0.0199494061804343,0.0219865805160585,-0.495647825903324,0.620322003642783,0.0373247616619963,0.0214912873472265,608,-0.0540764613130906,0.032281259649425,0.9047625049271,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",0.0227271949807727,0.0425051097114301,0.0210255720918757,1.0809311100531,0.280159871153232,0.08917561050929,0.0740707284281837,603,-0.018565049543615,0.0640194395051603,0.724136379499006,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",0.00990148600886311,0.0123813655972771,0.0238074892438387,0.415897951583684,0.677632159114614,0.475985646256697,0.467324251979948,605,-0.0368538711027576,0.0566568431204838,0.92134637736966,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",0.0669423291683956,0.0585779983018062,0.0457694288754166,1.46259918057119,0.144098077601342,0.0547265739558622,0.0390503977362249,603,-0.0229445210255898,0.156829179362381,0.584746435648547,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",0.007741123620683,0.0150128387331581,0.0209989904395799,0.368642656558011,0.712523057417479,0.0192534306170201,0.00304274351978084,605,-0.0334986428633093,0.0489808901046753,0.931238606542088,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
