"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.0295443355084184,-0.0271740428363136,0.0444733198276173,-0.66431594544628,0.506742904343638,0.0196342675182895,0.00169080153276746,601,-0.11688633407753,0.0577976630606929,0.861758722761486,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.045604565558158,-0.0334407690335456,0.0300907704094449,-1.51556656534934,0.130149541727843,0.711726124441169,0.706502050913744,607,-0.104699223124969,0.0134900920086533,0.554143431611535,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",0.0272053779654055,0.0361393962685464,0.0295778285074964,0.91978956327069,0.358051145100613,0.0935471917906892,0.0769841006107848,602,-0.0308828872235234,0.0852936431543344,0.783855249582592,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",0.0151748798930723,0.0197465971713397,0.0296235198995934,0.512257825690748,0.608658768803345,0.130514945366772,0.114600909425066,601,-0.0430033141952314,0.0733530739813761,0.89641798929048,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",0.0307820262073743,0.054110347863781,0.0222353845925994,1.38437120703635,0.166758605268746,0.104138937677115,0.0877421461870119,601,-0.0128864684496055,0.074450520864354,0.611303103610721,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.0454670868351236,0.081026504118208,0.0219734814171577,2.06917993430123,0.038956804553845,0.104781713837544,0.0883693785912326,600,0.00231280367448781,0.0886213699957594,0.365587872744473,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",0.0571795572483077,0.0829332070155913,0.0241984599318899,2.36294199751752,0.0184469311661228,0.275455376285687,0.262238144343967,603,0.0096560596590415,0.104703054837574,0.28344704953901,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.0114052499303307,-0.0208787206432547,0.0220212541689082,-0.517920089512149,0.604702734984266,0.0377563394753006,0.0203186454624972,607,-0.0546523471829448,0.0318418473222833,0.89641798929048,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",0.0227536530779824,0.0425545924709878,0.0210649106012169,1.08016850907822,0.280499700806119,0.089176759264974,0.0725338096834369,602,-0.0186159867816321,0.0641232929375968,0.71519781994972,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",0.00823993220725962,0.0103036668499594,0.0237966271442122,0.346264710428249,0.729264372670546,0.478285901309286,0.468784485604654,604,-0.0384942479998173,0.0549741124143365,0.935827126713736,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",0.06674284489926,0.0584034392548799,0.0458492832495676,1.45570094380678,0.145996590007926,0.0547427107043405,0.037470567544453,602,-0.0233011325836776,0.156786822382198,0.582467227934142,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",0.00708574790241102,0.0137418281602541,0.0210266730765186,0.336988541964064,0.736242599221046,0.0201060290639347,0.00226027793761563,604,-0.0342085213550839,0.048380017159906,0.936864336774035,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",0.0411711055502387,0.050717238119078,0.0330971275630496,1.2439479973544,0.214003653062256,0.0240863759545541,0.00622439614673398,601,-0.0238289726867461,0.106171183787224,0.670717202025091,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLDH__seq.10025.1__ANML",0.0149901058666456,0.0178922723957211,0.0279471664442806,0.536373012860964,0.591897288907655,0.341129639137641,0.32918964907259,607,-0.0398947710745263,0.0698749828078176,0.892199040524748,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MutY_homolog__seq.10030.8__ANML",0.00126290611705396,0.00132712119549891,0.0382607407625415,0.0330078846327615,0.973679277254358,0.0537247407502309,0.0363763609973186,600,-0.0738783429848359,0.0764041552189438,0.994652129288934,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","DUS4__seq.10035.6__ANML",-0.00529279186351868,-0.0114102323937342,0.0172956012846779,-0.306019535048345,0.75969574609678,0.184903972626474,0.169985409729454,601,-0.0392599521410424,0.0286743684140051,0.944434046128846,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201","ZHX3__seq.10036.201__ANML",-0.0346372645472664,-0.0619224808209614,0.0223065363264742,-1.55278542756805,0.120996471446099,0.0596765836800722,0.042608006816179,606,-0.0784447661037023,0.00917023700916946,0.536651523893314,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98","SIG12_Ig.like_V.type_2__seq.10037.98__ANML",0.000681036211487068,0.000651622022660375,0.0424467880571042,0.0160444698564909,0.987204203954463,0.0269969049777988,0.00930593961375892,605,-0.0826799059493834,0.0840419783723576,0.996782068719094,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32","PNP__seq.10039.32__ANML",-0.0421603406321958,-0.0186006532084105,0.0334721817528601,-1.25956356665019,0.208310938457302,0.870872418359405,0.868532379812376,607,-0.107895683788397,0.0235750025240058,0.663472523886624,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63","P73L__seq.10040.63__ANML",-0.0171126837176933,-0.0183919140643278,0.0382486892902513,-0.447405755209891,0.654743594160921,0.00865698393218021,-0.00951763802906314,600,-0.0922302646243692,0.0580048971889825,0.911479732604992,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3","HNF4A__seq.10041.3__ANML",0.00364038185235187,0.0027698685048498,0.0517472372983878,0.0703492986758018,0.943938815245373,0.0820869050080631,0.0654525655601039,607,-0.0979849745797623,0.105265738284466,0.991315778139581,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8","SGK3__seq.10042.8__ANML",0.0102881331758119,0.0202390160676669,0.0175895109587976,0.58490160413847,0.55883230619374,0.294497159691024,0.281648598029768,604,-0.0242558956868136,0.0448321620384374,0.880163694768001,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
"seq.10043.31","BRD4__seq.10043.31__ANML",0.00468847354274173,0.0108690314471247,0.0151290573300962,0.309898590536434,0.756744964600787,0.275498047581163,0.262303475600025,604,-0.0250234720764038,0.0344004191618873,0.943341387254745,"O60885","BRD4","BRD4","BRD4__seq.10043.31","BRD4"
"seq.10044.12","WN10A__seq.10044.12__ANML",-0.0358202042557888,-0.0314148457586906,0.0458364271850214,-0.781478977652392,0.434825530490331,0.0431627593356406,0.0258230399825798,607,-0.125837439830944,0.0541970313193666,0.826732145852485,"Q9GZT5","WNT10A","WNT10A","WNT10A__seq.10044.12","WNT10A"
"seq.10045.47","CUL3__seq.10045.47__ANML",0.00185247988684394,0.00157907662184811,0.0273406388672927,0.067755544990576,0.946002655156889,0.680025838531001,0.674198494530738,604,-0.0518417825839383,0.0555467423576262,0.992412169706416,"Q13618","CUL3","CUL3","CUL3__seq.10045.47","CUL3"
"seq.10046.55","cIAP.1__seq.10046.55__ANML",0.814918006048613,0.723975035488064,0.0264675099907869,30.7893718121682,5.89494143956429e-126,0.674063467457832,0.668137348684338,605,0.762938653299566,0.86689735879766,1.43148827957419e-122,"Q13490","BIRC2","BIRC2","BIRC2__seq.10046.55","BIRC2_1"
"seq.10047.12","NCF.2__seq.10047.12__ANML",-0.00662780689247993,-0.0107370068996714,0.0248485196260916,-0.266728440656101,0.789769140777215,0.0436956242793567,0.0263082719935269,605,-0.0554276360938603,0.0421720223089004,0.952352260262934,"P19878","NCF2","NCF2","NCF2__seq.10047.12","NCF2"
"seq.10048.7","PEBB__seq.10048.7__ANML",0.00341070528010521,0.00915983970918721,0.0144142019056243,0.236621167265209,0.8130309214137,0.116863817608458,0.100780211637752,604,-0.0248973362467999,0.0317187468070104,0.957338725669857,"Q13951","CBFB","CBFB","CBFB__seq.10048.7","CBFB"
"seq.10049.112","TERF1__seq.10049.112__ANML",0.0205238168996275,0.0487924928794129,0.0166535544845941,1.23239858005171,0.218282126580296,0.0801272928347702,0.0632910203242586,601,-0.0121824154572557,0.0532300492565107,0.672770094516249,"P54274","TERF1","TERF1","TERF1__seq.10049.112","TERF1"
"seq.10053.5","ILK1__seq.10053.5__ANML",-0.0979568223708111,-0.0408548892728075,0.05041322760625,-1.94307777982195,0.0524687179677109,0.738235643104685,0.733491972716138,607,-0.196962344053764,0.00104869931214205,0.407666383789616,"Q13418","ILK","ILK","ILK__seq.10053.5","ILK"
"seq.10054.3","GAN__seq.10054.3__ANML",0.0689985028833133,0.0856632228503359,0.0326749310594305,2.11166483435929,0.0351280144791419,0.0360392889245189,0.0183666758881351,600,0.00482736857721804,0.133169637189409,0.352673823524257,"Q9H2C0","GAN","GAN","GAN__seq.10054.3","GAN"
"seq.10056.5","FOXM1__seq.10056.5__ANML",-0.0455858793731462,-0.0242281449495143,0.0283030545322046,-1.61063461617814,0.107779240791541,0.866017192242165,0.863589167719371,607,-0.101169677757731,0.00999791901143862,0.517668910154798,"Q08050","FOXM1","FOXM1","FOXM1__seq.10056.5","FOXM1"
"seq.10058.1","RD23A__seq.10058.1__ANML",-4.60923475270279e-05,-3.08505658893373e-05,0.0300413159117286,-0.00153429855278186,0.998776311448087,0.760608170154886,0.756269932711235,607,-0.0590436272229644,0.0589514425279103,0.999559308834771,"P54725","RAD23A","RAD23A","RAD23A__seq.10058.1","RAD23A"
"seq.10063.10","FANCL__seq.10063.10__ANML",0.0364434187272042,0.0784421357767137,0.0187615000748548,1.94245761702433,0.0525461543415853,0.0397968584204608,0.0223097151135488,604,-0.000402278780251446,0.0732891162346598,0.407666383789616,"Q9NW38","FANCL","FANCL","FANCL__seq.10063.10","FANCL"
"seq.10064.12","RBBP9__seq.10064.12__ANML",-0.0160158571981542,-0.0494367615933089,0.0115504484281372,-1.38660046818088,0.1660751851365,0.251522374287947,0.237891159250145,604,-0.0386997751770265,0.00666806078071804,0.610422665852372,"O75884","RBBP9","RBBP9","RBBP9__seq.10064.12","RBBP9"
"seq.10069.2","PIN1__seq.10069.2__ANML",-0.00107956282699599,-0.00275907118369955,0.0143586933025725,-0.0751853113822395,0.9400921657585,0.206795639856439,0.192349865085613,604,-0.0292785910453199,0.0271194653913279,0.990364014056326,"Q13526","PIN1","PIN1","PIN1__seq.10069.2","PIN1_1"
"seq.10070.22","PLCG2__seq.10070.22__ANML",-0.0175523328830455,-0.010115370791534,0.0255863259869187,-0.686004426427591,0.492972249860904,0.871260272997941,0.868927263118167,607,-0.0678008028296699,0.0326961370635788,0.857931877744071,"P16885","PLCG2","PLCG2","PLCG2__seq.10070.22","PLCG2"
"seq.10073.22","TYDP1__seq.10073.22__ANML",0.0182968328687114,0.0287347900133725,0.0214224936857333,0.854094445638535,0.393390712141955,0.332175136181615,0.320032865930371,605,-0.0237746485982861,0.0603683143357089,0.80447998229318,"Q9NUW8","TDP1","TDP1","TDP1__seq.10073.22","TDP1"
"seq.10074.128","BRD2__seq.10074.128__ANML",-0.000359271419676654,-0.000567317753680869,0.0255568777577267,-0.0140577195337578,0.98878858952376,0.0434825936560028,0.0260047008490526,602,-0.050550741432954,0.0498321985936007,0.997690425856038,"P25440","BRD2","BRD2","BRD2__seq.10074.128","BRD2_1"
"seq.10075.75","ACBD6__seq.10075.75__ANML",-0.0290426783690729,-0.0107577709893842,0.0400555123289024,-0.725060714006071,0.468694194362916,0.869653718340917,0.867291594620571,607,-0.107706891765108,0.0496215350269622,0.84862132631271,"Q9BR61","ACBD6","ACBD6","ACBD6__seq.10075.75","ACBD6_1"
"seq.10076.1","AP4M1__seq.10076.1__ANML",-0.0307856067367808,-0.0217399929822943,0.0347131720125913,-0.88685662968553,0.375507908957051,0.644312832801192,0.637856465079761,606,-0.0989583304045787,0.0373871169310171,0.796563320565582,"O00189","AP4M1","AP4M1","AP4M1__seq.10076.1","AP4M1"
"seq.10078.5","BAG3__seq.10078.5__ANML",-0.0168848894242471,-0.0374810581048148,0.0158098940968687,-1.06799509982748,0.285949382786819,0.274540747538342,0.261328741284901,604,-0.0479339299164234,0.0141641510679291,0.721433838124176,"O95817","BAG3","BAG3","BAG3__seq.10078.5","BAG3"
"seq.10080.9","EI2BA__seq.10080.9__ANML",-0.0412988382346803,-0.0185326426881442,0.0491912452681965,-0.839556673337178,0.40148807886774,0.71214931417224,0.706924301723221,606,-0.13790485192099,0.0553071754516297,0.809925117207326,"Q14232","EIF2B1","EIF2B1","EIF2B1__seq.10080.9","EIF2B1"
"seq.10081.17","SATB2__seq.10081.17__ANML",0.0114323005281198,0.0192818800330588,0.0233950016671111,0.488664232248867,0.625256803828799,0.0828127923310999,0.0661090517940837,604,-0.0345131276718408,0.0573777287280804,0.901800795068857,"Q9UPW6","SATB2","SATB2","SATB2__seq.10081.17","SATB2"
"seq.10082.251","NFL__seq.10082.251__ANML",-0.121996514898214,-0.146111799292597,0.0325564971543701,-3.74722484178056,0.000195923932271199,0.105190602390051,0.0889213406153252,605,-0.185933985799307,-0.0580590439971202,0.0223016538530576,"P07196","NEFL","NEFL","NEFL__seq.10082.251","NEFL"
"seq.10085.25","STAR__seq.10085.25__ANML",-0.0499584379896088,-0.0776987408004385,0.0217615701118854,-2.29571844920893,0.0220319874870885,0.321744196846144,0.309452905520456,607,-0.0926955469562298,-0.00722132902298783,0.300461383122752,"P49675","STAR","STAR","STAR__seq.10085.25","STAR"
"seq.10086.39","CBS__seq.10086.39__ANML",0.0375250586430769,0.0350786391574775,0.0436916811105883,0.85886048989731,0.390759902962139,0.021719569893305,0.00381427083977137,601,-0.0482818647850525,0.123331982071206,0.803623653451144,"P35520","CBS","CBS","CBS__seq.10086.39","CBS"
"seq.10087.10","Alpha_crystallin_A_chain__seq.10087.10__ANML",0.010022887160405,0.0177045484685523,0.0219557422551913,0.456504136544743,0.648191879870657,0.113761999558217,0.0975951371952654,603,-0.0330961240110485,0.0531418983318586,0.911378398056867,"P02489","CRYAA","CRYAA","CRYAA__seq.10087.10","CRYAA"
"seq.10088.37","APT__seq.10088.37__ANML",-0.0820117798013124,-0.0303566483546099,0.037427534180936,-2.19121514671104,0.0288155676407648,0.886357598426948,0.884298180935509,607,-0.155514959876034,-0.00850859972659056,0.329122514068133,"P07741","APRT","APRT","APRT__seq.10088.37","APRT"
"seq.10089.7","ASML__seq.10089.7__ANML",-0.0471162624286554,-0.0294188348605039,0.0406711654009675,-1.1584684619717,0.247129238643597,0.618907529707228,0.611990009619406,606,-0.126989807811421,0.0327572829541102,0.695432156452116,"O95671","ASMTL","ASMTL","ASMTL__seq.10089.7","ASMTL"
"seq.10336.3","CHIP__seq.10336.3__ANML",-0.0181367977845558,-0.00820020109470313,0.0480882133693751,-0.377156823133425,0.706188885999372,0.720096793589904,0.71502441258412,607,-0.112576270865345,0.0763026752962334,0.928528052470718,"Q9UNE7","STUB1","STUB1","STUB1__seq.10336.3","STUB1_1"
"seq.10339.48","NSE__seq.10339.48__ANML",0.00592162806010211,0.00565091572797355,0.0367170795693284,0.161277207489256,0.871928737266063,0.273066845049307,0.259893427084797,607,-0.0661863045211711,0.0780295606413753,0.973385888214951,"P09104","ENO2","ENO2","ENO2__seq.10339.48","ENO2_1"
"seq.10342.55","PIAS4__seq.10342.55__ANML",-0.0198761182406229,-0.0288560834237772,0.0281648975932174,-0.705705326101004,0.480643492229609,0.0140865710138677,-0.00386880600409167,604,-0.0751891418745386,0.0354369053932928,0.852981203627941,"Q8N2W9","PIAS4","PIAS4","PIAS4__seq.10342.55","PIAS4"
