apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,-0.0112040255928073,-0.0130256760391666,0.0400018601639146,-0.280087614598344,0.77951774567231,0.012237720868327,-0.0060881099133367,539,-0.0897826781124565,0.0673746269268418,0.93293687813747,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0351720333014312,-0.0336477692168125,0.0269359362391286,-1.30576613298996,0.192182996815915,0.692094562599636,0.686444921546418,545,-0.0880830011137009,0.0177389345108386,0.589265299159781,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,-0.0014055389364212,-0.0025587913263089,0.0244519952320284,-0.0574815643093298,0.954182815298715,0.088464625796547,0.0716155430940802,541,-0.0494380265184919,0.0466269486456494,0.985696293537412,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0212587153828793,-0.0362929805829779,0.0262840825621574,-0.808805684299846,0.41898312157487,0.0799918990398463,0.0629547119850286,540,-0.0728902938796416,0.030372863113883,0.765053579121088,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0070804121412547,0.0150851439457256,0.0209580386600648,0.337837536045123,0.735616913337803,0.0818567978337487,0.0648541459417811,540,-0.034088862671984,0.0482496869544934,0.920960857981707,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0312391524540433,0.0751808991925906,0.0184789481653576,1.69052654807524,0.0915064899768844,0.0952510486341458,0.0784341536273456,538,-0.0050605824783663,0.0675388873864529,0.448923366632983,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,-0.0153546633823959,-0.0296138093447109,0.0206529631214483,-0.743460552953293,0.457525636057405,0.269514921520809,0.256012424691249,541,-0.0559244894947674,0.0252151627299756,0.786936095384335,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.021342637306174,-0.0505036403349144,0.0192713934252312,-1.10747763979698,0.268576013518408,0.0357025024560533,0.0180089703910269,545,-0.0591979421364093,0.0165126675240613,0.658336560727323,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,-0.0362935493981668,-0.102679827008158,0.0154486354608984,-2.34930453825701,0.0191678246292961,0.119159482455195,0.10284762101918,540,-0.0666403356168209,-0.0059467631795127,0.247584401461741,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,-0.0378976074149218,-0.060763397201306,0.0212527886984281,-1.78318280733317,0.0751160591185475,0.462908993589637,0.452999565427085,542,-0.0796455333690639,0.0038503185392203,0.421380436059241,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
