apt_name,coef_x2m,coef_x2y,coef_m2y,acme,acme_p,ade,ade_p,total,total_p,prop_m,prop_m_p,prop_m_ci_lower,prop_m_ci_upper,p_adjusted,ade_p_adjusted,prop_m_p_adjusted,Protein_id,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10046.55,-0.532046922844146,0.822022305183344,0.0329638875718852,-0.003213086514227,0.244,0.822022305183344,0.0,0.818809218669117,0.0,-0.0039240966527582,0.244,-0.0129455797477746,0.0028188278595064,0.73632,0.0,0.73632,cIAP.1__seq.10046.55__ANML,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10082.251,-0.593136536659258,-0.146985188925757,0.0225766814443301,-0.0022821194239755,0.426,-0.146985188925758,0.0,-0.149267308349733,0.0,0.0152888093796703,0.426,-0.0236712265479393,0.0683380614288765,0.740777777777778,0.0,0.740777777777778,NFL__seq.10082.251__ANML,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10833.64,-0.537517769790832,0.125964673350424,0.035596111014999,-0.002496849513642,0.188,0.125964673350424,0.0,0.123467823836782,0.0,-0.0202226736979084,0.188,-0.101047236781069,0.0088203308827358,0.73632,0.0,0.73632,HHIP__seq.10833.64__ANML,Q96QV1,HHIP,HHIP,HHIP__seq.10833.64,HHIP
seq.11536.9,-0.546818706254463,0.129919823293392,0.0107697711856273,-0.0010711345663824,0.71,0.129919823293392,0.0,0.128848688727009,0.0,-0.0083131196519344,0.71,-0.0660370578289283,0.0481797565541464,0.930888888888889,0.0,0.930888888888889,MYSM1__seq.11536.9__ANML,Q5VVJ2,MYSM1,MYSM1,MYSM1__seq.11536.9,MYSM1
seq.12500.88,-0.537517769790832,0.430475125141967,0.0215455694260528,-0.0022475594005594,0.61,0.430475125141967,0.0,0.428227565741408,0.0,-0.0052485163972762,0.61,-0.0341612924376419,0.0179518379156058,0.900093023255814,0.0,0.900093023255814,SAE2__seq.12500.88__ANML,Q9UBT2,UBA2,UBA2,UBA2__seq.12500.88,UBA2
seq.12501.10,-0.537517769790832,-0.244786841864216,0.0622600316830672,-0.0063827730322568,0.146,-0.244786841864215,0.0,-0.251169614896472,0.0,0.0254122021681952,0.146,-0.0055088858288955,0.0741113361831312,0.73632,0.0,0.73632,TBCA__seq.12501.10__ANML,O75347,TBCA,TBCA,TBCA__seq.12501.10,TBCA
seq.12587.65,-0.537517769790832,-0.555705879082057,0.0833243577883513,-0.010190748794259,0.122,-0.555705879082058,0.0,-0.565896627876317,0.0,0.0180081454673137,0.122,-0.0030372345958222,0.0392363607956415,0.73632,0.0,0.73632,ARL2__seq.12587.65__ANML,P36404,ARL2,ARL2,ARL2__seq.12587.65,ARL2
seq.12616.45,-0.523997003031284,-0.130809994167229,-0.038476827153973,0.0036246286449394,0.364,-0.13080999416723,0.0,-0.12718536552229,0.002,-0.028498787026753,0.366,-0.139160943131254,0.028168831182863,0.740777777777778,0.0,0.740777777777778,NRBP__seq.12616.45__ANML,Q9UHY1,NRBP1,NRBP1,NRBP1__seq.12616.45,NRBP1
seq.12650.43,-0.516705082598215,0.15750574065831,-0.0133157411484565,0.0012039548958821,0.452,0.157505740658309,0.0,0.158709695554192,0.0,0.00758589380238,0.452,-0.0117659828673873,0.0357484691162991,0.740777777777778,0.0,0.740777777777778,GNAI3__seq.12650.43__ANML,P08754,GNAI3,GNAI3,GNAI3__seq.12650.43,GNAI3
seq.13507.51,-0.538200414493803,-0.243927761013991,0.0058577418850034,-0.0006121604132076,0.838,-0.243927761013991,0.0,-0.244539921427198,0.0,0.00250331483561,0.838,-0.037576795128524,0.0420494191175659,0.962964285714286,0.0,0.962964285714286,TRADD__seq.13507.51__ANML,Q15628,TRADD,TRADD,TRADD__seq.13507.51,TRADD
seq.13732.79,-0.511136516012764,-0.0728060010152835,0.0118963305934276,-0.0013098847765326,0.392,-0.0728060010152838,0.0,-0.0741158857918165,0.0,0.0176734685491315,0.392,-0.0202634207871763,0.0803426253317219,0.740777777777778,0.0,0.740777777777778,Cardiotrophin.1__seq.13732.79__ANML,Q16619,CTF1,CTF1,CTF1__seq.13732.79,CTF1_1
seq.14149.9,-0.488005207900609,0.0964873970349247,-0.0328584038513414,0.0011905218786717,0.29,0.0964873970349238,0.008,0.0976779189135956,0.008,0.012188239593074,0.294,-0.0261214195431277,0.136083563943099,0.73632,0.008,0.73632,IL.1F8__seq.14149.9__ANML,Q9NZH7,IL36B,IL36B,IL36B__seq.14149.9,IL36B
seq.14318.1,-0.526715639289142,1.09540273006602,-0.0056514175018022,0.000604046435881,0.866,1.09540273006602,0.0,1.0960067765019,0.0,0.0005511338513881,0.866,-0.0038192037348784,0.005459017544342,0.962964285714286,0.0,0.962964285714286,VPS29__seq.14318.1__ANML,Q9UBQ0,VPS29,VPS29,VPS29__seq.14318.1,VPS29
seq.14341.8,-0.540153507872279,-0.0716245357897647,-0.0141216373165562,0.0008396649215249,0.414,-0.0716245357897645,0.0,-0.0707848708682395,0.0,-0.0118622088481017,0.414,-0.0969150105122415,0.023562416030314,0.740777777777778,0.0,0.740777777777778,FA69C__seq.14341.8__ANML,Q0P6D2,DIPK1C,DIPK1C,DIPK1C__seq.14341.8,DIPK1C
seq.15364.101,-0.537517769790832,0.0656219286343864,0.0265773688766237,-0.0018642399032163,0.158,0.0656219286343855,0.0,0.0637576887311692,0.0,-0.0292394523753337,0.158,-0.141681026736332,0.0119691556916652,0.73632,0.0,0.73632,Apo_C.I__seq.15364.101__ANML,P02654,APOC1,APOC1,APOC1__seq.15364.101,APOC1
seq.15548.35,-0.577392489504182,0.319430112492028,0.0088335067663127,-0.0009708899328739,0.678,0.319430112492028,0.0,0.318459222559154,0.0,-0.003048710365716,0.678,-0.0216384595477335,0.0126232884562101,0.909136363636364,0.0,0.909136363636364,SERA__seq.15548.35__ANML,O43175,PHGDH,PHGDH,PHGDH__seq.15548.35,PHGDH_1
seq.16863.47,-0.553970541798991,0.0909500533694228,-0.0186173994669011,0.0010493443335889,0.312,0.0909500533694229,0.0,0.0919993977030119,0.0,0.0114059913411217,0.312,-0.0155695644367186,0.0790441753798838,0.73632,0.0,0.73632,NANP__seq.16863.47__ANML,Q8TBE9,NANP,NANP,NANP__seq.16863.47,NANP
seq.17467.1,-0.535981201916654,0.129578216124971,-0.035554426087442,0.004043192858319,0.136,0.129578216124969,0.0,0.133621408983288,0.0,0.0302585707566121,0.136,-0.0066213506780014,0.0807993039418079,0.73632,0.0,0.73632,DHRS9__seq.17467.1__ANML,Q9BPW9,DHRS9,DHRS9,DHRS9__seq.17467.1,DHRS9
seq.17671.58,-0.546862706957052,0.472496565473952,0.0378519644382968,-0.0036277651269976,0.228,0.472496565473953,0.0,0.468868800346956,0.0,-0.0077372713311552,0.228,-0.0303378991369672,0.004170522194085,0.73632,0.0,0.73632,ING4__seq.17671.58__ANML,Q9UNL4,ING4,ING4,ING4__seq.17671.58,ING4
