apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,-0.0214197075367438,-0.0191676405749446,0.0486499602841181,-0.440282117634869,0.659909296646362,0.0122377208683271,-0.0060881099133367,539,-0.116986471397116,0.0741470563236282,0.908592069790012,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.043760171317414,-0.0323898993671345,0.0326668265433322,-1.3395905249433,0.180936827779549,0.692094562599636,0.686444921546419,545,-0.107928477643163,0.020408135008335,0.634104296412428,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0207556677820314,0.0292126358548208,0.0296667891830661,0.699626361786357,0.4844613808502,0.0884646257965469,0.0716155430940801,541,-0.0375205452432777,0.0790318808073406,0.838665797311108,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0001414597779869,-0.0001873734552201,0.0317402247393585,-0.0044567982472894,0.996445647195576,0.0799918990398463,0.0629547119850286,540,-0.0624909026873824,0.0622079831314085,0.999175471804767,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0301077569285434,0.0499232432495541,0.025286918696246,1.19064553851763,0.23431589381841,0.0818567978337488,0.0648541459417811,540,-0.0195650260007806,0.0797805398578674,0.694676558455281,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.052327227972483,0.0974342986339926,0.022429633925924,2.33295060210518,0.0200184326002888,0.0952510486341459,0.0784341536273457,538,0.0082668323884757,0.0963876235564903,0.34253973700912,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.0577724028757673,0.0860096692095429,0.0250932117421297,2.30231201447887,0.0216963533570385,0.269514921520809,0.256012424691249,541,0.0084803361155314,0.107064469636003,0.342574996407029,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0034133076686413,-0.0062491625296573,0.0233715754552405,-0.146045253781811,0.883939665294853,0.0357025024560531,0.0180089703910267,545,-0.0493227078712559,0.0424960925339732,0.972431753765277,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0369963903275261,0.0814607694327143,0.0186566909550008,1.9830092279901,0.0478725922774492,0.119159482455195,0.10284762101918,540,0.000347806483864,0.0736449741711881,0.41249168916511,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0135323383793897,0.0168516047103006,0.0257136275783953,0.526271073116092,0.598915156328029,0.462908993589637,0.452999565427084,542,-0.0369782386271296,0.0640429153859089,0.885635501282144,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,0.0543240086676728,0.0463151276057417,0.0505199538559868,1.07529806584008,0.282720620713515,0.030370452770112,0.0124475406216852,541,-0.0449152981131494,0.153563315448495,0.726774431253024,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,0.0082885324319551,0.0160113742299883,0.0223823194965213,0.37031606278533,0.711291675572015,0.0224953505734079,0.0044602094400759,542,-0.0356781879021079,0.0522552527660181,0.923171184133641,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,0.062264157106804,0.0884125182430658,0.0303926433150333,2.04865883040867,0.0409792413132804,0.0281161440457019,0.0100849036754922,539,0.0025616095647766,0.121966704648831,0.400436958953294,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
