apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10046.55,cIAP.1__seq.10046.55__ANML,-0.0020932137487897,-0.13494330835273,0.0024343641074233,-0.859860586346425,0.390427225784519,0.697710494926471,0.689473723671061,367,-0.0068802664827724,0.002693838985193,0.987928254414571,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10082.251,NFL__seq.10082.251__ANML,0.0009361691175669,0.0798194091259053,0.0032387867384181,0.289049324076262,0.772705953491133,0.0706025587596489,0.0454156362328102,369,-0.0054326254442387,0.0073049636793725,0.987928254414571,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10833.64,HHIP__seq.10833.64__ANML,-0.0005212881084977,-0.053973921293733,0.0025254652277673,-0.206412704782548,0.836582390548763,0.16665762701518,0.14407382286925,369,-0.0054873974907071,0.0044448212737117,0.987928254414571,Q96QV1,HHIP,HHIP,HHIP__seq.10833.64,HHIP
seq.12500.88,SAE2__seq.12500.88__ANML,-0.0022665188722637,-0.0965283318847906,0.0047892195905678,-0.473254322421874,0.636311583868719,0.492952325128782,0.479211195728478,369,-0.0116841058105747,0.0071510680660472,0.987928254414571,Q9UBT2,UBA2,UBA2,UBA2__seq.12500.88,UBA2
seq.12501.10,TBCA__seq.12501.10__ANML,0.0048918513807448,0.324930048935105,0.0039135587051068,1.24997521421141,0.212100764000524,0.176420892963255,0.154101675970389,369,-0.0028038240099001,0.0125875267713899,0.987928254414571,O75347,TBCA,TBCA,TBCA__seq.12501.10,TBCA
seq.12587.65,ARL2__seq.12587.65__ANML,0.0022285001047309,0.121484226498312,0.004386369563259,0.508051150864529,0.611721034690268,0.303127577564979,0.284242146062675,369,-0.0063969170273025,0.0108539172367643,0.987928254414571,P36404,ARL2,ARL2,ARL2__seq.12587.65,ARL2
seq.12650.43,GNAI3__seq.12650.43__ANML,-0.0003808071112558,-0.0337426220175287,0.0024007887297475,-0.158617502047299,0.874057247062664,0.449660923687866,0.434706057483732,368,-0.0051017931350434,0.0043401789125317,0.987928254414571,P08754,GNAI3,GNAI3,GNAI3__seq.12650.43,GNAI3
seq.13507.51,TRADD__seq.13507.51__ANML,0.000641355807959,0.0423681146440649,0.0041556653593831,0.154332881138017,0.877431876526611,0.0848783466017722,0.0600109103681247,368,-0.0075304744901817,0.0088131861060998,0.987928254414571,Q15628,TRADD,TRADD,TRADD__seq.13507.51,TRADD
seq.14318.1,VPS29__seq.14318.1__ANML,0.0060391701234022,0.298097812435783,0.0030649852759238,1.97037492181165,0.0495467332327591,0.737223771689244,0.730063656476417,367,1.20330570996625e-05,0.0120663071897049,0.987928254414571,Q9UBQ0,VPS29,VPS29,VPS29__seq.14318.1,VPS29
seq.14341.8,FA69C__seq.14341.8__ANML,-0.0010759122246299,-0.169368513780227,0.0017358631855585,-0.619813953991836,0.535763860445618,0.0920366571432986,0.0673637402178447,368,-0.0044893678680554,0.0023375434187956,0.987928254414571,Q0P6D2,DIPK1C,DIPK1C,DIPK1C__seq.14341.8,DIPK1C
seq.15548.35,SERA__seq.15548.35__ANML,0.0004308071004788,0.0420332470437115,0.0025094982071431,0.171670614967013,0.863790593835981,0.269328233237181,0.249526830343879,369,-0.0045039045138834,0.0053655187148411,0.987928254414571,O43175,PHGDH,PHGDH,PHGDH__seq.15548.35,PHGDH_1
