apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,-0.0777076764531801,-0.0562809050807767,0.103849617081766,-0.748271189021302,0.455284122708627,0.0389657665544071,-0.0096258519905947,178,-0.282642526085451,0.12722717317909,0.937624630797294,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,-0.0716888096226748,-0.0547895924510373,0.0511392847711642,-1.40183442031825,0.162686739159369,0.737007682869769,0.723858067013258,180,-0.172598422602969,0.0292208033576195,0.808602291020882,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0183783658853486,0.028056372364156,0.0471755228251285,0.389574185610491,0.697314550502812,0.111387498356088,0.0667086574913101,179,-0.0747133496497899,0.111470081420487,0.987635748468522,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0297577575051508,-0.0479222485156928,0.0435612999106158,-0.683123726018537,0.495411883491577,0.156810575750698,0.114415576766097,179,-0.115717507323967,0.0562019923136654,0.951881428617603,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0423973859665986,0.0706881648034351,0.0435326500940185,0.973921547965307,0.331409782411565,0.0977481151391712,0.0523834952299674,179,-0.0435058290134476,0.128300600946645,0.904783051882625,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.040491180121126,0.10047184262349,0.0290955817140041,1.39166078613362,0.165781479995397,0.126896495582518,0.0822491572884427,176,-0.0169299509217739,0.0979123111640259,0.808602291020882,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.059873572406196,0.0772753100609558,0.0504605870037009,1.18654133773364,0.236981026819332,0.274776144967648,0.238312375720211,179,-0.0397005781230372,0.159447722935429,0.866258813444239,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,-0.0290370487987376,-0.0588179165931626,0.0367150834750535,-0.790875194890057,0.43005763534053,0.0477659090265543,0.0001542044778819,180,-0.101484383183358,0.0434102855858826,0.936133112243145,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.0406058301823082,0.0866395396524633,0.0335802966081422,1.20921594755844,0.228174624752336,0.120814144310894,0.0766092688851843,179,-0.0256583515845472,0.106870011949164,0.866203585742601,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,-0.0055915166272469,-0.0070776664448531,0.0465505074230477,-0.120117200365436,0.904524273016346,0.402262998751047,0.3723761486886,180,-0.0974464127040253,0.0862633794495315,0.997578205609191,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,0.0191888546549079,0.0216111392593349,0.0666690204503895,0.287822657739316,0.773815460960625,0.0361937107621015,-0.0122658233336588,179,-0.112369485668734,0.15074719497855,0.993515789162767,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,-0.0137059656658816,-0.0297783225922877,0.0347215571620884,-0.394739371909473,0.693505185952913,0.0249956100894392,-0.0240269570010359,179,-0.0822222030852678,0.0548102717535046,0.987619581042654,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,0.0450077271772896,0.0757342620745834,0.0451235424144301,0.997433374443948,0.319908188074198,0.0209965855084204,-0.0285035871344124,178,-0.0440382090469689,0.134053663401548,0.900514354760638,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,0.0486265263848573,0.0581233911393055,0.0483353251826644,1.00602460418115,0.315754203201438,0.42532137349786,0.396587442172753,180,-0.0467502271087622,0.144003279878477,0.896550447592774,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,0.0894700440778317,0.0871846881133993,0.0749921088735481,1.19305944881076,0.234433917576801,0.0901508150241767,0.044147204547871,178,-0.0585179503652006,0.237458038520864,0.866258813444239,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,0.005392815857995,0.0122658208192892,0.0302188832803732,0.178458476044932,0.858564743213309,0.191485474048538,0.15083390570461,179,-0.0542382707237865,0.0650239024397767,0.994749825874097,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,-0.0296935904374337,-0.051446204911327,0.0428064765616526,-0.693670510224478,0.488783045662551,0.0530204884528666,0.0056715128755099,180,-0.114160649415976,0.0547734685411087,0.94906463132442,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,0.0096906126514141,0.009207347901494,0.0781479803571708,0.124003366524942,0.901450973273129,0.0508332518599077,0.003374914452903,180,-0.144513390950145,0.163894616252973,0.997578205609191,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,0.0783062393946538,0.0351597069494544,0.0578806568735272,1.35289133925618,0.177787202430285,0.883720000733349,0.877906000770016,180,-0.0359056568078178,0.192518135597125,0.821814574685676,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,-0.0229062296545802,-0.0256133037541146,0.0676809098219823,-0.338444470011253,0.735429392975633,0.0331453356844922,-0.0160167658908728,177,-0.156471608553192,0.110659149244031,0.991226458159964,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
seq.10041.3,HNF4A__seq.10041.3__ANML,-0.133052262554374,-0.109559898248592,0.0880977434756375,-1.51028002880878,0.132725437077793,0.0939990738084641,0.0486990274988872,180,-0.306889445423552,0.0407849203148036,0.786342819581925,P41235,HNF4A,HNF4A,HNF4A__seq.10041.3,HNF4A
seq.10042.8,SGK3__seq.10042.8__ANML,0.0120308280995354,0.0244122360248922,0.0295191783458401,0.407559721296607,0.684081246213084,0.38230659074426,0.351421920281473,180,-0.0462173244842224,0.0702789806832933,0.98652287436505,Q96BR1,SGK3,SGK3,SGK3__seq.10042.8,SGK3
seq.10043.31,BRD4__seq.10043.31__ANML,0.0275893117297643,0.0662327477777129,0.0258331864514843,1.06797942954417,0.286960001140223,0.337844287062129,0.304736501415235,180,-0.0233855280344587,0.0785641514939872,0.881302244391057,O60885,BRD4,BRD4,BRD4__seq.10043.31,BRD4
seq.10044.12,WN10A__seq.10044.12__ANML,-0.0823170477981682,-0.0784323457058242,0.0787912829080604,-1.04474815944071,0.297540386415298,0.0296966328874297,-0.0188185354681989,180,-0.237790435821703,0.0731563402253666,0.888022235975773,Q9GZT5,WNT10A,WNT10A,WNT10A__seq.10044.12,WNT10A
seq.10045.47,CUL3__seq.10045.47__ANML,0.110161379172605,0.0965526641810666,0.0540017522557922,2.03995934522272,0.0428237770928751,0.616855755510897,0.597591519754461,179,0.0035994280092895,0.216723330335921,0.641556791460576,Q13618,CUL3,CUL3,CUL3__seq.10045.47,CUL3
seq.10046.55,cIAP.1__seq.10046.55__ANML,0.724033521316603,0.676745442756519,0.0539923896372997,13.40991806772,7.77702284696196e-29,0.56363283702103,0.541692588603093,179,0.617490045459234,0.830576997173973,1.88852038133726e-25,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
