apt_name,Protein_id,coef,standardized_beta,se,t,p,R_squared,R_squared_adj,resid,CI95_lower,CI95_upper,p_adjusted,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10000.28,CRBB2__seq.10000.28__ANML,-0.0883934671597955,-0.0682812009986693,0.105821023161228,-0.835311023454387,0.404757860442607,0.0323384058218175,-0.0207649743464975,164,-0.29734073624436,0.120553801924769,0.839091184644621,P43320,CRYBB2,CRYBB2,CRYBB2__seq.10000.28,CRYBB2
seq.10001.7,c.Raf__seq.10001.7__ANML,0.0268026537940459,0.0174408423036028,0.0690959491570979,0.387904850009469,0.698583414569078,0.711831207849458,0.696207598636477,166,-0.10961746986159,0.163222777449682,0.95148291789368,P04049,RAF1,RAF1,RAF1__seq.10001.7,RAF1
seq.10003.15,ZNF41__seq.10003.15__ANML,0.0031875742643788,0.0038561729905141,0.0657030450519662,0.0485148635326983,0.961364950902756,0.103615758261529,0.0544239401173444,164,-0.126545359929915,0.132920508458673,0.993311614135321,P51814,ZNF41,ZNF41,ZNF41__seq.10003.15,ZNF41
seq.10006.25,ELK1__seq.10006.25__ANML,-0.0397936228535349,-0.0425697920652689,0.0728016221091974,-0.54660351927114,0.585389559348582,0.140088630053448,0.0931843735109086,165,-0.183536467490676,0.103949221783607,0.912284737578163,P19419,ELK1,ELK1,ELK1__seq.10006.25,ELK1
seq.10008.43,GUC1A__seq.10008.43__ANML,0.0765701789576729,0.133817599948137,0.0446879244744451,1.71344227457822,0.0885323555456759,0.146634984241755,0.0995166704882324,163,-0.0116716969694515,0.164812054884797,0.482986218617949,P43080,GUCA1A,GUCA1A,GUCA1A__seq.10008.43,GUCA1A
seq.10010.10,BECN1__seq.10010.10__ANML,0.0694044509689277,0.0968302535133017,0.0558808108023376,1.24200866044027,0.216006564914364,0.135540833921358,0.0881010016365543,164,-0.0409341420872935,0.179743044025149,0.689876293468277,Q14457,BECN1,BECN1,BECN1__seq.10010.10,BECN1_1
seq.10011.65,OCRL__seq.10011.65__ANML,0.0579225418898439,0.0935787052049921,0.0439471576252259,1.31800428104584,0.189329091656941,0.285285695953178,0.246301279368806,165,-0.0288487314382643,0.144693815217952,0.658052114514479,Q01968,OCRL,OCRL,OCRL__seq.10011.65,OCRL
seq.10012.5,SPDEF__seq.10012.5__ANML,0.0552325299961876,0.0830962534052933,0.0549728831939068,1.00472317963322,0.316492472132384,0.0249374033787892,-0.0279274361970596,166,-0.0533036087283682,0.163768668720743,0.785265657489796,O95238,SPDEF,SPDEF,SPDEF__seq.10012.5,SPDEF
seq.10014.31,SLUG__seq.10014.31__ANML,0.006558773218967,0.0161489033504477,0.0308357474110983,0.212700316017194,0.831826490539323,0.192468655063578,0.147881034791015,163,-0.0543302528248874,0.0674477992628214,0.977869288942871,O43623,SNAI2,SNAI2,SNAI2__seq.10014.31,SNAI2
seq.10015.119,KCAB2__seq.10015.119__ANML,0.0541586447148271,0.0583336886356454,0.0548869634449933,0.986730569802862,0.325228263619903,0.508331105985162,0.481349276435568,164,-0.0542175623711922,0.162534851800846,0.790590331089429,Q13303,KCNAB2,KCNAB2,KCNAB2__seq.10015.119,KCNAB2
seq.10022.207,POLH__seq.10022.207__ANML,0.126351652230726,0.0893081339615098,0.11647389752101,1.0848065954686,0.279599434196366,0.0499462242778713,-0.0021908731702944,164,-0.103630085609505,0.356333390070956,0.754121391381165,Q9Y253,POLH,POLH,POLH__seq.10022.207,POLH
seq.10023.32,VDR__seq.10023.32__ANML,-0.0186166852247313,-0.0295197774443147,0.0510050898914546,-0.364996616305352,0.71558134716114,0.0663714639537807,0.0154462710785325,165,-0.119323462073383,0.0820900916239203,0.954227470647868,P11473,VDR,VDR,VDR__seq.10023.32,VDR
seq.10024.44,HOGA1__seq.10024.44__ANML,0.0750087215157913,0.0696952955766606,0.0878522819947172,0.853805044248046,0.394458394324919,0.0641721364211824,0.0128157292735642,164,-0.0984586468508465,0.248476089882429,0.833339213001894,Q86XE5,HOGA1,HOGA1,HOGA1__seq.10024.44,HOGA1
seq.10025.1,DLDH__seq.10025.1__ANML,-0.0375686894218028,-0.0405341409611511,0.0616514460172718,-0.609372396736288,0.543110757207656,0.369276741411632,0.335080902090576,166,-0.159290700506747,0.0841533216631415,0.89813146454848,P09622,DLD,DLD,DLD__seq.10025.1,DLD_1
seq.10030.8,MutY_homolog__seq.10030.8__ANML,-0.020128561881182,-0.0190405602502208,0.0865819293714357,-0.232479941568761,0.816456908517687,0.0516775271055705,-0.0006838364284775,163,-0.191095371348789,0.150838247586425,0.973184384652272,Q9UIF7,MUTYH,MUTYH,MUTYH__seq.10030.8,MUTYH
seq.10035.6,DUS4__seq.10035.6__ANML,-0.0176606303477849,-0.0260115887249073,0.0551235422657424,-0.320382718923353,0.749086065002758,0.0821426386044933,0.0317724175523009,164,-0.126503970495289,0.0911827097997194,0.962226352660319,Q13115,DUSP4,DUSP4,DUSP4__seq.10035.6,DUSP4
seq.10036.201,ZHX3__seq.10036.201__ANML,0.0244305952365217,0.0375778215121753,0.0497375909500356,0.491189757482699,0.623944943261241,0.170843882458922,0.1256171851385,165,-0.0737735738660985,0.122634764339142,0.92590653024489,Q9H4I2,ZHX3,ZHX3,ZHX3__seq.10036.201,ZHX3
seq.10037.98,SIG12_Ig.like_V.type_2__seq.10037.98__ANML,-0.0052524890629859,-0.0044673467169665,0.0975773518030994,-0.0538289773797607,0.957136541319026,0.0274422800970263,-0.0256063228067722,165,-0.197913664926602,0.18740868680063,0.993311614135321,Q96PQ1,SIGLEC12,SIGLEC12,SIGLEC12__seq.10037.98,SIGLEC12_1
seq.10039.32,PNP__seq.10039.32__ANML,-0.274105025773495,-0.102823440487073,0.0839658059445699,-3.26448394903094,0.0013318538016232,0.858577782606894,0.850910312989195,166,-0.43988356662196,-0.10832648492503,0.197790094831291,P00491,PNP,PNP,PNP__seq.10039.32,PNP_1
seq.10040.63,P73L__seq.10040.63__ANML,-0.0097925013015294,-0.0091162589526182,0.0890336041238768,-0.109986576393164,0.912554493728131,0.0246399730505982,-0.0288858820868692,164,-0.18559243105742,0.166007428454361,0.989106970666631,Q9H3D4,TP63,TP63,TP63__seq.10040.63,TP63
seq.10041.3,HNF4A__seq.10041.3__ANML,0.0643563189280115,0.042410785389444,0.123400990518663,0.521521899115373,0.602698359748347,0.0573076429976224,0.006197816413156,166,-0.179281384745602,0.307994022601625,0.918546841989962,P41235,HNF4A,HNF4A,HNF4A__seq.10041.3,HNF4A
seq.10042.8,SGK3__seq.10042.8__ANML,0.09682438126264,0.177750669627075,0.0353724839928679,2.73727966863064,0.0068830414629462,0.392693519567715,0.359161259911945,163,0.0269770034655846,0.166671759059695,0.201333478135323,Q96BR1,SGK3,SGK3,SGK3__seq.10042.8,SGK3
seq.10043.31,BRD4__seq.10043.31__ANML,-0.0183332438273528,-0.0350676741323331,0.0370585920986065,-0.494709668909473,0.621463146518156,0.287560221201588,0.248699869630766,165,-0.0915034190538223,0.0548369313991167,0.925374389193138,O60885,BRD4,BRD4,BRD4__seq.10043.31,BRD4
seq.10044.12,WN10A__seq.10044.12__ANML,0.0589607201361175,0.0475541570487206,0.0981904646109265,0.600472972296706,0.549009987057118,0.105969156894711,0.0574976051600867,166,-0.134902385985654,0.252823826257889,0.902626440016047,Q9GZT5,WNT10A,WNT10A,WNT10A__seq.10044.12,WNT10A
seq.10045.47,CUL3__seq.10045.47__ANML,-0.161268128482282,-0.109802501245235,0.0697833420067976,-2.31098316366924,0.022063579976319,0.678194577088568,0.66074729512349,166,-0.299045411547406,-0.0234908454171575,0.276780333621234,Q13618,CUL3,CUL3,CUL3__seq.10045.47,CUL3
seq.10046.55,cIAP.1__seq.10046.55__ANML,0.88656402721474,0.638769590488535,0.069647653949969,12.7292733772712,2.45154740104691e-26,0.641041953370466,0.621580372529105,166,0.749054640918051,1.02407341351143,5.9531742722089e-23,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10047.12,NCF.2__seq.10047.12__ANML,0.0683142571010105,0.0955075565046032,0.0585162884866856,1.16744002170531,0.2447170111943,0.0510616562334845,-0.0006986170628708,165,-0.0472229729907509,0.183851487192772,0.725585440191484,P19878,NCF2,NCF2,NCF2__seq.10047.12,NCF2
seq.10048.7,PEBB__seq.10048.7__ANML,0.058449293916786,0.147882554364883,0.0318904573697079,1.83281453881893,0.0686325091856894,0.0769487102814551,0.0266004581149891,165,-0.004516680278481,0.121415268112053,0.435150417247822,Q13951,CBFB,CBFB,CBFB__seq.10048.7,CBFB
seq.10049.112,TERF1__seq.10049.112__ANML,0.0751775133571926,0.145572448344767,0.0415424175432904,1.80965667871524,0.0721800752839679,0.0808300516754431,0.0303877984137295,164,-0.0068494264467838,0.157204453161169,0.444832722690515,P54274,TERF1,TERF1,TERF1__seq.10049.112,TERF1
seq.10053.5,ILK1__seq.10053.5__ANML,-0.194919514710579,-0.0741280903825238,0.113158606734938,-1.72253371029175,0.0868352835491451,0.736006873229523,0.721693992862449,166,-0.41833508844243,0.0284960590212724,0.481342482523761,Q13418,ILK,ILK,ILK__seq.10053.5,ILK
seq.10054.3,GAN__seq.10054.3__ANML,-0.0234129449323007,-0.03037021831872,0.063428739437461,-0.369122027963132,0.712512896892895,0.0466757988705032,-0.0056407731427008,164,-0.148655184054685,0.101829294190084,0.954227470647868,Q9H2C0,GAN,GAN,GAN__seq.10054.3,GAN
seq.10056.5,FOXM1__seq.10056.5__ANML,-0.10901133456993,-0.0500419148917589,0.0702676444914684,-1.55137311573275,0.122716721039864,0.851680664015235,0.843639254232928,166,-0.247744804005623,0.0297221348657624,0.555964746750878,Q08050,FOXM1,FOXM1,FOXM1__seq.10056.5,FOXM1
seq.10058.1,RD23A__seq.10058.1__ANML,-0.173828937555201,-0.0957076249702206,0.0789239997308596,-2.2024851521461,0.0290091863118659,0.730828202624387,0.716234550959444,166,-0.329653149162768,-0.0180047259476344,0.305489343970381,P54725,RAD23A,RAD23A,RAD23A__seq.10058.1,RAD23A
seq.10063.10,FANCL__seq.10063.10__ANML,0.0450075188090339,0.111493717239616,0.032248778800662,1.39563482658481,0.164699776279336,0.0714042512376487,0.0207535740324296,165,-0.0186659415697491,0.108680979187817,0.62556718988267,Q9NW38,FANCL,FANCL,FANCL__seq.10063.10,FANCL
seq.10064.12,RBBP9__seq.10064.12__ANML,0.0391485065166764,0.0984095590761416,0.0276433793220271,1.41619828967444,0.158613962187679,0.319785005102306,0.282456133431091,164,-0.0154343017482372,0.09373131478159,0.615283660562962,O75884,RBBP9,RBBP9,RBBP9__seq.10064.12,RBBP9
seq.10069.2,PIN1__seq.10069.2__ANML,0.0001859751077958,0.0004975885588113,0.0259898449544507,0.0071556836188041,0.994299283480543,0.314662771918511,0.277280741295884,165,-0.0511295606892978,0.0515015109048894,0.998665242722634,Q13526,PIN1,PIN1,PIN1__seq.10069.2,PIN1_1
seq.10070.22,PLCG2__seq.10070.22__ANML,-0.102726078279758,-0.0534376688488638,0.0606426403470799,-1.69395787669896,0.0921487241767718,0.858142516842621,0.850451448478667,166,-0.222456346057737,0.0170041894982208,0.491726978872138,P16885,PLCG2,PLCG2,PLCG2__seq.10070.22,PLCG2
seq.10073.22,TYDP1__seq.10073.22__ANML,-0.0268726848116551,-0.0335533204299394,0.055121761887283,-0.487514983040751,0.626536638104811,0.324760984063431,0.288151639825906,166,-0.135702763340321,0.0819573937170111,0.926577224643433,Q9NUW8,TDP1,TDP1,TDP1__seq.10073.22,TDP1
seq.10074.128,BRD2__seq.10074.128__ANML,-0.0192562505062604,-0.0203698385768771,0.0785644997294976,-0.245101166208158,0.806684525079934,0.0263482382361116,-0.0270838706411751,164,-0.174384571657177,0.135872070644656,0.971767796950544,P25440,BRD2,BRD2,BRD2__seq.10074.128,BRD2_1
seq.10075.75,ACBD6__seq.10075.75__ANML,-0.264891908545877,-0.0871492357148279,0.0920030140473438,-2.87916555004998,0.0045127796738415,0.869396039785051,0.862315102183036,166,-0.446538773610189,-0.0832450434815652,0.197790094831291,Q9BR61,ACBD6,ACBD6,ACBD6__seq.10075.75,ACBD6_1
seq.10076.1,AP4M1__seq.10076.1__ANML,0.0572921683298144,0.0354026811273766,0.0899591142675848,0.636868968711697,0.525087487620397,0.559511489787904,0.53562958260773,166,-0.120319307336191,0.23490364399582,0.893037491474783,O00189,AP4M1,AP4M1,AP4M1__seq.10076.1,AP4M1
seq.10078.5,BAG3__seq.10078.5__ANML,-0.018067223791486,-0.0293293622714353,0.0457884288098426,-0.394580558038329,0.693662018078819,0.216780164080711,0.174059082121477,165,-0.108473986963876,0.0723395393809037,0.950372080207027,O95817,BAG3,BAG3,BAG3__seq.10078.5,BAG3
