apt_name,coef_x2m,coef_x2y,coef_m2y,acme,acme_p,ade,ade_p,total,total_p,prop_m,prop_m_p,prop_m_ci_lower,prop_m_ci_upper,p_adjusted,ade_p_adjusted,prop_m_p_adjusted,Protein_id,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10046.55,0.81880363191301,-1.00970464695768,0.589171112997773,0.0810192019833904,0.182,-0.172159467632525,0.028,-0.0911402656491349,0.09,-0.88895068942735,0.264,-9.81977176165608,4.18156617726491,0.603111111111111,0.162952380952381,0.72688,cIAP.1__seq.10046.55__ANML,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10082.251,-0.149389251045981,-0.547521726445501,0.32197032066771,-0.0081335057581609,0.262,-0.0930983976015557,0.098,-0.101231903359717,0.058,0.0803452813611479,0.304,-0.253143296393203,0.755796975525198,0.617533333333333,0.162952380952381,0.72688,NFL__seq.10082.251__ANML,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10833.64,0.122442890049676,-0.626615214441678,0.791530010103159,0.0164453918004458,0.07,-0.107105491184492,0.056,-0.0906600993840462,0.088,-0.181396136913343,0.158,-1.62826357016753,0.585046935786018,0.375454545454545,0.162952380952381,0.72688,HHIP__seq.10833.64__ANML,Q96QV1,HHIP,HHIP,HHIP__seq.10833.64,HHIP
seq.11536.9,0.128837447731451,-0.551205416360992,0.031672523829184,0.0006994167026575,0.868,-0.0950287205505152,0.066,-0.0943293038478577,0.078,-0.0074146280543486,0.894,-0.456516901247045,0.458306238942939,0.931357142857143,0.162952380952381,0.95875,MYSM1__seq.11536.9__ANML,Q5VVJ2,MYSM1,MYSM1,MYSM1__seq.11536.9,MYSM1
seq.12500.88,0.428343464563153,-0.56186583314006,0.0654148874756814,0.0048091136415841,0.72,-0.0970204476533972,0.054,-0.092211334011813,0.058,-0.0521531728514857,0.742,-1.27074560701355,0.57761024764879,0.903829787234043,0.162952380952381,0.931446808510638,SAE2__seq.12500.88__ANML,Q9UBT2,UBA2,UBA2,UBA2__seq.12500.88,UBA2
seq.12501.10,-0.25094668162292,-0.425166390628764,0.530013139687354,-0.0225961177436926,0.07,-0.072446985920566,0.194,-0.0950431036642586,0.072,0.237746000209692,0.134,-0.440217327152461,1.7635708169432,0.375454545454545,0.225272727272727,0.72688,TBCA__seq.12501.10__ANML,O75347,TBCA,TBCA,TBCA__seq.12501.10,TBCA
seq.12587.65,-0.563949766502256,-0.253616516439929,0.513199945194056,-0.0497606741222598,0.03,-0.0435888484271649,0.464,-0.0933495225494247,0.076,0.533057617899583,0.106,-1.82427607657616,3.52606412333352,0.295,0.472,0.72688,ARL2__seq.12587.65__ANML,P36404,ARL2,ARL2,ARL2__seq.12587.65,ARL2
seq.12616.45,-0.127077891035932,-0.582740130214748,-0.421366722548731,0.009167988127769,0.244,-0.100425245772,0.072,-0.091257257644231,0.084,-0.100463112353329,0.288,-0.755525497665395,0.328542174914216,0.609666666666667,0.162952380952381,0.72688,NRBP__seq.12616.45__ANML,Q9UHY1,NRBP1,NRBP1,NRBP1__seq.12616.45,NRBP1
seq.12650.43,0.158773991046458,-0.442062624584434,-0.483229282241234,-0.0132234146202856,0.312,-0.0764658479495326,0.19,-0.0896892625698182,0.11,0.147435871824589,0.39,-0.784763306779575,1.916426321938,0.617533333333333,0.225272727272727,0.767,GNAI3__seq.12650.43__ANML,P08754,GNAI3,GNAI3,GNAI3__seq.12650.43,GNAI3
seq.13507.51,-0.244508848970133,-0.525290616242028,0.050660828880194,-0.0021317240481948,0.832,-0.0908806937433717,0.11,-0.0930124177915665,0.078,0.0229187037474054,0.866,-0.586446542307672,0.872476542043903,0.931357142857143,0.162952380952381,0.95875,TRADD__seq.13507.51__ANML,Q15628,TRADD,TRADD,TRADD__seq.13507.51,TRADD
