"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.016597022994417,-0.01955709367196,0.0374133984145734,-0.443611745998248,0.657483769683972,0.01211880363487,0.00220695216632361,598,-0.0900746514492458,0.0568806054604118,0.884870148480634,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.0311650409994921,-0.029160735114263,0.0255367869842525,-1.22039789182211,0.222790318500793,0.70640463859977,0.703488128387185,604,-0.0813167199579979,0.0189866379590137,0.623043174770932,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",-0.00959520078310837,-0.0162951191393868,0.0248711602385398,-0.385796267286311,0.699784537078571,0.0883856714548573,0.0792543092323684,599,-0.0584404744442622,0.0392500728780454,0.905228955641986,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",-0.0217380188257879,-0.0361030462579963,0.0256278800393577,-0.848217597101441,0.396656181550413,0.0764652051504339,0.0671989697506056,598,-0.0720696093097827,0.0285935716582068,0.754911201516723,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",0.00480974500103588,0.0107156300675941,0.0189474986856638,0.253845907622365,0.799701858797308,0.0918807913886311,0.0827692274226307,598,-0.0324019846885947,0.0420214746906665,0.94336929272019,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.0272582439841097,0.0621937727444326,0.0185515647805206,1.46932317066489,0.142271903089923,0.0904160564323568,0.0812745092608227,597,-0.00917601947361183,0.0636925074418312,0.524785222283589,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",-0.0207551303315353,-0.0384644268867587,0.0204041786291003,-1.01719999166908,0.309468287164824,0.270143862062158,0.26284530068278,600,-0.0608274195379622,0.0193171588748915,0.690481243755852,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.0217916423529552,-0.0511688177767171,0.0185774451371153,-1.17301610593474,0.241251735356662,0.0215064505197845,0.011786315922299,604,-0.0582758744907099,0.0146925897847994,0.638169532343241,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",-0.0128361800590883,-0.0305455981939139,0.0178457955818156,-0.719283149929614,0.472246992484609,0.0783448272082883,0.0691128889165517,599,-0.047884113510301,0.0222117533921245,0.804112465941597,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",-0.0287363364165816,-0.0456330287812342,0.0201785369140911,-1.42410406358622,0.154935335490856,0.473701054880857,0.468446822483661,601,-0.0683653488021794,0.0108926759690163,0.543612092436754,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
"seq.10022.207","POLH__seq.10022.207__ANML",-0.00297261246811418,-0.00332637090921265,0.0387135716673023,-0.0767847641044411,0.938820410953869,0.0399961865535405,0.030380121644227,599,-0.0790034443373834,0.073058219401155,0.98717190277768,"Q9Y253","POLH","POLH","POLH__seq.10022.207","POLH"
"seq.10023.32","VDR__seq.10023.32__ANML",-0.0117421203182706,-0.0292736894318254,0.0176257166780179,-0.666192503418311,0.505543693615554,0.0111373189739718,0.00126514578569192,601,-0.0463576004946576,0.0228733598581163,0.825140436183672,"P11473","VDR","VDR","VDR__seq.10023.32","VDR"
"seq.10024.44","HOGA1__seq.10024.44__ANML",-0.00568549424238004,-0.00891530314956303,0.0280472079029703,-0.202711594752999,0.839429409329977,0.0124828910773431,0.00257469266005894,598,-0.0607684968248732,0.0493975083401131,0.956945706949861,"Q86XE5","HOGA1","HOGA1","HOGA1__seq.10024.44","HOGA1"
"seq.10025.1","DLDH__seq.10025.1__ANML",-0.0104782869904679,-0.0159313353901524,0.023719662628515,-0.441755313073941,0.658824390577757,0.33120048504865,0.324556781257742,604,-0.0570613166364025,0.0361047426554667,0.884870148480634,"P09622","DLD","DLD","DLD__seq.10025.1","DLD_1"
"seq.10030.8","MutY_homolog__seq.10030.8__ANML",-0.035488669684254,-0.047544692656265,0.0322062356760376,-1.10191920723783,0.270940834956103,0.0505061291805058,0.0409634772124706,597,-0.0987399635500049,0.027762624181497,0.665441440251901,"Q9UIF7","MUTYH","MUTYH","MUTYH__seq.10030.8","MUTYH"
"seq.10035.6","DUS4__seq.10035.6__ANML",0.00567373106545723,0.0155170618798435,0.0146644134589477,0.386904739241058,0.698964376408426,0.18320063469885,0.175005323341313,598,-0.0231262809437388,0.0344737430746533,0.904818235863624,"Q13115","DUSP4","DUSP4","DUSP4__seq.10035.6","DUSP4"
"seq.10036.201","ZHX3__seq.10036.201__ANML",-0.0100338615177483,-0.022816180172299,0.0188940237381496,-0.531060067289352,0.595572700295642,0.0514468423502785,0.0420085024731669,603,-0.0471399457106593,0.0270722226751626,0.860333505948002,"Q9H4I2","ZHX3","ZHX3","ZHX3__seq.10036.201","ZHX3"
"seq.10037.98","SIG12_Ig.like_V.type_2__seq.10037.98__ANML",-0.0684061486635139,-0.0836651994896188,0.0358818837436952,-1.90642579280787,0.0570708516469161,0.0108122690461746,0.000953255116402318,602,-0.138875026318066,0.00206272899103796,0.373868278365103,"Q96PQ1","SIGLEC12","SIGLEC12","SIGLEC12__seq.10037.98","SIGLEC12_1"
"seq.10039.32","PNP__seq.10039.32__ANML",-0.0279305009629978,-0.0157707984058548,0.0278204880651124,-1.00395438418003,0.315802629038052,0.873107909933475,0.871847392482483,604,-0.082567138953942,0.0267061370279465,0.694213081636152,"P00491","PNP","PNP","PNP__seq.10039.32","PNP_1"
"seq.10040.63","P73L__seq.10040.63__ANML",0.0274558890977289,0.0390260552158989,0.031241417588796,0.878829810449293,0.379847134747642,0.00463875774555484,-0.00536487282986675,597,-0.0339005545602248,0.0888123327556825,0.741873023226963,"Q9H3D4","TP63","TP63","TP63__seq.10040.63","TP63"
"seq.10041.3","HNF4A__seq.10041.3__ANML",-0.0423234007428737,-0.0411608635094862,0.0439931682664771,-0.962044844929348,0.336412057125562,0.0586882665264162,0.0493374877170759,604,-0.128721554615107,0.0440747531293593,0.708618719206573,"P41235","HNF4A","HNF4A","HNF4A__seq.10041.3","HNF4A"
"seq.10042.8","SGK3__seq.10042.8__ANML",0.000489894103742554,0.00125110030634768,0.0144315639064856,0.0339460163095973,0.972931469380461,0.302578803044081,0.295616195420561,601,-0.0278525287006724,0.0288323169081575,0.994082153497427,"Q96BR1","SGK3","SGK3","SGK3__seq.10042.8","SGK3"
