"apt_name","Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","UniProt","EntrezGeneSymbol","symbol","ref_name","label"
"seq.10000.28","CRBB2__seq.10000.28__ANML",-0.0190593308905301,-0.0224585529390641,0.0376027586513727,-0.506859910658027,0.612440269201818,0.0128924155749339,0.0013182897944054,597,-0.0929091021443156,0.0547904403632554,0.867345910018516,"P43320","CRYBB2","CRYBB2","CRYBB2__seq.10000.28","CRYBB2"
"seq.10001.7","c.Raf__seq.10001.7__ANML",-0.0341175168862318,-0.0319233294989734,0.0256071372106144,-1.3323440494586,0.183250440861736,0.707329561921986,0.70393206098244,603,-0.0844075240570144,0.0161724902845507,0.576914201243624,"P04049","RAF1","RAF1","RAF1__seq.10001.7","RAF1"
"seq.10003.15","ZNF41__seq.10003.15__ANML",-0.00770114655977168,-0.0130785278534531,0.0249777578969337,-0.308320169950765,0.757946088772579,0.089473980139272,0.0788156488031095,598,-0.0567559368797728,0.0413536437602295,0.925329336186831,"P51814","ZNF41","ZNF41","ZNF41__seq.10003.15","ZNF41"
"seq.10006.25","ELK1__seq.10006.25__ANML",-0.0215681543249004,-0.0358209310393886,0.0257596848865731,-0.837283313824327,0.402768382717083,0.0764730654773601,0.0656444414544815,597,-0.0721587733292211,0.0290224646794203,0.759224660026512,"P19419","ELK1","ELK1","ELK1__seq.10006.25","ELK1"
"seq.10008.43","GUC1A__seq.10008.43__ANML",0.00689224612283875,0.0153552339617263,0.0189999582866304,0.362750592336225,0.716919591697963,0.0945635649565057,0.0839470573429304,597,-0.0304226377745931,0.0442071300202706,0.913548928724797,"P43080","GUCA1A","GUCA1A","GUCA1A__seq.10008.43","GUCA1A"
"seq.10010.10","BECN1__seq.10010.10__ANML",0.0312153053822354,0.0712224019354497,0.0185832318557217,1.67975654743953,0.093528752287588,0.0975749951817414,0.0869760437828693,596,-0.0052812748811114,0.0677118856455822,0.449541116844887,"Q14457","BECN1","BECN1","BECN1__seq.10010.10","BECN1_1"
"seq.10011.65","OCRL__seq.10011.65__ANML",-0.016760075557915,-0.0310605951693046,0.0203818059676284,-0.822305716408758,0.41123012975898,0.277523017035147,0.269080047284306,599,-0.0567885615894857,0.0232684104736558,0.765018257225272,"Q01968","OCRL","OCRL","OCRL__seq.10011.65","OCRL"
"seq.10012.5","SPDEF__seq.10012.5__ANML",-0.0223916943283306,-0.0525777960302711,0.0186557421114825,-1.20025749683518,0.230510672420149,0.0217470418987529,0.010390871572536,603,-0.059029815835089,0.0142464271784278,0.631542026544109,"O95238","SPDEF","SPDEF","SPDEF__seq.10012.5","SPDEF"
"seq.10014.31","SLUG__seq.10014.31__ANML",-0.0113458879812252,-0.02699922670392,0.0179074410657034,-0.633585107978101,0.526593868532357,0.0798929866032099,0.0691225031687993,598,-0.0465150080547966,0.0238232320923463,0.826419800026348,"O43623","SNAI2","SNAI2","SNAI2__seq.10014.31","SNAI2"
"seq.10015.119","KCAB2__seq.10015.119__ANML",-0.0280589247819687,-0.0445573055515606,0.0202607406661058,-1.38489136425839,0.166600405540828,0.473846924557162,0.467708472010329,600,-0.067849512497697,0.0117316629337596,0.555097425926014,"Q13303","KCNAB2","KCNAB2","KCNAB2__seq.10015.119","KCNAB2"
